time=21541, red=90933, ir=160086
time=21551, red=90912, ir=160085
time=21561, red=90928, ir=160113
time=21571, red=90925, ir=160124
time=21581, red=90933, ir=160161
time=21591, red=90926, ir=160156
time=21601, red=90919, ir=160181
time=21611, red=90935, ir=160183
time=21621, red=90922, ir=160201
time=21631, red=90917, ir=160178
time=21641, red=90911, ir=160189
time=21651, red=90908, ir=160199
time=21661, red=90924, ir=160215
time=21671, red=90927, ir=160223
time=21681, red=90923, ir=160239
time=21691, red=90925, ir=160248
time=21701, red=90921, ir=160229
time=21711, red=90913, ir=160230
time=21721, red=90907, ir=160241
time=21731, red=90911, ir=160248
time=21741, red=90916, ir=160268
time=21751, red=90924, ir=160281
time=21761, red=90913, ir=160285
time=21771, red=90897, ir=160296
time=21781, red=90903, ir=160300
time=21791, red=90900, ir=160290
time=21801, red=90913, ir=160294
time=21811, red=90903, ir=160289
time=21821, red=90914, ir=160299
time=21831, red=90886, ir=160297
time=21841, red=90896, ir=160301
time=21851, red=90903, ir=160327
time=21861, red=90911, ir=160327
time=21871, red=90899, ir=160334
time=21881, red=90876, ir=160329
time=21891, red=90891, ir=160333
time=21901, red=90905, ir=160339
time=21911, red=90900, ir=160369
time=21921, red=90890, ir=160381
time=21931, red=90885, ir=160383
time=21941, red=90908, ir=160392
time=21951, red=90890, ir=160419
time=21961, red=90907, ir=160416
time=21971, red=90904, ir=160415
time=21981, red=90913, ir=160426
time=21991, red=90909, ir=160446
time=22001, red=90898, ir=160444
time=22011, red=90905, ir=160444
time=22021, red=90917, ir=160460
time=22031, red=90902, ir=160479
time=22041, red=90899, ir=160494
time=22051, red=90900, ir=160475
time=22061, red=90914, ir=160502
HR=139, SP=-1
time=22088, red=90917, ir=160487
time=22092, red=90887, ir=160491
time=22101, red=90898, ir=160504
time=22111, red=90889, ir=160519
time=22121, red=90886, ir=160511
time=22131, red=90886, ir=160500
time=22141, red=90886, ir=160501
time=22151, red=90892, ir=160511
time=22161, red=90877, ir=160487
time=22171, red=90881, ir=160460
time=22181, red=90884, ir=160455
time=22191, red=90873, ir=160425
time=22201, red=90892, ir=160401
time=22211, red=90881, ir=160370
time=22221, red=90862, ir=160376
time=22231, red=90862, ir=160340
time=22241, red=90870, ir=160305
time=22251, red=90859, ir=160274
time=22261, red=90858, ir=160249
time=22271, red=90859, ir=160221
time=22281, red=90857, ir=160188
time=22291, red=90861, ir=160160
time=22301, red=90865, ir=160135
time=22311, red=90860, ir=160137
time=22321, red=90855, ir=160098
time=22331, red=90864, ir=160061
time=22341, red=90857, ir=160027
time=22351, red=90862, ir=160020
time=22361, red=90873, ir=159995
time=22371, red=90879, ir=159986
time=22381, red=90867, ir=159976
time=22391, red=90879, ir=159955
time=22401, red=90923, ir=159946
time=22411, red=90897, ir=159936
time=22421, red=90892, ir=159947
time=22431, red=90890, ir=159939
time=22441, red=90902, ir=159933
time=22451, red=90911, ir=159914
time=22461, red=90924, ir=159924
time=22471, red=90923, ir=159928
time=22481, red=90909, ir=159909
time=22491, red=90928, ir=159922
time=22501, red=90931, ir=159935
time=22511, red=90932, ir=159939
time=22521, red=90930, ir=159936
time=22531, red=90938, ir=159970
time=22541, red=90961, ir=159985
time=22551, red=90950, ir=160005
time=22561, red=90945, ir=159999
time=22571, red=90954, ir=160012
time=22581, red=90971, ir=160041
time=22591, red=90957, ir=160052
time=22601, red=90967, ir=160070
time=22611, red=90967, ir=160086
time=22621, red=90966, ir=160075
time=22631, red=90970, ir=160113
time=22641, red=90971, ir=160123
time=22651, red=90965, ir=160131
time=22661, red=90988, ir=160146
time=22671, red=90985, ir=160152
time=22681, red=90981, ir=160171
time=22691, red=90985, ir=160163
time=22701, red=90979, ir=160182
time=22711, red=90982, ir=160172
time=22721, red=90977, ir=160174
time=22731, red=90988, ir=160166
time=22741, red=90971, ir=160181
time=22751, red=90956, ir=160171
time=22761, red=90976, ir=160173
time=22771, red=90975, ir=160192
time=22781, red=90981, ir=160186
time=22791, red=90979, ir=160182
time=22801, red=90964, ir=160185
time=22811, red=90985, ir=160182
time=22821, red=90965, ir=160190
time=22831, red=90984, ir=160186
time=22841, red=90986, ir=160196
time=22851, red=90977, ir=160205
time=22861, red=90973, ir=160210
time=22871, red=90982, ir=160201
time=22881, red=90985, ir=160214
time=22891, red=90963, ir=160214
time=22901, red=90973, ir=160194
time=22911, red=90981, ir=160206
time=22921, red=90965, ir=160202
time=22931, red=90975, ir=160202
time=22941, red=90959, ir=160190
time=22951, red=90958, ir=160204
time=22961, red=90973, ir=160211
time=22971, red=90952, ir=160209
time=22981, red=90961, ir=160213
time=22991, red=90963, ir=160212
time=23001, red=90944, ir=160226
time=23011, red=90956, ir=160220
time=23021, red=90965, ir=160231
time=23031, red=90958, ir=160242
time=23041, red=90961, ir=160270
time=23051, red=90964, ir=160276
time=23061, red=90967, ir=160270
time=23071, red=90969, ir=160278
HR=139, SP=-1
time=23081, red=90964, ir=160272
time=23091, red=90957, ir=160303
time=23101, red=90965, ir=160292
time=23111, red=90953, ir=160289
time=23121, red=90959, ir=160298
time=23131, red=90944, ir=160307
time=23141, red=90938, ir=160307
time=23151, red=90938, ir=160327
time=23161, red=90940, ir=160329
time=23171, red=90934, ir=160320
time=23181, red=90927, ir=160323
time=23191, red=90932, ir=160317
time=23201, red=90907, ir=160321
time=23211, red=90932, ir=160330
time=23221, red=90938, ir=160349
time=23231, red=90927, ir=160373
time=23241, red=90943, ir=160380
time=23251, red=90949, ir=160398
time=23261, red=90932, ir=160392
time=23271, red=90934, ir=160401
time=23281, red=90928, ir=160394
time=23291, red=90915, ir=160394
time=23301, red=90920, ir=160396
time=23311, red=90923, ir=160397
time=23321, red=90914, ir=160403
time=23331, red=90918, ir=160420
time=23341, red=90920, ir=160420
time=23351, red=90919, ir=160421
time=23361, red=90928, ir=160439
time=23371, red=90921, ir=160450
time=23381, red=90922, ir=160453
time=23391, red=90925, ir=160453
time=23401, red=90923, ir=160457
time=23411, red=90915, ir=160453
time=23421, red=90915, ir=160481
time=23431, red=90914, ir=160485
time=23441, red=90928, ir=160471
time=23451, red=90912, ir=160468
time=23461, red=90912, ir=160490
time=23471, red=90906, ir=160478
time=23481, red=90904, ir=160488
time=23491, red=90900, ir=160476
time=23501, red=90903, ir=160493
time=23511, red=90915, ir=160506
time=23521, red=90912, ir=160509
