time=61904, red=29302, ir=32743
time=61914, red=29291, ir=32750
time=61924, red=29305, ir=32765
time=61934, red=29325, ir=32774
time=61944, red=29344, ir=32795
time=61954, red=29355, ir=32810
time=61964, red=29378, ir=32822
time=61974, red=29379, ir=32839
time=61984, red=29375, ir=32839
time=61994, red=29377, ir=32817
time=62004, red=29363, ir=32804
time=62014, red=29328, ir=32775
time=62024, red=29297, ir=32724
time=62034, red=29248, ir=32676
time=62044, red=29198, ir=32596
time=62054, red=29105, ir=32493
time=62064, red=29047, ir=32435
time=62074, red=29004, ir=32382
time=62084, red=28963, ir=32333
time=62094, red=28914, ir=32309
time=62104, red=28879, ir=32241
time=62114, red=28841, ir=32210
time=62124, red=28817, ir=32169
time=62134, red=28785, ir=32127
time=62144, red=28761, ir=32094
time=62154, red=28726, ir=32058
time=62164, red=28701, ir=32025
time=62174, red=28653, ir=31995
time=62184, red=28639, ir=31979
time=62194, red=28599, ir=31975
time=62204, red=28624, ir=31983
time=62214, red=28629, ir=31969
time=62224, red=28629, ir=32002
time=62234, red=28669, ir=32045
time=62244, red=28706, ir=32091
time=62254, red=28745, ir=32088
time=62264, red=28748, ir=32126
time=62274, red=28752, ir=32129
time=62284, red=28763, ir=32140
HR=230, SP=-1
time=62311, red=28771, ir=32162
time=62315, red=28799, ir=32184
time=62324, red=28809, ir=32204
time=62334, red=28829, ir=32223
time=62344, red=28843, ir=32247
time=62354, red=28861, ir=32255
time=62364, red=28870, ir=32254
time=62374, red=28866, ir=32233
time=62384, red=28852, ir=32203
time=62394, red=28836, ir=32186
time=62404, red=28822, ir=32195
time=62414, red=28804, ir=32171
time=62424, red=28799, ir=32152
time=62434, red=28772, ir=32146
time=62444, red=28780, ir=32158
time=62454, red=28795, ir=32166
time=62464, red=28823, ir=32181
time=62474, red=28818, ir=32204
time=62484, red=28861, ir=32236
time=62494, red=28879, ir=32269
time=62504, red=28885, ir=32279
time=62514, red=28901, ir=32280
time=62524, red=28888, ir=32256
time=62534, red=28891, ir=32261
time=62544, red=28882, ir=32263
time=62554, red=28908, ir=32283
time=62564, red=28926, ir=32286
time=62574, red=28946, ir=32320
time=62584, red=28952, ir=32328
time=62594, red=28972, ir=32353
time=62604, red=29015, ir=32388
time=62614, red=29036, ir=32434
time=62624, red=29127, ir=32474
time=62634, red=29078, ir=32481
time=62644, red=29091, ir=32500
time=62654, red=29113, ir=32513
time=62664, red=29099, ir=32505
time=62674, red=29081, ir=32488
time=62684, red=29060, ir=32460
time=62694, red=29059, ir=32459
time=62704, red=29043, ir=32435
time=62714, red=29032, ir=32426
time=62724, red=29015, ir=32408
time=62734, red=29010, ir=32399
time=62744, red=29003, ir=32406
time=62754, red=29024, ir=32416
time=62764, red=29038, ir=32431
time=62774, red=29046, ir=32442
time=62784, red=29033, ir=32440
time=62794, red=29012, ir=32399
time=62804, red=29015, ir=32409
time=62814, red=29025, ir=32415
time=62824, red=29032, ir=32423
time=62834, red=29050, ir=32448
time=62844, red=29055, ir=32451
time=62854, red=29066, ir=32470
time=62864, red=29056, ir=32464
time=62874, red=29058, ir=32472
time=62884, red=29067, ir=32478
time=62894, red=29060, ir=32482
time=62904, red=29045, ir=32462
time=62914, red=29045, ir=32448
time=62924, red=29046, ir=32443
time=62934, red=29022, ir=32437
time=62944, red=29012, ir=32433
time=62954, red=28977, ir=32379
time=62964, red=28941, ir=32344
time=62974, red=28888, ir=32310
time=62984, red=28871, ir=32301
time=62994, red=28864, ir=32285
time=63004, red=28875, ir=32292
time=63014, red=28888, ir=32314
time=63024, red=28891, ir=32339
time=63034, red=28918, ir=32336
time=63044, red=28916, ir=32351
time=63054, red=28917, ir=32353
time=63064, red=28937, ir=32363
time=63074, red=28968, ir=32403
time=63084, red=28996, ir=32430
time=63094, red=29012, ir=32423
time=63104, red=28993, ir=32427
time=63114, red=28978, ir=32414
time=63124, red=29002, ir=32423
time=63134, red=29011, ir=32442
time=63144, red=29005, ir=32430
time=63154, red=29002, ir=32419
time=63164, red=28972, ir=32389
time=63174, red=28962, ir=32360
time=63184, red=28950, ir=32359
time=63194, red=28947, ir=32371
time=63204, red=28957, ir=32361
time=63214, red=28936, ir=32348
time=63224, red=28937, ir=32311
time=63234, red=28935, ir=32330
time=63244, red=28939, ir=32332
time=63254, red=28931, ir=32331
time=63264, red=28933, ir=32345
time=63274, red=28930, ir=32334
time=63284, red=28929, ir=32325
time=63294, red=28933, ir=32342
HR=98, SP=78
time=63304, red=28955, ir=32370
time=63314, red=28986, ir=32404
time=63325, red=28990, ir=32396
time=63335, red=28976, ir=32397
time=63345, red=28957, ir=32379
time=63355, red=28961, ir=32380
time=63365, red=28972, ir=32395
time=63375, red=29003, ir=32441
time=63385, red=29035, ir=32471
time=63395, red=29081, ir=32525
time=63405, red=29136, ir=32588
time=63415, red=29195, ir=32627
time=63425, red=29213, ir=32681
time=63435, red=29222, ir=32689
time=63445, red=29208, ir=32677
time=63455, red=29205, ir=32657
time=63465, red=29191, ir=32645
time=63475, red=29166, ir=32616
time=63485, red=29166, ir=32603
time=63495, red=29168, ir=32602
time=63505, red=29154, ir=32591
time=63515, red=29139, ir=32579
time=63525, red=29121, ir=32554
time=63535, red=29109, ir=32527
time=63545, red=29082, ir=32508
time=63555, red=29080, ir=32498
time=63565, red=29066, ir=32490
time=63575, red=29070, ir=32490
time=63585, red=29076, ir=32504
time=63595, red=29096, ir=32504
time=63605, red=29084, ir=32505
time=63615, red=29082, ir=32478
time=63625, red=29060, ir=32461
time=63635, red=29057, ir=32460
time=63645, red=29055, ir=32474
time=63655, red=29080, ir=32515
time=63665, red=29095, ir=32511
time=63675, red=29121, ir=32522
time=63685, red=29110, ir=32529
time=63695, red=29117, ir=32515
time=63705, red=29107, ir=32505
time=63715, red=29112, ir=32523
time=63725, red=29125, ir=32526
time=63735, red=29129, ir=32547
time=63745, red=29161, ir=32575
time=63755, red=29182, ir=32584
time=63765, red=29183, ir=32593
time=63775, red=29187, ir=32581
time=63785, red=29197, ir=32601
time=63795, red=29191, ir=32582
time=63805, red=29175, ir=32585
time=63815, red=29179, ir=32559
time=63825, red=29145, ir=32540
time=63835, red=29128, ir=32525
time=63845, red=29133, ir=32535
time=63855, red=29155, ir=32541
time=63865, red=29161, ir=32556
time=63875, red=29167, ir=32563
time=63885, red=29165, ir=32557
time=63895, red=29152, ir=32547
time=63905, red=29151, ir=32546
time=63915, red=29143, ir=32544
time=63925, red=29141, ir=32544
time=63935, red=29143, ir=32541
time=63945, red=29131, ir=32541
time=63955, red=29112, ir=32501
time=63965, red=29085, ir=32500
time=63975, red=29094, ir=32482
time=63985, red=29078, ir=32486
time=63995, red=29077, ir=32468
time=64005, red=29066, ir=32456
time=64015, red=29073, ir=32455
time=64025, red=29054, ir=32478
time=64035, red=29062, ir=32473
time=64045, red=29085, ir=32473
time=64055, red=29100, ir=32491
time=64065, red=29109, ir=32511
time=64075, red=29123, ir=32509
time=64085, red=29119, ir=32495
time=64095, red=29119, ir=32506
time=64105, red=29102, ir=32499
time=64115, red=29112, ir=32505
time=64125, red=29114, ir=32528
time=64135, red=29115, ir=32508
time=64145, red=29108, ir=32496
time=64155, red=29081, ir=32483
time=64165, red=29064, ir=32461
time=64175, red=29083, ir=32477
time=64185, red=29076, ir=32493
time=64195, red=29105, ir=32499
time=64205, red=29110, ir=32519
time=64215, red=29129, ir=32527
time=64225, red=29127, ir=32525
time=64235, red=29117, ir=32505
time=64245, red=29096, ir=32498
time=64255, red=29095, ir=32493
time=64265, red=29095, ir=32512
time=64275, red=29096, ir=32510
time=64285, red=29105, ir=32511
time=64295, red=29102, ir=32496
HR=101, SP=79
time=64319, red=29119, ir=32513
time=64325, red=29101, ir=32488
time=64335, red=29092, ir=32479
time=64345, red=29074, ir=32477
time=64355, red=29072, ir=32457
time=64365, red=29047, ir=32436
time=64375, red=29037, ir=32423
time=64385, red=29013, ir=32401
time=64395, red=28985, ir=32381
time=64405, red=28958, ir=32369
time=64415, red=28939, ir=32329
time=64425, red=28920, ir=32312
time=64435, red=28890, ir=32290
time=64445, red=28868, ir=32243
time=64455, red=28829, ir=32213
time=64465, red=28809, ir=32174
time=64475, red=28794, ir=32163
time=64485, red=28788, ir=32163
time=64495, red=28791, ir=32174
time=64505, red=28817, ir=32161
time=64515, red=28802, ir=32184
time=64525, red=28818, ir=32180
time=64535, red=28797, ir=32185
time=64545, red=28812, ir=32177
time=64555, red=28796, ir=32183
time=64565, red=28800, ir=32178
time=64575, red=28809, ir=32186
time=64585, red=28799, ir=32175
time=64595, red=28794, ir=32165
time=64605, red=28772, ir=32154
time=64615, red=28778, ir=32142
time=64625, red=28763, ir=32160
time=64635, red=28743, ir=32128
time=64645, red=28726, ir=32093
time=64655, red=28701, ir=32086
time=64665, red=28680, ir=32054
time=64675, red=28674, ir=32055
time=64685, red=28668, ir=32048
time=64695, red=28659, ir=32035
time=64705, red=28643, ir=32013
time=64715, red=28613, ir=31987
time=64725, red=28591, ir=31965
time=64735, red=28600, ir=31974
time=64745, red=28609, ir=31974
time=64755, red=28581, ir=31946
time=64765, red=28568, ir=31929
time=64775, red=28551, ir=31924
time=64785, red=28560, ir=31930
time=64795, red=28545, ir=31940
time=64805, red=28537, ir=31912
time=64815, red=28518, ir=31889
time=64825, red=28496, ir=31869
time=64835, red=28489, ir=31860
time=64845, red=28504, ir=31879
time=64855, red=28519, ir=31918
time=64865, red=28547, ir=31925
time=64875, red=28556, ir=31937
time=64885, red=28529, ir=31933
time=64895, red=28526, ir=31928
time=64905, red=28527, ir=31918
time=64915, red=28518, ir=31919
time=64925, red=28513, ir=31913
time=64935, red=28522, ir=31916
time=64945, red=28527, ir=31925
time=64955, red=28539, ir=31913
time=64965, red=28516, ir=31918
time=64975, red=28519, ir=31910
time=64985, red=28486, ir=31888
time=64995, red=28459, ir=31833
time=65005, red=28401, ir=31767
time=65015, red=28373, ir=31746
time=65025, red=28364, ir=31746
time=65035, red=28373, ir=31756
time=65045, red=28363, ir=31737
time=65055, red=28359, ir=31745
time=65065, red=28358, ir=31725
time=65075, red=28341, ir=31730
time=65085, red=28356, ir=31735
time=65095, red=28357, ir=31727
time=65105, red=28338, ir=31693
time=65115, red=28311, ir=31681
time=65125, red=28315, ir=31687
time=65135, red=28320, ir=31688
time=65145, red=28327, ir=31701
time=65155, red=28346, ir=31717
time=65165, red=28339, ir=31714
time=65175, red=28318, ir=31680
time=65185, red=28303, ir=31668
time=65195, red=28293, ir=31637
time=65205, red=28296, ir=31663
time=65215, red=28327, ir=31683
time=65225, red=28351, ir=31711
time=65235, red=28381, ir=31737
time=65245, red=28400, ir=31770
time=65255, red=28420, ir=31778
time=65265, red=28429, ir=31788
time=65275, red=28441, ir=31802
time=65285, red=28447, ir=31810
time=65295, red=28462, ir=31819
time=65305, red=28478, ir=31855
HR=133, SP=84
time=65315, red=28487, ir=31876
time=65325, red=28513, ir=31887
time=65335, red=28518, ir=31887
time=65345, red=28510, ir=31878
time=65355, red=28514, ir=31883
time=65365, red=28526, ir=31892
time=65375, red=28530, ir=31892
time=65385, red=28530, ir=31889
time=65395, red=28518, ir=31867
time=65405, red=28470, ir=31836
time=65415, red=28458, ir=31802
time=65425, red=28458, ir=31820
time=65435, red=28453, ir=31812
time=65445, red=28445, ir=31803
time=65455, red=28429, ir=31779
time=65465, red=28405, ir=31764
time=65475, red=28380, ir=31733
time=65485, red=28346, ir=31694
time=65495, red=28318, ir=31657
time=65505, red=28295, ir=31628
time=65515, red=28282, ir=31592
time=65525, red=28247, ir=31578
time=65535, red=28231, ir=31568
time=65545, red=28209, ir=31562
time=65555, red=28208, ir=31540
