time=46093, red=27767, ir=29299
time=46103, red=27768, ir=29299
time=46113, red=27760, ir=29305
time=46123, red=27773, ir=29312
time=46133, red=27789, ir=29341
time=46143, red=27816, ir=29351
time=46153, red=27837, ir=29385
time=46163, red=27866, ir=29404
time=46173, red=27897, ir=29432
time=46183, red=27910, ir=29451
time=46193, red=27933, ir=29484
HR=171, SP=78
time=46220, red=27943, ir=29491
time=46224, red=27936, ir=29490
time=46233, red=27948, ir=29483
time=46243, red=27937, ir=29474
time=46253, red=27927, ir=29486
time=46263, red=27940, ir=29483
time=46273, red=27937, ir=29473
time=46283, red=27935, ir=29483
time=46293, red=27940, ir=29468
time=46303, red=27946, ir=29466
time=46313, red=27947, ir=29465
time=46323, red=27924, ir=29454
time=46333, red=27916, ir=29451
time=46343, red=27917, ir=29440
time=46353, red=27907, ir=29421
time=46363, red=27905, ir=29414
time=46373, red=27904, ir=29418
time=46383, red=27897, ir=29427
time=46393, red=27914, ir=29445
time=46403, red=27916, ir=29437
time=46413, red=27917, ir=29432
time=46423, red=27907, ir=29419
time=46433, red=27907, ir=29420
time=46443, red=27924, ir=29432
time=46453, red=27948, ir=29454
time=46463, red=27952, ir=29458
time=46473, red=27951, ir=29467
time=46483, red=27956, ir=29465
time=46493, red=27960, ir=29469
time=46503, red=27969, ir=29459
time=46513, red=27972, ir=29490
time=46523, red=27965, ir=29475
time=46533, red=28012, ir=29480
time=46543, red=27961, ir=29463
time=46553, red=27951, ir=29463
time=46563, red=27943, ir=29465
time=46573, red=27958, ir=29458
time=46583, red=27958, ir=29460
time=46593, red=27957, ir=29468
time=46603, red=27968, ir=29471
time=46613, red=27971, ir=29480
time=46623, red=27969, ir=29487
time=46633, red=27969, ir=29490
time=46643, red=27969, ir=29489
time=46653, red=27955, ir=29478
time=46663, red=27950, ir=29479
time=46673, red=27950, ir=29463
time=46683, red=27945, ir=29471
time=46693, red=27958, ir=29469
time=46703, red=27956, ir=29466
time=46713, red=27947, ir=29454
time=46723, red=27940, ir=29465
time=46733, red=27961, ir=29455
time=46743, red=27946, ir=29452
time=46753, red=27954, ir=29464
time=46763, red=27956, ir=29440
time=46773, red=27958, ir=29459
time=46783, red=27958, ir=29457
time=46793, red=27965, ir=29480
time=46803, red=27972, ir=29465
time=46813, red=27971, ir=29475
time=46823, red=27971, ir=29487
time=46833, red=27977, ir=29472
time=46843, red=27979, ir=29468
time=46853, red=27976, ir=29455
time=46863, red=27958, ir=29450
time=46873, red=27945, ir=29420
time=46883, red=27927, ir=29415
time=46893, red=27943, ir=29424
time=46903, red=27938, ir=29449
time=46913, red=27964, ir=29453
time=46923, red=27964, ir=29472
time=46933, red=27960, ir=29465
time=46943, red=27939, ir=29456
time=46953, red=27937, ir=29438
time=46963, red=27924, ir=29425
time=46973, red=27920, ir=29421
time=46983, red=27916, ir=29420
time=46993, red=27919, ir=29412
time=47003, red=27908, ir=29417
time=47013, red=27905, ir=29420
time=47023, red=27912, ir=29419
time=47033, red=27904, ir=29417
time=47043, red=27912, ir=29417
time=47053, red=27928, ir=29422
time=47063, red=27904, ir=29435
time=47073, red=27932, ir=29446
time=47083, red=27935, ir=29458
time=47093, red=27942, ir=29457
time=47103, red=27934, ir=29456
time=47113, red=27942, ir=29449
time=47123, red=27936, ir=29467
time=47133, red=27932, ir=29457
time=47143, red=27942, ir=29445
time=47153, red=27943, ir=29457
time=47163, red=27940, ir=29453
time=47173, red=27962, ir=29482
time=47183, red=27948, ir=29467
time=47193, red=27952, ir=29472
time=47203, red=27945, ir=29473
HR=193, SP=83
time=47213, red=27925, ir=29458
time=47223, red=27925, ir=29442
time=47233, red=27906, ir=29427
time=47243, red=27905, ir=29409
time=47253, red=27890, ir=29394
time=47263, red=27881, ir=29379
time=47273, red=27867, ir=29383
time=47283, red=27848, ir=29359
time=47293, red=27853, ir=29367
time=47303, red=27855, ir=29361
time=47313, red=27854, ir=29356
time=47323, red=27853, ir=29350
time=47333, red=27849, ir=29372
time=47343, red=27870, ir=29376
time=47353, red=27878, ir=29396
time=47363, red=27889, ir=29398
time=47373, red=27890, ir=29399
time=47383, red=27920, ir=29417
time=47393, red=27921, ir=29430
time=47403, red=27924, ir=29433
time=47413, red=27929, ir=29443
time=47423, red=27934, ir=29438
time=47433, red=27904, ir=29418
time=47443, red=27896, ir=29414
time=47453, red=27871, ir=29387
time=47463, red=27878, ir=29393
time=47473, red=27872, ir=29384
time=47483, red=27867, ir=29378
time=47493, red=27848, ir=29366
time=47503, red=27855, ir=29353
time=47513, red=27844, ir=29378
time=47523, red=27854, ir=29356
time=47533, red=27835, ir=29348
time=47543, red=27831, ir=29346
time=47553, red=27816, ir=29341
time=47563, red=27821, ir=29324
time=47573, red=27824, ir=29333
time=47583, red=27798, ir=29323
time=47593, red=27788, ir=29317
time=47603, red=27798, ir=29324
time=47613, red=27800, ir=29349
time=47623, red=27829, ir=29334
time=47633, red=27816, ir=29344
time=47643, red=27832, ir=29352
time=47653, red=27814, ir=29351
time=47663, red=27833, ir=29353
time=47673, red=27832, ir=29364
time=47683, red=27843, ir=29366
time=47693, red=27822, ir=29361
time=47703, red=27813, ir=29356
time=47713, red=27821, ir=29353
time=47723, red=27818, ir=29354
time=47733, red=27805, ir=29338
time=47743, red=27789, ir=29324
time=47753, red=27783, ir=29306
time=47763, red=27769, ir=29292
time=47773, red=27745, ir=29270
time=47783, red=27731, ir=29245
time=47793, red=27739, ir=29243
time=47803, red=27754, ir=29280
time=47813, red=27776, ir=29298
time=47823, red=27794, ir=29316
time=47833, red=27798, ir=29322
time=47843, red=27790, ir=29319
time=47853, red=27804, ir=29331
time=47863, red=27789, ir=29314
time=47873, red=27793, ir=29306
time=47883, red=27797, ir=29314
time=47893, red=27816, ir=29322
time=47903, red=27812, ir=29343
time=47913, red=27839, ir=29341
time=47923, red=27858, ir=29364
time=47933, red=27907, ir=29408
time=47943, red=27941, ir=29444
time=47953, red=27975, ir=29480
time=47963, red=27994, ir=29516
time=47973, red=28012, ir=29522
time=47983, red=28018, ir=29513
time=47993, red=27996, ir=29501
time=48003, red=27993, ir=29507
time=48013, red=27990, ir=29510
time=48023, red=28020, ir=29521
time=48033, red=28034, ir=29540
time=48043, red=28061, ir=29573
time=48053, red=28088, ir=29577
time=48063, red=28096, ir=29586
time=48073, red=28087, ir=29581
time=48083, red=28071, ir=29573
time=48093, red=28056, ir=29551
time=48103, red=28026, ir=29528
time=48113, red=28012, ir=29504
time=48123, red=28007, ir=29477
time=48133, red=27968, ir=29462
time=48143, red=27936, ir=29445
time=48153, red=27947, ir=29436
time=48163, red=27926, ir=29409
time=48173, red=27904, ir=29382
time=48183, red=27874, ir=29371
time=48193, red=27872, ir=29335
time=48203, red=27830, ir=29305
HR=240, SP=83
time=48228, red=27799, ir=29275
