time=24228, red=82596, ir=255728
time=24239, red=82616, ir=255771
time=24249, red=82602, ir=255777
time=24259, red=82612, ir=255775
time=24269, red=82601, ir=255784
time=24279, red=82616, ir=255805
time=24289, red=82619, ir=255799
time=24299, red=82615, ir=255804
time=24309, red=82604, ir=255812
time=24319, red=82601, ir=255828
time=24329, red=82614, ir=255832
time=24339, red=82600, ir=255827
time=24349, red=82611, ir=255831
time=24359, red=82617, ir=255842
time=24369, red=82610, ir=255866
time=24379, red=82597, ir=255874
time=24389, red=82596, ir=255873
time=24399, red=82602, ir=255878
time=24409, red=82611, ir=255902
time=24419, red=82595, ir=255890
time=24429, red=82605, ir=255919
time=24439, red=82608, ir=255927
time=24449, red=82598, ir=255948
time=24459, red=82606, ir=255945
time=24469, red=82601, ir=255955
time=24479, red=82595, ir=255957
time=24489, red=82590, ir=255956
time=24499, red=82592, ir=255974
time=24509, red=82596, ir=255972
time=24519, red=82611, ir=255978
time=24529, red=82602, ir=255994
time=24539, red=82605, ir=256023
time=24549, red=82600, ir=256021
time=24559, red=82614, ir=256025
time=24569, red=82593, ir=256033
time=24579, red=82584, ir=256056
time=24589, red=82596, ir=256073
time=24599, red=82592, ir=256094
time=24609, red=82604, ir=256105
time=24619, red=82605, ir=256101
time=24629, red=82605, ir=256088
time=24639, red=82598, ir=256084
time=24649, red=82584, ir=256053
time=24659, red=82585, ir=256019
time=24669, red=82579, ir=256019
time=24679, red=82584, ir=256006
time=24689, red=82575, ir=255980
time=24699, red=82583, ir=255943
time=24709, red=82574, ir=255910
time=24719, red=82558, ir=255878
time=24729, red=82540, ir=255831
time=24739, red=82558, ir=255783
time=24749, red=82530, ir=255737
time=24759, red=82536, ir=255691
time=24769, red=82522, ir=255644
time=24779, red=82529, ir=255627
time=24789, red=82525, ir=255574
time=24799, red=82520, ir=255543
time=24809, red=82507, ir=255473
time=24819, red=82516, ir=255422
time=24829, red=82491, ir=255388
time=24839, red=82512, ir=255335
time=24849, red=82502, ir=255294
time=24859, red=82507, ir=255285
time=24869, red=82501, ir=255234
time=24879, red=82494, ir=255221
time=24889, red=82501, ir=255193
time=24899, red=82511, ir=255161
time=24909, red=82507, ir=255120
time=24919, red=82509, ir=255093
time=24929, red=82510, ir=255047
time=24939, red=82516, ir=255032
time=24949, red=82496, ir=255000
time=24959, red=82497, ir=254960
time=24969, red=82509, ir=254954
time=24979, red=82493, ir=254951
time=24989, red=82515, ir=254947
time=24999, red=82514, ir=254923
time=25009, red=82513, ir=254918
time=25019, red=82511, ir=254887
time=25029, red=82502, ir=254885
time=25039, red=82507, ir=254892
time=25049, red=82521, ir=254881
time=25059, red=82504, ir=254876
time=25069, red=82510, ir=254884
time=25079, red=82518, ir=254857
time=25089, red=82512, ir=254875
HR=150, SP=-1
time=25099, red=82512, ir=254883
time=25109, red=82526, ir=254894
time=25119, red=82522, ir=254926
time=25129, red=82536, ir=254951
time=25139, red=82533, ir=254962
time=25149, red=82533, ir=255003
time=25159, red=82550, ir=255029
time=25169, red=82544, ir=255065
time=25179, red=82535, ir=255075
time=25189, red=82553, ir=255075
time=25199, red=82552, ir=255093
time=25209, red=82564, ir=255107
time=25219, red=82559, ir=255118
time=25229, red=82551, ir=255144
time=25239, red=82567, ir=255135
time=25249, red=82562, ir=255143
time=25259, red=82562, ir=255153
time=25269, red=82581, ir=255157
time=25279, red=82562, ir=255163
time=25289, red=82566, ir=255173
time=25299, red=82556, ir=255168
time=25309, red=82560, ir=255192
time=25319, red=82578, ir=255181
time=25329, red=82570, ir=255167
time=25339, red=82558, ir=255172
time=25349, red=82564, ir=255180
time=25359, red=82562, ir=255174
time=25369, red=82567, ir=255152
time=25379, red=82553, ir=255168
time=25389, red=82565, ir=255173
time=25399, red=82576, ir=255185
time=25409, red=82567, ir=255202
time=25419, red=82568, ir=255178
time=25429, red=82560, ir=255188
time=25439, red=82561, ir=255173
time=25449, red=82574, ir=255206
time=25459, red=82569, ir=255216
time=25469, red=82568, ir=255241
time=25479, red=82578, ir=255260
time=25489, red=82584, ir=255270
time=25499, red=82575, ir=255271
time=25509, red=82567, ir=255278
time=25519, red=82581, ir=255322
time=25529, red=82587, ir=255350
time=25539, red=82566, ir=255343
time=25549, red=82584, ir=255358
time=25559, red=82577, ir=255366
time=25569, red=82584, ir=255358
time=25579, red=82563, ir=255376
time=25589, red=82580, ir=255377
time=25599, red=82584, ir=255408
time=25609, red=82594, ir=255418
time=25619, red=82592, ir=255441
time=25629, red=82577, ir=255426
time=25639, red=82588, ir=255444
time=25649, red=82583, ir=255481
time=25659, red=82581, ir=255472
time=25669, red=82589, ir=255522
time=25679, red=82592, ir=255505
time=25689, red=82582, ir=255544
time=25699, red=82594, ir=255547
time=25709, red=82583, ir=255564
time=25719, red=82595, ir=255575
time=25729, red=82579, ir=255593
time=25739, red=82590, ir=255607
time=25749, red=82593, ir=255626
time=25759, red=82594, ir=255643
time=25769, red=82605, ir=255647
time=25779, red=82593, ir=255673
time=25789, red=82593, ir=255676
time=25799, red=82600, ir=255707
time=25809, red=82603, ir=255717
time=25819, red=82605, ir=255741
time=25829, red=82597, ir=255773
time=25839, red=82602, ir=255782
time=25849, red=82599, ir=255778
time=25859, red=82593, ir=255792
time=25869, red=82584, ir=255781
time=25879, red=82591, ir=255800
time=25889, red=82596, ir=255815
time=25899, red=82605, ir=255837
time=25909, red=82600, ir=255851
time=25919, red=82590, ir=255867
time=25929, red=82590, ir=255885
time=25939, red=82589, ir=255859
time=25949, red=82600, ir=255886
time=25959, red=82586, ir=255872
time=25969, red=82589, ir=255879
time=25979, red=82582, ir=255902
time=25989, red=82581, ir=255908
time=25999, red=82590, ir=255929
time=26009, red=82582, ir=255928
time=26019, red=82596, ir=255953
time=26029, red=82582, ir=255962
time=26039, red=82587, ir=255982
time=26049, red=82594, ir=255992
time=26059, red=82590, ir=255985
time=26069, red=82581, ir=255989
time=26079, red=82588, ir=255987
time=26089, red=82589, ir=256003
HR=150, SP=-1
time=26116, red=82576, ir=256025
time=26120, red=82588, ir=256024
time=26129, red=82583, ir=256056
time=26139, red=82575, ir=256049
time=26149, red=82576, ir=256056
time=26159, red=82570, ir=256042
time=26169, red=82580, ir=256074
time=26179, red=82577, ir=256078
time=26189, red=82567, ir=256111
time=26199, red=82598, ir=256124
time=26209, red=82585, ir=256130
time=26219, red=82576, ir=256135
time=26229, red=82577, ir=256154
time=26239, red=82576, ir=256146
time=26249, red=82568, ir=256131
time=26259, red=82574, ir=256111
time=26269, red=82565, ir=256109
time=26279, red=82566, ir=256071
time=26289, red=82557, ir=256050
time=26299, red=82546, ir=256030
time=26309, red=82557, ir=255996
time=26319, red=82547, ir=255966
time=26329, red=82541, ir=255937
time=26339, red=82541, ir=255921
time=26349, red=82526, ir=255880
time=26359, red=82517, ir=255837
time=26369, red=82516, ir=255793
time=26379, red=82491, ir=255740
time=26389, red=82495, ir=255671
time=26399, red=82485, ir=255617
time=26409, red=82495, ir=255606
time=26419, red=82487, ir=255533
time=26429, red=82504, ir=255439
time=26439, red=82460, ir=255399
time=26449, red=82447, ir=255353
time=26459, red=82454, ir=255316
time=26469, red=82452, ir=255295
time=26479, red=82448, ir=255242
time=26489, red=82441, ir=255213
time=26499, red=82436, ir=255179
time=26509, red=82447, ir=255119
time=26519, red=82460, ir=255126
time=26529, red=82451, ir=255061
time=26539, red=82442, ir=255046
time=26549, red=82434, ir=255030
time=26559, red=82460, ir=255016
time=26569, red=82444, ir=254981
time=26579, red=82463, ir=254956
time=26589, red=82444, ir=254940
time=26599, red=82447, ir=254943
time=26609, red=82458, ir=254913
time=26619, red=82442, ir=254916
time=26629, red=82450, ir=254914
time=26639, red=82456, ir=254919
time=26649, red=82473, ir=254906
time=26659, red=82466, ir=254928
time=26669, red=82462, ir=254933
time=26679, red=82475, ir=254935
time=26689, red=82467, ir=254952
time=26699, red=82473, ir=254935
time=26709, red=82473, ir=254969
time=26719, red=82485, ir=254988
time=26729, red=82493, ir=254999
time=26739, red=82492, ir=255035
time=26749, red=82514, ir=255037
time=26759, red=82511, ir=255032
time=26769, red=82506, ir=255061
time=26779, red=82527, ir=255096
time=26789, red=82503, ir=255112
time=26799, red=82511, ir=255102
time=26809, red=82511, ir=255135
time=26819, red=82517, ir=255145
time=26829, red=82522, ir=255170
time=26839, red=82509, ir=255167
time=26849, red=82512, ir=255170
time=26859, red=82529, ir=255192
time=26869, red=82542, ir=255184
time=26879, red=82532, ir=255184
time=26889, red=82526, ir=255225
time=26899, red=82531, ir=255231
time=26909, red=82544, ir=255226
time=26919, red=82539, ir=255221
time=26929, red=82546, ir=255199
time=26939, red=82533, ir=255208
time=26949, red=82533, ir=255193
time=26959, red=82537, ir=255192
time=26969, red=82529, ir=255188
time=26979, red=82525, ir=255188
time=26989, red=82517, ir=255195
time=26999, red=82523, ir=255215
time=27009, red=82524, ir=255201
time=27019, red=82529, ir=255202
time=27029, red=82528, ir=255226
time=27039, red=82533, ir=255240
time=27049, red=82544, ir=255260
time=27059, red=82542, ir=255255
time=27069, red=82521, ir=255255
time=27079, red=82521, ir=255263
time=27089, red=82520, ir=255250
time=27099, red=82533, ir=255267
HR=122, SP=87
time=27109, red=82532, ir=255291
time=27119, red=82547, ir=255314
time=27129, red=82532, ir=255323
time=27139, red=82547, ir=255333
time=27149, red=82544, ir=255361
time=27159, red=82548, ir=255384
time=27169, red=82530, ir=255376
time=27179, red=82554, ir=255401
time=27189, red=82543, ir=255402
time=27199, red=82547, ir=255418
time=27209, red=82545, ir=255415
time=27219, red=82546, ir=255433
time=27229, red=82550, ir=255460
time=27239, red=82544, ir=255476
time=27249, red=82541, ir=255480
time=27259, red=82567, ir=255500
time=27269, red=82546, ir=255531
time=27279, red=82552, ir=255528
time=27289, red=82550, ir=255538
time=27299, red=82544, ir=255554
time=27309, red=82554, ir=255565
time=27319, red=82550, ir=255541
time=27329, red=82550, ir=255554
time=27339, red=82550, ir=255572
time=27349, red=82549, ir=255579
time=27359, red=82546, ir=255559
time=27369, red=82536, ir=255612
time=27379, red=82552, ir=255610
time=27389, red=82559, ir=255624
time=27399, red=82560, ir=255634
time=27409, red=82559, ir=255650
time=27419, red=82551, ir=255665
time=27429, red=82542, ir=255654
time=27439, red=82541, ir=255650
time=27449, red=82529, ir=255647
time=27459, red=82539, ir=255651
time=27469, red=82547, ir=255679
time=27479, red=82526, ir=255701
time=27489, red=82545, ir=255745
time=27499, red=82549, ir=255735
time=27509, red=82532, ir=255727
time=27519, red=82548, ir=255737
time=27529, red=82549, ir=255731
time=27539, red=82530, ir=255761
time=27549, red=82534, ir=255769
time=27559, red=82533, ir=255770
time=27569, red=82539, ir=255791
time=27579, red=82546, ir=255785
time=27589, red=82538, ir=255796
time=27599, red=82544, ir=255801
time=27609, red=82545, ir=255827
time=27619, red=82542, ir=255821
time=27629, red=82533, ir=255842
time=27639, red=82541, ir=255846
time=27649, red=82535, ir=255875
time=27659, red=82536, ir=255890
time=27669, red=82538, ir=255888
time=27679, red=82548, ir=255911
time=27689, red=82552, ir=255917
time=27699, red=82547, ir=255927
time=27709, red=82547, ir=255942
time=27719, red=82547, ir=255955
time=27729, red=82557, ir=255978
time=27739, red=82554, ir=255983
time=27749, red=82549, ir=255989
time=27759, red=82542, ir=256016
time=27769, red=82562, ir=256010
time=27779, red=82556, ir=256025
time=27789, red=82551, ir=256020
time=27799, red=82539, ir=256014
time=27809, red=82553, ir=256041
time=27819, red=82547, ir=256036
time=27829, red=82542, ir=256054
time=27839, red=82553, ir=256046
time=27849, red=82536, ir=256055
time=27859, red=82550, ir=256047
time=27869, red=82515, ir=256041
time=27879, red=82539, ir=256028
time=27889, red=82523, ir=255978
time=27899, red=82539, ir=255963
time=27909, red=82522, ir=255919
time=27919, red=82512, ir=255878
time=27929, red=82496, ir=255847
time=27939, red=82487, ir=255809
time=27949, red=82502, ir=255769
time=27959, red=82486, ir=255742
time=27969, red=82497, ir=255684
time=27979, red=82484, ir=255647
time=27989, red=82464, ir=255594
time=27999, red=82461, ir=255512
time=28009, red=82460, ir=255472
time=28019, red=82464, ir=255458
time=28029, red=82439, ir=255411
time=28039, red=82458, ir=255373
time=28049, red=82435, ir=255323
time=28059, red=82444, ir=255270
time=28069, red=82443, ir=255236
time=28080, red=82441, ir=255200
time=28090, red=82433, ir=255157
time=28100, red=82434, ir=255130
HR=76, SP=87
time=28124, red=82441, ir=255097
time=28130, red=82425, ir=255077
time=28140, red=82435, ir=255032
time=28150, red=82429, ir=255000
time=28160, red=82437, ir=254981
time=28170, red=82436, ir=254961
time=28180, red=82437, ir=254939
time=28190, red=82436, ir=254895
time=28200, red=82436, ir=254901
time=28210, red=82433, ir=254864
time=28220, red=82423, ir=254856
time=28230, red=82435, ir=254857
time=28240, red=82435, ir=254840
time=28250, red=82441, ir=254822
time=28260, red=82434, ir=254807
time=28270, red=82425, ir=254794
time=28280, red=82433, ir=254780
time=28290, red=82440, ir=254783
time=28300, red=82430, ir=254767
time=28310, red=82442, ir=254771
time=28320, red=82444, ir=254772
time=28330, red=82444, ir=254790
time=28340, red=82435, ir=254834
time=28350, red=82460, ir=254805
time=28360, red=82468, ir=254842
time=28370, red=82458, ir=254862
time=28380, red=82456, ir=254878
time=28390, red=82473, ir=254873
time=28400, red=82465, ir=254900
time=28410, red=82461, ir=254900
time=28420, red=82477, ir=254911
time=28430, red=82472, ir=254933
time=28440, red=82470, ir=254956
time=28450, red=82485, ir=254985
time=28460, red=82487, ir=254994
time=28470, red=82478, ir=254986
time=28480, red=82475, ir=255001
time=28490, red=82478, ir=255003
time=28500, red=82492, ir=255001
time=28510, red=82470, ir=255022
time=28520, red=82494, ir=255016
time=28530, red=82494, ir=255054
time=28540, red=82485, ir=255052
time=28550, red=82484, ir=255070
time=28560, red=82490, ir=255064
time=28570, red=82491, ir=255065
time=28580, red=82480, ir=255052
time=28590, red=82496, ir=255098
time=28600, red=82486, ir=255073
time=28610, red=82504, ir=255095
