time=25227, red=83254, ir=124474
time=25237, red=83262, ir=124484
time=25247, red=83274, ir=124483
time=25257, red=83269, ir=124492
time=25267, red=83251, ir=124495
time=25277, red=83260, ir=124513
time=25287, red=83270, ir=124499
time=25297, red=83276, ir=124524
time=25307, red=83264, ir=124525
time=25317, red=83272, ir=124533
time=25327, red=83266, ir=124550
time=25337, red=83267, ir=124533
time=25347, red=83270, ir=124545
time=25357, red=83263, ir=124548
time=25367, red=83274, ir=124572
time=25377, red=83282, ir=124573
time=25387, red=83278, ir=124575
time=25397, red=83264, ir=124581
time=25407, red=83276, ir=124596
time=25417, red=83281, ir=124594
time=25427, red=83281, ir=124605
time=25437, red=83282, ir=124594
time=25447, red=83264, ir=124601
time=25457, red=83270, ir=124603
time=25467, red=83282, ir=124615
time=25477, red=83269, ir=124606
time=25487, red=83262, ir=124615
time=25497, red=83264, ir=124628
time=25507, red=83272, ir=124614
time=25517, red=83277, ir=124628
time=25527, red=83259, ir=124655
time=25537, red=83264, ir=124636
time=25547, red=83265, ir=124645
time=25557, red=83280, ir=124641
time=25567, red=83281, ir=124649
time=25577, red=83271, ir=124647
time=25587, red=83269, ir=124664
time=25597, red=83290, ir=124649
time=25607, red=83282, ir=124675
time=25617, red=83290, ir=124664
time=25627, red=83277, ir=124681
time=25637, red=83278, ir=124674
time=25647, red=83281, ir=124681
time=25657, red=83272, ir=124684
time=25667, red=83268, ir=124701
time=25677, red=83287, ir=124706
time=25687, red=83273, ir=124706
time=25697, red=83274, ir=124711
time=25707, red=83298, ir=124715
time=25717, red=83281, ir=124729
time=25727, red=83281, ir=124740
time=25737, red=83280, ir=124743
time=25747, red=83279, ir=124759
time=25757, red=83276, ir=124742
time=25767, red=83285, ir=124748
time=25777, red=83277, ir=124752
time=25787, red=83282, ir=124752
time=25797, red=83288, ir=124769
time=25807, red=83285, ir=124746
time=25817, red=83273, ir=124753
time=25827, red=83276, ir=124737
time=25837, red=83268, ir=124729
time=25847, red=83261, ir=124722
time=25857, red=83255, ir=124703
time=25867, red=83266, ir=124685
time=25877, red=83245, ir=124687
time=25887, red=83246, ir=124659
time=25897, red=83242, ir=124659
time=25907, red=83241, ir=124624
time=25917, red=83235, ir=124597
