time=45298, red=29511, ir=31773
time=45308, red=29517, ir=31753
time=45318, red=29533, ir=31789
time=45328, red=29556, ir=31796
time=45338, red=29528, ir=31782
time=45348, red=29500, ir=31757
time=45358, red=29478, ir=31737
time=45368, red=29470, ir=31730
time=45378, red=29464, ir=31735
time=45388, red=29495, ir=31747
time=45398, red=29525, ir=31771
time=45408, red=29535, ir=31805
time=45418, red=29565, ir=31815
time=45428, red=29556, ir=31816
time=45438, red=29544, ir=31811
time=45448, red=29536, ir=31813
time=45458, red=29531, ir=31785
time=45468, red=29508, ir=31781
time=45478, red=29507, ir=31767
time=45488, red=29510, ir=31757
time=45498, red=29498, ir=31730
time=45508, red=29454, ir=31696
time=45518, red=29435, ir=31688
time=45528, red=29425, ir=31684
time=45538, red=29422, ir=31669
time=45548, red=29425, ir=31671
time=45558, red=29424, ir=31657
time=45568, red=29422, ir=31667
time=45578, red=29441, ir=31674
time=45588, red=29423, ir=31665
time=45598, red=29405, ir=31662
time=45608, red=29409, ir=31635
time=45618, red=29397, ir=31645
time=45628, red=29408, ir=31662
time=45638, red=29445, ir=31702
time=45648, red=29475, ir=31735
time=45658, red=29493, ir=31755
time=45668, red=29501, ir=31744
time=45678, red=29504, ir=31763
time=45688, red=29510, ir=31782
time=45699, red=29528, ir=31790
time=45709, red=29538, ir=31808
time=45719, red=29551, ir=31819
time=45729, red=29572, ir=31849
time=45739, red=29569, ir=31838
time=45749, red=29571, ir=31823
time=45759, red=29556, ir=31827
time=45769, red=29566, ir=31820
time=45779, red=29564, ir=31815
time=45789, red=29547, ir=31811
time=45799, red=29547, ir=31804
time=45809, red=29545, ir=31812
time=45819, red=29535, ir=31792
time=45829, red=29536, ir=31808
time=45839, red=29545, ir=31813
time=45849, red=29576, ir=31836
time=45859, red=29604, ir=31885
time=45869, red=29632, ir=31924
time=45879, red=29647, ir=31913
time=45889, red=29643, ir=31924
time=45899, red=29649, ir=31929
time=45909, red=29647, ir=31949
time=45919, red=29640, ir=31931
time=45929, red=29624, ir=31897
time=45939, red=29596, ir=31852
time=45949, red=29556, ir=31817
time=45959, red=29517, ir=31783
time=45969, red=29497, ir=31760
time=45979, red=29512, ir=31784
time=45989, red=29516, ir=31801
time=45999, red=29548, ir=31813
time=46009, red=29556, ir=31832
time=46019, red=29559, ir=31848
time=46029, red=29575, ir=31860
time=46039, red=29574, ir=31869
time=46049, red=29592, ir=31870
time=46059, red=29595, ir=31881
time=46069, red=29594, ir=31863
time=46079, red=29584, ir=31880
time=46089, red=29599, ir=31880
time=46099, red=29596, ir=31884
time=46109, red=29603, ir=31889
time=46119, red=29593, ir=31892
time=46129, red=29590, ir=31886
time=46139, red=29571, ir=31870
time=46149, red=29576, ir=31847
time=46159, red=29550, ir=31836
time=46169, red=29531, ir=31813
time=46179, red=29529, ir=31816
time=46189, red=29552, ir=31850
time=46199, red=29574, ir=31846
HR=142, SP=82
time=46225, red=29558, ir=31838
time=46229, red=29552, ir=31829
time=46239, red=29543, ir=31826
time=46249, red=29543, ir=31820
time=46259, red=29519, ir=31810
time=46269, red=29506, ir=31789
time=46279, red=29498, ir=31772
time=46289, red=29460, ir=31742
time=46299, red=29439, ir=31712
time=46309, red=29443, ir=31708
time=46319, red=29442, ir=31723
time=46329, red=29461, ir=31748
time=46339, red=29463, ir=31756
time=46349, red=29471, ir=31758
time=46359, red=29456, ir=31746
time=46369, red=29459, ir=31743
time=46379, red=29440, ir=31706
time=46389, red=29433, ir=31714
time=46399, red=29437, ir=31724
time=46409, red=29449, ir=31735
time=46419, red=29470, ir=31756
time=46429, red=29484, ir=31762
time=46439, red=29476, ir=31771
time=46449, red=29482, ir=31765
time=46459, red=29463, ir=31743
time=46469, red=29462, ir=31732
time=46479, red=29448, ir=31732
time=46489, red=29459, ir=31740
time=46499, red=29445, ir=31726
time=46509, red=29453, ir=31727
time=46519, red=29438, ir=31722
time=46529, red=29434, ir=31711
time=46539, red=29461, ir=31723
time=46549, red=29406, ir=31682
time=46559, red=29366, ir=31649
time=46569, red=29361, ir=31621
time=46579, red=29309, ir=31598
time=46589, red=29319, ir=31588
time=46599, red=29305, ir=31566
time=46609, red=29295, ir=31562
time=46619, red=29290, ir=31543
time=46629, red=29310, ir=31558
time=46639, red=29320, ir=31591
time=46649, red=29342, ir=31617
time=46659, red=29383, ir=31646
time=46669, red=29413, ir=31697
time=46679, red=29424, ir=31696
time=46689, red=29446, ir=31722
time=46699, red=29438, ir=31714
time=46709, red=29444, ir=31732
time=46719, red=29463, ir=31735
time=46729, red=29481, ir=31753
time=46739, red=29516, ir=31798
time=46749, red=29530, ir=31819
time=46759, red=29579, ir=31860
time=46769, red=29606, ir=31881
time=46779, red=29609, ir=31883
time=46789, red=29604, ir=31894
time=46799, red=29620, ir=31894
time=46809, red=29605, ir=31896
time=46819, red=29606, ir=31869
time=46829, red=29603, ir=31862
time=46839, red=29592, ir=31874
time=46849, red=29576, ir=31858
time=46859, red=29571, ir=31836
time=46869, red=29561, ir=31829
time=46879, red=29568, ir=31829
time=46889, red=29575, ir=31854
time=46899, red=29598, ir=31842
time=46909, red=29588, ir=31850
time=46919, red=29602, ir=31868
time=46929, red=29634, ir=31899
time=46939, red=29646, ir=31905
time=46949, red=29642, ir=31911
time=46959, red=29623, ir=31880
time=46969, red=29607, ir=31869
time=46979, red=29606, ir=31881
time=46989, red=29618, ir=31865
time=46999, red=29599, ir=31878
time=47009, red=29607, ir=31880
time=47019, red=29631, ir=31892
time=47029, red=29638, ir=31913
time=47039, red=29656, ir=31907
time=47049, red=29647, ir=31913
time=47059, red=29636, ir=31908
time=47069, red=29610, ir=31894
time=47079, red=29614, ir=31879
time=47089, red=29616, ir=31886
time=47099, red=29608, ir=31876
time=47109, red=29602, ir=31854
