1, 19762, 33232
6, 19783, 33222
16, 19760, 33224
26, 19753, 33230
36, 19752, 33243
46, 19750, 33218
56, 19759, 33232
66, 19758, 33235
76, 19749, 33220
86, 19743, 33239
96, 19753, 33239
106, 19751, 33231
116, 19759, 33231
126, 19757, 33241
136, 19750, 33229
146, 19762, 33224
156, 19745, 33223
166, 19754, 33233
176, 19759, 33255
186, 19748, 33225
196, 19755, 33233
206, 19757, 33229
216, 19757, 33245
226, 19753, 33227
236, 19766, 33250
246, 19757, 33222
256, 19755, 33222
267, 19760, 33235
277, 19754, 33230
287, 19764, 33243
297, 19752, 33237
307, 19743, 33231
317, 96682, 98900
327, 96728, 98993
337, 96773, 99071
347, 96797, 99154
357, 96870, 99233
367, 96894, 99337
377, 96940, 99429
387, 96995, 99533
397, 97052, 99632
407, 97093, 99732
417, 97125, 99834
427, 97165, 99896
437, 97216, 100006
447, 97264, 100111
457, 97315, 100214
467, 97363, 100334
477, 97411, 100434
487, 97479, 100539
497, 97508, 100635
507, 97544, 100736
517, 97587, 100838
527, 97655, 100963
537, 97732, 101104
547, 97850, 101248
557, 98009, 101404
567, 98116, 101569
577, 98216, 101722
587, 98302, 101859
597, 98369, 101997
607, 98407, 102123
617, 98445, 102239
627, 98462, 102329
637, 98500, 102385
647, 98518, 102451
657, 98523, 102512
667, 98567, 102575
677, 98598, 102630
687, 98628, 102704
697, 98648, 102752
707, 98671, 102798
717, 98686, 102860
727, 98725, 102915
737, 98742, 102977
747, 98773, 103038
757, 98817, 103082
767, 98833, 103140
777, 98887, 103192
787, 98924, 103251
797, 98955, 103319
807, 98989, 103378
817, 98996, 103423
827, 99012, 103503
837, 99059, 103563
847, 99081, 103606
857, 99118, 103668
867, 99154, 103735
877, 99195, 103786
887, 99230, 103855
897, 99254, 103908
907, 99304, 103981
917, 99310, 104019
927, 99341, 104070
937, 99369, 104113
947, 99386, 104147
957, 99376, 104123
967, 99376, 104113
977, 99332, 104043
987, 99322, 103978
997, 99271, 103892
1007, 99226, 103811
1017, 99141, 103783
1027, 99094, 103787
1037, 99069, 103785
1047, 99081, 103765
1057, 99076, 103720
1067, 99070, 103685
1077, 99053, 103645
1087, 99032, 103628
1097, 99044, 103588
1107, 99036, 103517
1117, 99028, 103479
1127, 98994, 103458
1137, 99000, 103434
1148, 99011, 103439
1158, 99069, 103425
1168, 99087, 103420
1178, 99117, 103391
1188, 99097, 103354
1198, 99078, 103323
1208, 99086, 103306
1218, 99083, 103298
1228, 99096, 103314
1238, 99079, 103293
1248, 99103, 103295
1258, 99094, 103290
1268, 99136, 103294
1278, 99146, 103309
1288, 99140, 103306
1298, 99150, 103289
1308, 99173, 103294
1318, 99194, 103286
1328, 99197, 103263
1338, 99205, 103259
1348, 99196, 103248
1358, 99197, 103241
1368, 99190, 103265
1378, 99188, 103276
1388, 99176, 103305
1398, 99171, 103329
1408, 99184, 103362
1418, 99171, 103402
1428, 99190, 103438
1438, 99187, 103490
1448, 99214, 103544
1458, 99211, 103600
1468, 99237, 103649
1478, 99280, 103738
1488, 99319, 103789
1498, 99359, 103872
1508, 99383, 103941
1518, 99404, 103996
1528, 99451, 104089
1538, 99534, 104183
1548, 99595, 104278
1558, 99644, 104400
1568, 99723, 104490
1578, 99764, 104604
1588, 99836, 104671
1598, 99882, 104749
1608, 99907, 104836
1618, 99960, 104916
1628, 100018, 104978
1638, 100047, 105069
1648, 100082, 105105
1658, 100123, 105179
1668, 100147, 105245
1678, 100176, 105296
1688, 100224, 105369
1698, 100263, 105458
1708, 100304, 105515
1718, 100370, 105590
1728, 100420, 105640
1738, 100475, 105684
1748, 100501, 105756
1758, 100572, 105820
1768, 100622, 105908
1778, 100667, 105950
1788, 100715, 106024
1798, 100745, 106039
1808, 100784, 106104
1818, 100810, 106138
1828, 100846, 106179
1838, 100877, 106226
1848, 100882, 106251
1858, 100906, 106284
1868, 100935, 106310
1878, 100947, 106332
1888, 100961, 106329
1898, 100960, 106367
1908, 100962, 106360
1918, 100969, 106372
1928, 100976, 106367
1938, 100972, 106398
1948, 100995, 106405
1958, 100992, 106423
1968, 101003, 106410
1978, 100982, 106397
1988, 100965, 106364
1998, 100914, 106296
2008, 100850, 106198
2018, 100790, 106099
2029, 100704, 105960
2039, 100632, 105818
2049, 100482, 105625
2059, 100295, 105334
2069, 100078, 105043
2079, 99947, 104794
2089, 99861, 104584
2099, 99797, 104441
2109, 99770, 104368
2119, 99737, 104272
2129, 99719, 104215
2139, 99704, 104137
2149, 99658, 104052
2159, 99626, 103967
2169, 99608, 103896
2179, 99553, 103784
2189, 99523, 103706
2199, 99496, 103620
2209, 99465, 103549
2219, 99427, 103491
2229, 99398, 103425
2239, 99389, 103359
2249, 99358, 103325
2259, 99356, 103298
2269, 99338, 103263
2279, 99337, 103239
2289, 99307, 103228
2299, 99298, 103209
2309, 99296, 103188
2319, 99285, 103153
2329, 99280, 103142
2339, 99255, 103128
2349, 99257, 103097
2359, 99250, 103093
2369, 99228, 103092
2379, 99237, 103074
2389, 99215, 103067
2399, 99218, 103071
2409, 99228, 103077
2419, 99217, 103051
2429, 99209, 103060
2439, 99226, 103057
2449, 99201, 103041
2459, 99211, 103066
2469, 99207, 103073
2479, 99213, 103101
2489, 99206, 103133
2499, 99212, 103150
2509, 99228, 103184
2519, 99237, 103213
2529, 99236, 103243
2539, 99257, 103268
2549, 99269, 103284
2559, 99282, 103313
2569, 99295, 103347
2579, 99313, 103374
2589, 99325, 103416
2599, 99344, 103432
2609, 99356, 103448
2619, 99353, 103470
