AT4T27P2 - Pris - 5_5_411_50, movement around 25k ms
time=39594, red=47655, ir=55053
time=39614, red=47673, ir=55064
time=39634, red=47657, ir=55058
time=39654, red=47647, ir=55041
time=39674, red=47665, ir=55073
time=39694, red=47664, ir=55064
time=39714, red=47667, ir=55092
time=39734, red=47675, ir=55108
time=39754, red=47666, ir=55104
time=39774, red=47672, ir=55102
time=39794, red=47673, ir=55116
time=39814, red=47678, ir=55115
time=39834, red=47684, ir=55136
time=39854, red=47684, ir=55139
time=39874, red=47673, ir=55158
time=39894, red=47690, ir=55162
time=39914, red=47687, ir=55182
time=39934, red=47669, ir=55169
time=39954, red=47683, ir=55176
HR=77, SP=94
time=39979, red=47672, ir=55186
time=39994, red=47666, ir=55184
time=40014, red=47682, ir=55189
time=40034, red=47682, ir=55195
time=40054, red=47667, ir=55187
time=40074, red=47673, ir=55181
time=40094, red=47649, ir=55158
time=40114, red=47649, ir=55133
time=40134, red=47626, ir=55122
time=40154, red=47623, ir=55095
time=40174, red=47628, ir=55076
time=40194, red=47626, ir=55058
time=40214, red=47624, ir=55005
time=40234, red=47593, ir=54980
time=40254, red=47599, ir=54944
time=40274, red=47584, ir=54940
time=40294, red=47593, ir=54921
time=40314, red=47611, ir=54905
time=40334, red=47614, ir=54901
time=40354, red=47618, ir=54909
time=40374, red=47639, ir=54904
time=40394, red=47614, ir=54894
time=40414, red=47646, ir=54887
time=40434, red=47643, ir=54887
time=40454, red=47638, ir=54885
time=40474, red=47653, ir=54911
time=40494, red=47664, ir=54922
time=40514, red=47681, ir=54927
time=40534, red=47689, ir=54943
time=40554, red=47694, ir=54959
time=40574, red=47704, ir=54973
time=40594, red=47701, ir=55005
time=40614, red=47701, ir=55018
time=40634, red=47714, ir=55030
time=40654, red=47716, ir=55014
time=40674, red=47701, ir=55030
time=40694, red=47704, ir=55011
time=40714, red=47705, ir=55001
time=40734, red=47718, ir=55033
time=40754, red=47699, ir=55040
time=40774, red=47714, ir=55040
time=40794, red=47717, ir=55042
time=40814, red=47716, ir=55055
time=40834, red=47726, ir=55074
time=40854, red=47739, ir=55099
time=40874, red=47742, ir=55111
time=40894, red=47751, ir=55124
time=40914, red=47735, ir=55131
