AT4T27P2 - Pris - 5_5_411_50, movement around 25k ms
time=40934, red=47739, ir=55135
time=40954, red=47749, ir=55151
time=40974, red=47746, ir=55148
time=40994, red=47758, ir=55175
time=41014, red=47750, ir=55180
time=41034, red=47744, ir=55195
time=41054, red=47748, ir=55217
time=41074, red=47754, ir=55217
time=41094, red=47768, ir=55238
time=41114, red=47761, ir=55246
time=41134, red=47766, ir=55283
time=41154, red=47755, ir=55273
time=41174, red=47757, ir=55271
time=41194, red=47758, ir=55275
time=41214, red=47747, ir=55265
time=41234, red=47745, ir=55276
time=41254, red=47763, ir=55301
time=41274, red=47768, ir=55331
time=41294, red=47757, ir=55341
time=41314, red=47763, ir=55347
time=41334, red=47768, ir=55333
time=41354, red=47732, ir=55338
time=41374, red=47764, ir=55366
time=41394, red=47763, ir=55352
time=41414, red=47757, ir=55383
time=41434, red=47763, ir=55377
time=41454, red=47753, ir=55380
time=41474, red=47784, ir=55396
time=41494, red=47772, ir=55421
time=41514, red=47777, ir=55415
time=41534, red=47761, ir=55437
time=41554, red=47765, ir=55423
time=41574, red=47765, ir=55432
time=41594, red=47751, ir=55435
time=41614, red=47755, ir=55433
time=41634, red=47732, ir=55426
time=41654, red=47763, ir=55441
time=41674, red=47761, ir=55448
time=41694, red=47748, ir=55450
time=41714, red=47742, ir=55445
time=41734, red=47740, ir=55435
time=41754, red=47729, ir=55393
time=41774, red=47695, ir=55356
time=41794, red=47687, ir=55322
time=41814, red=47662, ir=55288
time=41834, red=47666, ir=55263
time=41854, red=47648, ir=55232
time=41874, red=47647, ir=55211
time=41894, red=47654, ir=55208
time=41914, red=47638, ir=55198
time=41934, red=47648, ir=55169
time=41954, red=47632, ir=55162
HR=77, SP=98
time=41974, red=47649, ir=55161
time=41994, red=47657, ir=55170
time=42014, red=47666, ir=55156
time=42034, red=47666, ir=55141
time=42054, red=47667, ir=55136
time=42074, red=47654, ir=55121
time=42094, red=47659, ir=55117
time=42114, red=47661, ir=55132
time=42134, red=47683, ir=55156
time=42154, red=47712, ir=55171
time=42174, red=47707, ir=55179
time=42194, red=47718, ir=55198
time=42214, red=47731, ir=55219
time=42234, red=47765, ir=55251
time=42254, red=47765, ir=55263
time=42274, red=47765, ir=55294
time=42294, red=47776, ir=55308
time=42314, red=47765, ir=55302
time=42334, red=47779, ir=55308
time=42354, red=47764, ir=55307
time=42374, red=47780, ir=55300
time=42394, red=47765, ir=55287
time=42414, red=47771, ir=55277
time=42434, red=47793, ir=55327
time=42454, red=47795, ir=55348
time=42473, red=47788, ir=55360
time=42493, red=47802, ir=55352
time=42513, red=47791, ir=55319
time=42533, red=47781, ir=55302
time=42553, red=47753, ir=55259
time=42573, red=47749, ir=55247
time=42593, red=47755, ir=55281
time=42613, red=47777, ir=55314
time=42633, red=47782, ir=55342
time=42653, red=47795, ir=55377
time=42673, red=47800, ir=55404
time=42693, red=47792, ir=55409
time=42713, red=47797, ir=55411
time=42733, red=47804, ir=55423
time=42753, red=47798, ir=55443
time=42773, red=47784, ir=55447
time=42793, red=47798, ir=55463
time=42813, red=47799, ir=55492
time=42833, red=47808, ir=55498
time=42853, red=47796, ir=55502
time=42873, red=47811, ir=55515
time=42893, red=47798, ir=55536
time=42913, red=47803, ir=55525
time=42933, red=47792, ir=55541
time=42953, red=47799, ir=55539
time=42973, red=47797, ir=55562
time=42993, red=47806, ir=55590
time=43013, red=47810, ir=55588
time=43033, red=47810, ir=55591
time=43053, red=47817, ir=55584
time=43073, red=47817, ir=55597
time=43093, red=47803, ir=55595
time=43113, red=47796, ir=55619
time=43133, red=47807, ir=55624
time=43153, red=47793, ir=55629
time=43173, red=47795, ir=55636
time=43193, red=47806, ir=55633
time=43213, red=47797, ir=55633
time=43233, red=47801, ir=55650
time=43253, red=47809, ir=55658
time=43273, red=47805, ir=55639
time=43293, red=47781, ir=55593
time=43313, red=47759, ir=55581
time=43333, red=47783, ir=55553
time=43353, red=47748, ir=55522
time=43373, red=47734, ir=55507
time=43393, red=47713, ir=55455
time=43413, red=47717, ir=55444
time=43433, red=47708, ir=55416
time=43453, red=47697, ir=55398
time=43473, red=47691, ir=55368
time=43493, red=47693, ir=55355
time=43513, red=47708, ir=55370
time=43533, red=47713, ir=55369
time=43553, red=47728, ir=55341
time=43573, red=47717, ir=55352
time=43593, red=47722, ir=55336
time=43613, red=47745, ir=55353
time=43633, red=47746, ir=55372
time=43653, red=47743, ir=55369
time=43673, red=47759, ir=55389
time=43693, red=47779, ir=55393
time=43713, red=47771, ir=55397
time=43733, red=47782, ir=55417
time=43753, red=47787, ir=55413
time=43773, red=47771, ir=55416
time=43793, red=47778, ir=55413
time=43813, red=47782, ir=55410
time=43833, red=47771, ir=55403
time=43853, red=47783, ir=55424
time=43873, red=47797, ir=55428
time=43893, red=47788, ir=55423
time=43913, red=47787, ir=55428
time=43933, red=47786, ir=55446
time=43953, red=47788, ir=55445
HR=75, SP=97
time=43978, red=47785, ir=55451
time=43993, red=47793, ir=55449
time=44013, red=47789, ir=55449
time=44033, red=47773, ir=55461
time=44053, red=47787, ir=55467
time=44073, red=47783, ir=55468
time=44093, red=47776, ir=55468
time=44113, red=47767, ir=55473
time=44133, red=47766, ir=55494
time=44153, red=47778, ir=55474
time=44173, red=47768, ir=55505
time=44193, red=47772, ir=55495
time=44213, red=47764, ir=55504
time=44233, red=47765, ir=55513
time=44253, red=47765, ir=55526
time=44273, red=47770, ir=55522
time=44293, red=47769, ir=55533
time=44313, red=47770, ir=55526
time=44333, red=47771, ir=55536
time=44353, red=47757, ir=55533
time=44373, red=47767, ir=55542
time=44393, red=47768, ir=55553
time=44413, red=47780, ir=55561
time=44433, red=47776, ir=55567
time=44453, red=47762, ir=55569
time=44473, red=47771, ir=55585
time=44493, red=47760, ir=55587
time=44513, red=47751, ir=55588
time=44533, red=47768, ir=55598
time=44553, red=47783, ir=55607
time=44573, red=47781, ir=55616
time=44593, red=47766, ir=55623
time=44613, red=47761, ir=55629
time=44633, red=47767, ir=55647
time=44653, red=47773, ir=55641
time=44673, red=47775, ir=55657
time=44693, red=47769, ir=55668
time=44713, red=47779, ir=55655
time=44733, red=47759, ir=55649
time=44753, red=47764, ir=55641
titime=51791, red=32816, ir=53170
time=51811, red=33754, ir=54738
time=51831, red=31111, ir=55449
time=51851, red=34840, ir=57099
time=51871, red=31301, ir=54947
time=51891, red=33988, ir=54290
time=51911, red=38889, ir=55527
time=51931, red=43898, ir=56523
time=51951, red=47933, ir=59259
HR=461, SP=56
time=51977, red=47186, ir=58048
time=51991, red=49852, ir=58954
time=52011, red=50106, ir=59559
time=52031, red=47665, ir=57122
time=52051, red=47383, ir=55701
time=52071, red=49429, ir=57375
time=52091, red=48186, ir=55749
time=52111, red=48306, ir=55831
time=52131, red=48383, ir=56000
time=52151, red=48534, ir=56090
time=52171, red=48770, ir=56281
time=52191, red=49912, ir=57376
time=52211, red=50669, ir=58378
time=52231, red=48712, ir=56093
time=52250, red=48560, ir=55833
time=52270, red=48236, ir=54999
time=52290, red=47798, ir=55714
time=52310, red=47505, ir=55124
time=52330, red=46405, ir=53829
time=52350, red=44086, ir=51620
time=52370, red=45789, ir=52550
time=52390, red=46016, ir=53088
time=52410, red=46031, ir=53306
time=52430, red=46212, ir=53449
time=52450, red=46399, ir=53667
time=52470, red=46502, ir=53887
time=52490, red=46509, ir=53963
time=52510, red=46517, ir=53997
time=52530, red=46554, ir=54094
time=52550, red=46590, ir=54138
time=52570, red=46593, ir=54143
time=52590, red=46619, ir=54201
time=52610, red=46637, ir=54219
time=52630, red=46674, ir=54292
time=52650, red=46684, ir=54330
time=52670, red=46696, ir=54342
time=52690, red=46719, ir=54405
time=52710, red=46767, ir=54468
time=52730, red=46777, ir=54511
time=52750, red=46787, ir=54504
time=52770, red=46813, ir=54555
time=52790, red=46834, ir=54593
time=52810, red=46841, ir=54606
time=52830, red=46840, ir=54640
time=52850, red=46869, ir=54699
time=52870, red=46881, ir=54749
time=52890, red=46911, ir=54783
time=52910, red=46910, ir=54800
time=52930, red=46900, ir=54810
time=52950, red=46906, ir=54863
time=52970, red=46941, ir=54898
time=52990, red=46941, ir=54921
time=53010, red=46929, ir=54924
time=53030, red=46943, ir=54968
time=53050, red=46937, ir=54963
time=53070, red=46922, ir=54980
time=53090, red=46948, ir=54986
time=53110, red=46937, ir=55003
time=53130, red=46953, ir=55049
time=53150, red=46940, ir=55050
time=53170, red=46925, ir=55036
time=53190, red=46964, ir=55096
time=53210, red=46949, ir=55064
time=53230, red=46950, ir=55085
time=53250, red=46958, ir=55068
time=53270, red=46935, ir=55032
time=53290, red=46914, ir=55020
time=53310, red=46920, ir=55027
time=53330, red=46916, ir=55057
time=53350, red=46912, ir=55067
time=53370, red=46904, ir=55029
time=53390, red=46885, ir=55001
time=53410, red=46892, ir=55003
time=53430, red=46867, ir=55010
time=53450, red=46842, ir=54957
time=53470, red=46803, ir=54919
time=53490, red=46791, ir=54900
time=53510, red=46778, ir=54930
time=53530, red=46761, ir=54921
time=53550, red=46751, ir=54917
time=53570, red=46739, ir=54904
time=53590, red=46724, ir=54898
time=53610, red=46695, ir=54893
time=53630, red=46696, ir=54912
time=53650, red=46646, ir=54887
time=53670, red=46622, ir=54833
time=53690, red=46593, ir=54795
time=53710, red=46568, ir=54798
time=53730, red=46550, ir=54801
time=53750, red=46525, ir=54800
time=53770, red=46515, ir=54819
time=53790, red=46483, ir=54804
time=53810, red=46462, ir=54774
time=53830, red=46442, ir=54793
time=53850, red=46428, ir=54803
time=53870, red=46413, ir=54778
time=53890, red=46396, ir=54760
time=53910, red=46381, ir=54739
time=53930, red=46350, ir=54727
time=53950, red=46328, ir=54733
HR=461, SP=56
time=53970, red=46309, ir=54737
time=53990, red=46282, ir=54753
time=54010, red=46245, ir=54716
time=54030, red=46229, ir=54688
time=54050, red=46194, ir=54651
time=54070, red=46197, ir=54637
time=54090, red=46197, ir=54661
time=54110, red=46193, ir=54679
time=54130, red=46180, ir=54681
time=54150, red=46161, ir=54661
time=54170, red=46152, ir=54682
time=54190, red=46151, ir=54676
time=54210, red=46137, ir=54669
time=54230, red=46133, ir=54654
time=54250, red=46100, ir=54618
time=54270, red=46079, ir=54609
time=54290, red=46071, ir=54612
time=54310, red=46064, ir=54645
time=54330, red=46112, ir=54693
time=54350, red=46117, ir=54694
time=54370, red=46115, ir=54661
time=54390, red=46094, ir=54670
time=54410, red=46077, ir=54633
time=54430, red=46082, ir=54635
time=54450, red=46080, ir=54653
time=54470, red=46126, ir=54689
time=54490, red=46136, ir=54710
time=54510, red=46153, ir=54697
time=54530, red=46189, ir=54706
time=54550, red=46189, ir=54706
time=54570, red=46206, ir=54717
time=54590, red=46201, ir=54715
time=54610, red=46191, ir=54698
time=54630, red=46178, ir=54684
time=54650, red=46184, ir=54669
time=54670, red=46188, ir=54652
time=54690, red=46198, ir=54656
time=54710, red=46216, ir=54677
time=54730, red=46206, ir=54665
time=54750, red=46213, ir=54661
time=54770, red=46203, ir=54660
time=54790, red=46211, ir=54665
time=54810, red=46252, ir=54691
time=54830, red=46297, ir=54703
time=54850, red=46297, ir=54690
time=54870, red=46309, ir=54671
time=54890, red=46296, ir=54679
time=54910, red=46295, ir=54666
time=54930, red=46297, ir=54637
time=54950, red=46295, ir=54627
time=54970, red=46297, ir=54602
time=54990, red=46300, ir=54550
time=55010, red=46256, ir=54497
time=55030, red=46271, ir=54501
time=55050, red=46284, ir=54461
time=55070, red=46267, ir=54411
time=55090, red=46278, ir=54365
time=55110, red=46274, ir=54338
time=55130, red=46276, ir=54343
time=55150, red=46270, ir=54307
time=55170, red=46299, ir=54271
time=55190, red=46306, ir=54245
time=55210, red=46352, ir=54260
time=55230, red=46370, ir=54258
time=55250, red=46362, ir=54239
time=55270, red=46401, ir=54249
time=55290, red=46439, ir=54258
time=55310, red=46445, ir=54257
time=55330, red=46452, ir=54236
time=55350, red=46476, ir=54216
time=55369, red=46468, ir=54234
time=55389, red=46501, ir=54241
time=55409, red=46507, ir=54269
time=55429, red=46551, ir=54292
time=55449, red=46553, ir=54287
time=55469, red=46560, ir=54281
time=55489, red=46577, ir=54272
time=55509, red=46573, ir=54273
time=55529, red=46604, ir=54287
time=55549, red=46617, ir=54280
time=55569, red=46615, ir=54277
time=55589, red=46646, ir=54321
time=55609, red=46671, ir=54340
time=55629, red=46682, ir=54327
time=55649, red=46694, ir=54330
time=55669, red=46689, ir=54331
time=55689, red=46705, ir=54321
time=55709, red=46713, ir=54354
time=55729, red=46720, ir=54361
time=55749, red=46731, ir=54363
time=55769, red=46734, ir=54351
time=55789, red=46762, ir=54404
time=55809, red=46774, ir=54418
time=55829, red=46781, ir=54419
time=55849, red=46804, ir=54436
time=55869, red=46792, ir=54433
time=55889, red=46792, ir=54419
time=55909, red=46817, ir=54431
time=55929, red=46793, ir=54426
time=55949, red=46806, ir=54434
HR=461, SP=56
time=55974, red=46807, ir=54443
time=55989, red=46796, ir=54444
time=56009, red=46798, ir=54433
time=56029, red=46801, ir=54441
time=56049, red=46849, ir=54513
time=56069, red=46838, ir=54540
time=56089, red=46849, ir=54537
time=56109, red=46860, ir=54552
time=56129, red=46849, ir=54540
time=56149, red=46859, ir=54533
time=56169, red=46870, ir=54543
time=56189, red=46858, ir=54570
time=56209, red=46872, ir=54575
time=56229, red=46872, ir=54582
time=56249, red=46874, ir=54587
time=56269, red=46876, ir=54598
time=56289, red=46879, ir=54606
time=56309, red=46872, ir=54615
time=56329, red=46868, ir=54612
time=56349, red=46884, ir=54611
time=56369, red=46869, ir=54641
time=56389, red=46881, ir=54654
time=56409, red=46888, ir=54659
time=56429, red=46880, ir=54665
time=56449, red=46883, ir=54682
time=56469, red=46898, ir=54674
time=56489, red=46885, ir=54699
time=56509, red=46893, ir=54704
time=56529, red=46883, ir=54686
time=56549, red=46883, ir=54688
time=56569, red=46879, ir=54655
time=56589, red=46866, ir=54619
time=56609, red=46847, ir=54602
time=56629, red=46833, ir=54587
time=56649, red=46820, ir=54555
time=56669, red=46817, ir=54509
time=56689, red=46811, ir=54478
time=56709, red=46825, ir=54464
time=56729, red=46815, ir=54439
time=56749, red=46812, ir=54432
time=56769, red=46804, ir=54413
time=56789, red=46820, ir=54403
time=56809, red=46832, ir=54411
time=56829, red=46828, ir=54379
time=56849, red=46838, ir=54378
time=56869, red=46833, ir=54361
time=56889, red=46830, ir=54365
time=56909, red=46836, ir=54364
time=56929, red=46861, ir=54381
time=56949, red=46874, ir=54407
time=56969, red=46883, ir=54423
time=56989, red=46887, ir=54445
time=57009, red=46897, ir=54446
time=57029, red=46890, ir=54458
time=57049, red=46886, ir=54475
time=57069, red=46892, ir=54466
time=57089, red=46917, ir=54489
time=57109, red=46909, ir=54485
time=57129, red=46897, ir=54484
time=57149, red=46900, ir=54488
time=57169, red=46890, ir=54480
time=57189, red=46884, ir=54500
time=57209, red=46911, ir=54515
time=57229, red=46915, ir=54533
time=57249, red=46914, ir=54528
time=57269, red=46921, ir=54555
time=57289, red=46904, ir=54546
time=57309, red=46902, ir=54542
time=57329, red=46908, ir=54551
time=57349, red=46901, ir=54567
time=57369, red=46908, ir=54579
time=57389, red=46912, ir=54582
time=57409, red=46892, ir=54583
time=57429, red=46909, ir=54616
time=57449, red=46920, ir=54633
time=57469, red=46938, ir=54651
time=57489, red=46930, ir=54657
time=57509, red=46924, ir=54664
time=57529, red=46945, ir=54672
time=57549, red=46932, ir=54686
time=57569, red=46922, ir=54691
time=57589, red=46933, ir=54708
time=57609, red=46917, ir=54727
time=57629, red=46918, ir=54732
time=57649, red=46932, ir=54719
time=57669, red=46919, ir=54758
time=57689, red=46930, ir=54764
time=57709, red=46923, ir=54769
time=57729, red=46929, ir=54808
time=57749, red=46926, ir=54829
time=57769, red=46928, ir=54828
time=57789, red=46930, ir=54860
time=57809, red=46934, ir=54839
time=57829, red=46930, ir=54852
time=57849, red=46924, ir=54870
time=57869, red=46945, ir=54896
time=57889, red=46926, ir=54885
time=57909, red=46939, ir=54915
time=57929, red=46929, ir=54919
time=57949, red=46925, ir=54917
HR=461, SP=56
time=57969, red=46916, ir=54916
time=57989, red=46913, ir=54929
time=58009, red=46907, ir=54937
time=58029, red=46920, ir=54929
time=58049, red=46908, ir=54952
time=58069, red=46909, ir=54950
time=58089, red=46909, ir=54962
time=58109, red=46900, ir=54991
time=58129, red=46904, ir=54981
time=58149, red=46908, ir=55004
time=58169, red=46904, ir=55014
time=58189, red=46897, ir=54998
time=58209, red=46897, ir=55012
time=58229, red=46886, ir=55013
time=58249, red=46888, ir=55004
time=58269, red=46878, ir=55015
time=58289, red=46871, ir=54984
time=58309, red=46859, ir=54953
time=58329, red=46840, ir=54925
time=58349, red=46818, ir=54894
time=58369, red=46822, ir=54872
time=58389, red=46779, ir=54834
time=58409, red=46793, ir=54806
time=58429, red=46788, ir=54782
time=58448, red=46777, ir=54767
time=58468, red=46774, ir=54740
time=58488, red=46762, ir=54714
time=58508, red=46774, ir=54698
time=58528, red=46778, ir=54689
time=58548, red=46762, ir=54671
time=58568, red=46770, ir=54660
time=58588, red=46772, ir=54678
time=58608, red=46788, ir=54674
time=58628, red=46795, ir=54676
time=58648, red=46797, ir=54679
time=58668, red=46798, ir=54696
time=58688, red=46808, ir=54711
time=58708, red=46798, ir=54719
time=58728, red=46817, ir=54721
time=58748, red=46816, ir=54721
time=58768, red=46819, ir=54731
time=58788, red=46822, ir=54740
time=58808, red=46830, ir=54746
time=58828, red=46834, ir=54745
time=58848, red=46813, ir=54751
time=58868, red=46823, ir=54756
time=58888, red=46824, ir=54755
time=58908, red=46832, ir=54764
time=58928, red=46819, ir=54766
time=58948, red=46821, ir=54785
time=58968, red=46808, ir=54771
time=58988, red=46824, ir=54781
time=59008, red=46817, ir=54779
time=59028, red=46804, ir=54775
time=59048, red=46820, ir=54790
time=59068, red=46824, ir=54797
time=59088, red=46824, ir=54800
time=59108, red=46840, ir=54802
time=59128, red=46826, ir=54828
time=59148, red=46828, ir=54833
time=59168, red=46826, ir=54843
time=59188, red=46823, ir=54832
time=59208, red=46823, ir=54867
time=59228, red=46830, ir=54869
time=59248, red=46837, ir=54886
time=59268, red=46822, ir=54876
time=59288, red=46824, ir=54870
time=59308, red=46823, ir=54879
time=59328, red=46821, ir=54890
time=59348, red=46821, ir=54895
time=59368, red=46806, ir=54902
time=59388, red=46810, ir=54900
time=59408, red=46814, ir=54920
time=59428, red=46801, ir=54914
time=59448, red=46782, ir=54929
time=59468, red=46804, ir=54947
time=59488, red=46813, ir=54941
time=59508, red=46819, ir=54948
time=59528, red=46811, ir=54962
time=59548, red=46810, ir=54977
time=59568, red=46807, ir=54980
time=59588, red=46799, ir=55000
time=59608, red=46797, ir=55008
time=59628, red=46794, ir=55010
time=59648, red=46792, ir=55026
time=59668, red=46805, ir=55028
time=59688, red=46781, ir=55038
time=59708, red=46782, ir=55056
time=59728, red=46790, ir=55066
time=59748, red=46793, ir=55053
time=59768, red=46786, ir=55078
time=59788, red=46776, ir=55076
time=59808, red=46781, ir=55079
time=59828, red=46780, ir=55103
time=59848, red=46782, ir=55127
time=59868, red=46791, ir=55100
time=59888, red=46772, ir=55119
time=59908, red=46777, ir=55115
time=59928, red=46769, ir=55123
time=59948, red=46773, ir=55121
HR=500, SP=56
time=59975, red=46750, ir=55102
time=59988, red=46736, ir=55111
time=60008, red=46752, ir=55081
time=60028, red=46736, ir=55051
time=60048, red=46711, ir=55030
time=60068, red=46707, ir=54987
time=60088, red=46690, ir=54960
time=60108, red=46676, ir=54927
time=60128, red=46666, ir=54902
time=60148, red=46659, ir=54888
time=60168, red=46663, ir=54850
time=60188, red=46666, ir=54851
time=60208, red=46654, ir=54839
time=60228, red=46664, ir=54818
time=60248, red=46669, ir=54817
time=60268, red=46661, ir=54794
time=60288, red=46656, ir=54789
time=60308, red=46664, ir=54775
time=60328, red=46677, ir=54797
time=60348, red=46672, ir=54801
time=60368, red=46673, ir=54810
time=60388, red=46688, ir=54807
time=60408, red=46689, ir=54824
time=60428, red=46701, ir=54832
time=60448, red=46692, ir=54832
time=60468, red=46710, ir=54858
time=60488, red=46719, ir=54867
time=60508, red=46716, ir=54870
time=60528, red=46704, ir=54881
time=60548, red=46712, ir=54882
time=60568, red=46728, ir=54901
time=60588, red=46757, ir=54928
time=60608, red=46841, ir=55058
time=60628, red=46921, ir=55160
time=60648, red=46958, ir=55215
time=60668, red=46934, ir=55231
time=60688, red=46896, ir=55201
time=60708, red=46878, ir=55164
time=60728, red=46841, ir=55132
time=60748, red=46809, ir=55123
time=60768, red=46799, ir=55124
time=60788, red=46776, ir=55126
time=60808, red=46790, ir=55138
time=60828, red=46806, ir=55151
time=60848, red=46802, ir=55150
time=60868, red=46774, ir=55152
time=60888, red=46774, ir=55145
time=60908, red=46771, ir=55134
time=60928, red=46771, ir=55145
time=60948, red=46773, ir=55147
time=60968, red=46788, ir=55162
time=60988, red=46833, ir=55178
time=61008, red=46861, ir=55195
time=61028, red=46971, ir=55302
time=61048, red=47246, ir=55551
time=61068, red=47393, ir=55449
time=61088, red=46745, ir=54958
time=61108, red=44621, ir=54389
time=61128, red=42314, ir=52963
time=61148, red=41519, ir=53828
time=61168, red=40615, ir=53315
time=61188, red=40489, ir=54355
time=61208, red=36126, ir=53312
time=61228, red=35969, ir=53110
time=61248, red=32901, ir=52446
time=61268, red=33297, ir=52638
time=61288, red=26487, ir=50703
time=61308, red=30655, ir=51485
time=61328, red=29963, ir=52034
time=61348, red=30444, ir=49204
time=61368, red=30353, ir=50436
time=61388, red=30613, ir=51057
time=61408, red=30894, ir=51598
time=61428, red=33005, ir=53312
time=61448, red=35551, ir=57089
time=61468, red=34767, ir=56666
time=61488, red=34690, ir=56170
time=61508, red=33997, ir=54809
time=61528, red=33686, ir=55453
time=61548, red=28912, ir=53832
time=61568, red=33047, ir=53760
time=61588, red=31569, ir=52249
time=61608, red=30497, ir=52540
time=61628, red=27922, ir=54951
time=61648, red=32303, ir=55386
time=61668, red=33725, ir=56493
time=61688, red=33800, ir=56023
time=61708, red=35909, ir=55001
time=61728, red=36497, ir=55515
time=61748, red=36368, ir=55380
time=61768, red=36615, ir=55051
time=61787, red=40674, ir=57351
time=61807, red=43212, ir=58117
time=61827, red=43552, ir=57287
time=61847, red=45321, ir=57697
time=61867, red=49477, ir=58885
time=61887, red=48330, ir=58052
time=61907, red=47703, ir=57513
time=61927, red=48986, ir=58802
time=61947, red=49435, ir=59001
HR=37, SP=-1
time=61967, red=48750, ir=58072
time=61987, red=49128, ir=58267
time=62007, red=49634, ir=58373
time=62027, red=50401, ir=59145
time=62047, red=50586, ir=59218
time=62067, red=50987, ir=59253
time=62087, red=51001, ir=59341
time=62107, red=51039, ir=59413
time=62127, red=51387, ir=59682
time=62147, red=51982, ir=60617
time=62167, red=51915, ir=61135
time=62187, red=51738, ir=59430
time=62207, red=50224, ir=58716
time=62227, red=48207, ir=57134
time=62247, red=44599, ir=52541
time=62267, red=42907, ir=51496
time=62287, red=43082, ir=51704
time=62307, red=39206, ir=50652
time=62327, red=37852, ir=51656
time=62347, red=37401, ir=52315
time=62367, red=38782, ir=54516
time=62387, red=33787, ir=53694
time=62407, red=31264, ir=52516
time=62427, red=34896, ir=53219
time=62447, red=30385, ir=50025
time=62467, red=30516, ir=48424
time=62487, red=27962, ir=47529
time=62507, red=26885, ir=37272
time=62527, red=22428, ir=32299
time=62547, red=25647, ir=33047
time=62567, red=26458, ir=34122
time=62587, red=32829, ir=47605
time=62607, red=33085, ir=54565
time=62627, red=35265, ir=56947
time=62647, red=34491, ir=55905
time=62667, red=35324, ir=55953
time=62687, red=31989, ir=53397
time=62707, red=32709, ir=52242
time=62727, red=30632, ir=51728
time=62747, red=32042, ir=53607
time=62767, red=34147, ir=56381
time=62787, red=38531, ir=55912
time=62807, red=41237, ir=55345
time=62827, red=47864, ir=57399
time=62847, red=48886, ir=58617
time=62867, red=50792, ir=60667
time=62887, red=50288, ir=59973
time=62907, red=48935, ir=57947
time=62927, red=48688, ir=58144
time=62947, red=48793, ir=58438
time=62967, red=48209, ir=58284
time=62987, red=48158, ir=58377
time=63007, red=48291, ir=58637
time=63027, red=49043, ir=59435
time=63047, red=50091, ir=59794
time=63067, red=50626, ir=59271
time=63087, red=50545, ir=57982
time=63107, red=49435, ir=56959
time=63127, red=48667, ir=57200
time=63147, red=49355, ir=57073
time=63167, red=46346, ir=54753
time=63187, red=45368, ir=53025
time=63207, red=44801, ir=52327
time=63227, red=45330, ir=52310
time=63247, red=45669, ir=52315
time=63267, red=46148, ir=52690
time=63287, red=46673, ir=53252
time=63307, red=46971, ir=53718
time=63327, red=47299, ir=54048
time=63347, red=47310, ir=54365
time=63367, red=47409, ir=54591
time=63387, red=47486, ir=54730
time=63407, red=47559, ir=54819
time=63427, red=47571, ir=54851
time=63447, red=47627, ir=54967
time=63467, red=47674, ir=55047
time=63487, red=47688, ir=55092
time=63507, red=47690, ir=55111
time=63527, red=47714, ir=55131
time=63547, red=47733, ir=55163
time=63567, red=47731, ir=55187
time=63587, red=47726, ir=55186
time=63607, red=47703, ir=55172
time=63627, red=47682, ir=55142
time=63647, red=47701, ir=55215
time=63667, red=47706, ir=55249
time=63687, red=47725, ir=55264
time=63707, red=47744, ir=55304
time=63727, red=47736, ir=55297
time=63747, red=47727, ir=55304
time=63767, red=47716, ir=55304
time=63787, red=47709, ir=55325
time=63807, red=47689, ir=55323
time=63827, red=47682, ir=55307
time=63847, red=47680, ir=55311
time=63867, red=47667, ir=55327
time=63887, red=47654, ir=55361
