AT4T20P2 - Pris - 5_5_215_100
time=3578, red=40645, ir=53162
time=3588, red=40641, ir=53133
time=3598, red=40646, ir=53155
time=3608, red=40659, ir=53155
time=3618, red=40665, ir=53152
time=3628, red=40649, ir=53145
time=3638, red=40691, ir=53161
time=3648, red=40667, ir=53171
time=3658, red=40677, ir=53177
time=3668, red=40675, ir=53193
time=3678, red=40690, ir=53188
time=3688, red=40692, ir=53175
time=3698, red=40713, ir=53208
time=3708, red=40706, ir=53200
time=3718, red=40703, ir=53197
time=3728, red=40710, ir=53210
time=3738, red=40713, ir=53207
time=3748, red=40720, ir=53208
time=3758, red=40719, ir=53234
time=3768, red=40688, ir=53224
time=3778, red=40716, ir=53222
time=3788, red=40731, ir=53235
time=3798, red=40720, ir=53238
time=3808, red=40720, ir=53223
time=3818, red=40709, ir=53224
time=3828, red=40702, ir=53233
time=3838, red=40719, ir=53244
time=3848, red=40708, ir=53242
time=3858, red=40726, ir=53244
time=3868, red=40701, ir=53262
time=3878, red=40707, ir=53229
time=3888, red=40708, ir=53236
time=3898, red=40706, ir=53252
time=3908, red=40691, ir=53252
time=3918, red=40723, ir=53272
time=3928, red=40707, ir=53227
time=3938, red=40722, ir=53242
time=3948, red=40694, ir=53281
time=3958, red=40703, ir=53248
time=3968, red=40713, ir=53232
time=3978, red=40715, ir=53271
time=3988, red=40715, ir=53254
time=3998, red=40716, ir=53282
time=4008, red=40709, ir=53256
time=4018, red=40708, ir=53272
time=4028, red=40710, ir=53251
time=4038, red=40714, ir=53252
time=4048, red=40708, ir=53270
time=4058, red=40709, ir=53256
time=4068, red=40694, ir=53275
time=4078, red=40727, ir=53283
time=4088, red=40697, ir=53268
time=4098, red=40708, ir=53293
time=4108, red=40723, ir=53265
time=4118, red=40733, ir=53306
time=4128, red=40721, ir=53304
time=4138, red=40730, ir=53299
time=4148, red=40726, ir=53299
time=4158, red=40736, ir=53319
time=4168, red=40719, ir=53341
time=4178, red=40720, ir=53325
time=4188, red=40739, ir=53337
time=4198, red=40722, ir=53312
time=4208, red=40751, ir=53352
time=4218, red=40751, ir=53326
time=4228, red=40728, ir=53325
time=4238, red=40741, ir=53323
time=4248, red=40728, ir=53322
time=4258, red=40729, ir=53350
time=4268, red=40735, ir=53342
time=4278, red=40733, ir=53345
time=4288, red=40722, ir=53344
time=4298, red=40734, ir=53380
time=4308, red=40718, ir=53329
time=4318, red=40728, ir=53338
time=4328, red=40719, ir=53358
time=4338, red=40727, ir=53374
time=4348, red=40722, ir=53360
time=4358, red=40714, ir=53395
time=4368, red=40716, ir=53368
time=4378, red=40736, ir=53367
time=4388, red=40732, ir=53382
time=4398, red=40732, ir=53408
time=4408, red=40721, ir=53397
time=4418, red=40732, ir=53404
time=4428, red=40727, ir=53405
time=4438, red=40721, ir=53398
time=4448, red=40733, ir=53391
time=4458, red=40743, ir=53402
time=4468, red=40732, ir=53408
time=4478, red=40736, ir=53404
time=4488, red=40732, ir=53403
time=4498, red=40738, ir=53406
time=4508, red=40747, ir=53394
time=4518, red=40738, ir=53435
time=4528, red=40733, ir=53393
time=4538, red=40720, ir=53408
time=4548, red=40726, ir=53403
time=4558, red=40715, ir=53397
time=4568, red=40714, ir=53382
time=4578, red=40718, ir=53383
time=4588, red=40725, ir=53369
time=4598, red=40695, ir=53356
time=4608, red=40702, ir=53338
time=4618, red=40679, ir=53330
time=4628, red=40667, ir=53329
time=4638, red=40700, ir=53297
time=4648, red=40686, ir=53284
time=4658, red=40674, ir=53285
time=4668, red=40692, ir=53281
time=4678, red=40673, ir=53252
time=4688, red=40670, ir=53265
time=4698, red=40679, ir=53259
time=4708, red=40660, ir=53260
time=4718, red=40672, ir=53236
time=4728, red=40679, ir=53209
time=4738, red=40665, ir=53195
time=4748, red=40678, ir=53216
time=4758, red=40686, ir=53206
time=4768, red=40673, ir=53183
time=4778, red=40678, ir=53202
time=4788, red=40674, ir=53189
time=4798, red=40661, ir=53177
time=4808, red=40662, ir=53185
time=4818, red=40685, ir=53193
time=4828, red=40671, ir=53193
time=4838, red=40687, ir=53194
time=4848, red=40671, ir=53194
time=4858, red=40681, ir=53197
time=4868, red=40700, ir=53166
time=4878, red=40687, ir=53177
time=4888, red=40696, ir=53202
time=4898, red=40682, ir=53181
time=4908, red=40677, ir=53204
time=4918, red=40688, ir=53202
time=4928, red=40697, ir=53230
time=4938, red=40701, ir=53227
time=4948, red=40721, ir=53223
time=4958, red=40690, ir=53222
time=4968, red=40717, ir=53215
time=4978, red=40706, ir=53212
time=4988, red=40715, ir=53235
time=4998, red=40710, ir=53256
time=5008, red=40708, ir=53244
time=5018, red=40697, ir=53260
time=5028, red=40722, ir=53252
time=5038, red=40722, ir=53234
time=5048, red=40720, ir=53257
time=5058, red=40727, ir=53258
time=5068, red=40699, ir=53248
time=5078, red=40720, ir=53260
time=5088, red=40718, ir=53272
time=5098, red=40720, ir=53260
time=5108, red=40733, ir=53263
time=5118, red=40713, ir=53297
time=5128, red=40738, ir=53274
time=5138, red=40716, ir=53268
time=5148, red=40705, ir=53289
time=5158, red=40727, ir=53268
time=5168, red=40721, ir=53281
time=5178, red=40724, ir=53275
time=5188, red=40716, ir=53286
time=5198, red=40718, ir=53264
time=5208, red=40711, ir=53257
time=5218, red=40716, ir=53283
time=5228, red=40717, ir=53299
time=5238, red=40708, ir=53279
time=5248, red=40735, ir=53286
time=5258, red=40717, ir=53299
time=5268, red=40711, ir=53283
time=5278, red=40714, ir=53285
time=5288, red=40718, ir=53274
time=5298, red=40700, ir=53301
time=5308, red=40715, ir=53286
time=5318, red=40718, ir=53301
time=5328, red=40727, ir=53286
time=5338, red=40716, ir=53293
time=5348, red=40721, ir=53315
time=5358, red=40708, ir=53317
time=5368, red=40735, ir=53320
time=5378, red=40735, ir=53311
time=5388, red=40723, ir=53321
time=5398, red=40726, ir=53326
time=5408, red=40737, ir=53331
time=5418, red=40725, ir=53327
time=5428, red=40736, ir=53328
time=5438, red=40733, ir=53312
time=5448, red=40737, ir=53341
time=5458, red=40731, ir=53328
time=5468, red=40727, ir=53343
time=5478, red=40735, ir=53329
time=5488, red=40719, ir=53357
time=5498, red=40720, ir=53348
time=5508, red=40749, ir=53343
time=5518, red=40732, ir=53347
