AT4T13P2 - Bandit - (7,10)
























Press any key to start conversion
time=1, red=0, ir=11
time=8, red=4, ir=6
time=18, red=0, ir=0
time=28, red=7, ir=5
time=38, red=8, ir=9
time=48, red=2, ir=0
time=58, red=5, ir=6
time=68, red=0, ir=0
time=78, red=1, ir=5
time=88, red=12, ir=2
time=98, red=0, ir=8
time=108, red=3, ir=2
time=118, red=8, ir=0
time=128, red=16, ir=4
time=138, red=0, ir=0
time=148, red=0, ir=1
time=158, red=0, ir=1
time=168, red=7, ir=10
time=178, red=3, ir=8
time=188, red=0, ir=1
time=198, red=4, ir=0
time=208, red=14, ir=0
time=218, red=0, ir=6
time=228, red=6, ir=6
time=238, red=17, ir=7
time=248, red=12, ir=11
time=258, red=6, ir=4
time=268, red=3, ir=1
time=278, red=0, ir=11
time=288, red=5, ir=0
time=298, red=11, ir=13
time=308, red=8, ir=8
time=318, red=0, ir=4
time=328, red=1, ir=6
time=338, red=0, ir=12
time=348, red=0, ir=7
time=358, red=10, ir=5
time=368, red=7, ir=9
time=378, red=0, ir=5
time=388, red=1, ir=3
time=398, red=5, ir=6
time=408, red=6, ir=13
time=418, red=15, ir=0
time=428, red=6, ir=1
time=438, red=0, ir=0
time=448, red=7, ir=12
time=458, red=7, ir=9
time=468, red=2, ir=4
time=478, red=0, ir=3
time=488, red=10, ir=6
time=498, red=0, ir=0
time=508, red=11, ir=3
time=518, red=8, ir=0
time=528, red=4, ir=11
time=538, red=8, ir=0
time=548, red=4, ir=3
time=558, red=7, ir=5
time=568, red=9, ir=17
time=578, red=0, ir=3
time=588, red=0, ir=0
time=598, red=2, ir=0
time=608, red=12, ir=3
time=618, red=1, ir=3
time=628, red=0, ir=1
time=638, red=10, ir=0
time=648, red=7, ir=2
time=658, red=0, ir=0
time=668, red=12, ir=1
time=678, red=7, ir=9
time=688, red=0, ir=12
time=698, red=4, ir=4
time=708, red=0, ir=4
time=718, red=3, ir=3
time=728, red=8, ir=9
time=738, red=2, ir=0
time=748, red=4, ir=3
time=758, red=6, ir=0
time=768, red=7, ir=8
time=778, red=8, ir=12
time=788, red=5, ir=9
time=798, red=0, ir=12
time=808, red=6, ir=14
time=818, red=0, ir=0
time=828, red=0, ir=7
time=838, red=2, ir=9
time=848, red=0, ir=6
time=858, red=14, ir=8
time=868, red=0, ir=11
time=878, red=0, ir=0
time=888, red=2, ir=2
time=898, red=17, ir=17
time=908, red=0, ir=0
time=918, red=1, ir=11
time=928, red=6, ir=5
time=938, red=7, ir=5
time=948, red=7, ir=7
time=958, red=6, ir=0
time=968, red=12, ir=4
time=978, red=3, ir=7
time=988, red=3, ir=13
time=998, red=10, ir=6
time=1008, red=2, ir=0
time=1018, red=4, ir=0
time=1028, red=12, ir=0
time=1038, red=7, ir=3
time=1048, red=5, ir=17
time=1058, red=17, ir=0
time=1068, red=7, ir=12
time=1078, red=0, ir=0
time=1088, red=9, ir=0
time=1098, red=1, ir=6
time=1108, red=5, ir=10
time=1118, red=10, ir=1
time=1128, red=3, ir=0
time=1138, red=7, ir=11
time=1148, red=7, ir=14
time=1158, red=5, ir=0
time=1168, red=5, ir=8
time=1178, red=0, ir=4
time=1188, red=0, ir=2
time=1198, red=9, ir=6
time=1208, red=7, ir=0
time=1218, red=0, ir=8
time=1228, red=0, ir=6
time=1238, red=0, ir=8
time=1248, red=4, ir=13
time=1258, red=0, ir=11
time=1268, red=4, ir=0
time=1278, red=8, ir=2
time=1288, red=10, ir=10
time=1298, red=13, ir=2
time=1308, red=0, ir=2
time=1318, red=9, ir=9
time=1328, red=0, ir=4
time=1338, red=10, ir=3
time=1348, red=0, ir=17
time=1358, red=5, ir=9
time=1368, red=5, ir=2
time=1378, red=15, ir=18
time=1388, red=0, ir=7
time=1398, red=2, ir=3
time=1408, red=5, ir=0
time=1418, red=7, ir=15
time=1428, red=9, ir=1
time=1438, red=6, ir=0
time=1448, red=14, ir=2
time=1458, red=2, ir=7
time=1468, red=1, ir=22
time=1478, red=0, ir=22
time=1488, red=4, ir=6
time=1498, red=0, ir=9
time=1508, red=10, ir=0
time=1518, red=2, ir=17
time=1528, red=4, ir=8
time=1538, red=0, ir=3
time=1548, red=9, ir=11
time=1558, red=0, ir=14
time=1568, red=9, ir=2
time=1578, red=0, ir=13
time=1588, red=7, ir=10
time=1598, red=2, ir=15
time=1608, red=9, ir=12
time=1618, red=6, ir=0
time=1628, red=13, ir=8
time=1638, red=8, ir=0
time=1648, red=0, ir=4
time=1658, red=7, ir=4
time=1668, red=10, ir=7
time=1678, red=0, ir=0
time=1688, red=1, ir=3
time=1698, red=7, ir=1
time=1708, red=0, ir=0
time=1718, red=6, ir=0
time=1728, red=11, ir=4
time=1738, red=3, ir=0
time=1748, red=0, ir=6
time=1758, red=10, ir=5
time=1768, red=8, ir=9
time=1778, red=14, ir=4
time=1788, red=0, ir=2
time=1798, red=9, ir=7
time=1808, red=4, ir=1
time=1818, red=7, ir=6
time=1828, red=7, ir=0
time=1838, red=7, ir=0
time=1848, red=9, ir=1
time=1858, red=2, ir=3
time=1868, red=3, ir=0
time=1878, red=0, ir=2
time=1888, red=0, ir=3
time=1898, red=0, ir=5
time=1908, red=20, ir=2
time=1918, red=5, ir=8
time=1928, red=5, ir=0
time=1938, red=0, ir=0
time=1948, red=8, ir=1
time=1958, red=7, ir=0
time=1968, red=7, ir=11
time=1978, red=0, ir=8
time=1988, red=5, ir=0
time=1998, red=0, ir=0
time=2008, red=0, ir=16
time=2018, red=0, ir=8
time=2028, red=7, ir=0
time=2038, red=7, ir=12
time=2048, red=0, ir=4
time=2058, red=4, ir=0
time=2068, red=0, ir=0
time=2078, red=2, ir=6
time=2088, red=8, ir=7
time=2098, red=0, ir=19
time=2108, red=0, ir=0
time=2118, red=10, ir=6
time=2128, red=0, ir=0
time=2138, red=8, ir=4
time=2148, red=7, ir=4
time=2158, red=9, ir=0
time=2168, red=13, ir=8
time=2178, red=5, ir=10
time=2188, red=0, ir=3
time=2198, red=3, ir=5
time=2208, red=10, ir=0
time=2218, red=7, ir=0
time=2228, red=8, ir=0
time=2238, red=2, ir=5
time=2248, red=2, ir=2
time=2258, red=4, ir=5
time=2268, red=13, ir=16
time=2278, red=0, ir=6
time=2288, red=0, ir=3
time=2298, red=10, ir=3
time=2308, red=16, ir=0
time=2318, red=4, ir=1
time=2328, red=1, ir=7
time=2338, red=8, ir=9
time=2348, red=11, ir=13
time=2358, red=11, ir=8
time=2368, red=5, ir=1
time=2378, red=0, ir=4
time=2388, red=0, ir=0
time=2398, red=0, ir=16
time=2408, red=13, ir=0
time=2418, red=19, ir=4
time=2428, red=1, ir=1
time=2438, red=7, ir=6
time=2448, red=2, ir=4
time=2458, red=1, ir=0
time=2468, red=5, ir=12
time=2478, red=8, ir=16
time=2488, red=2, ir=0
time=2498, red=3, ir=14
time=2508, red=2, ir=3
time=2518, red=0, ir=0
time=2528, red=2, ir=9
time=2538, red=13, ir=14
time=2548, red=8, ir=0
time=2558, red=1, ir=0
time=2568, red=0, ir=0
time=2578, red=13, ir=7
