AT4T24P2 - Pris - 16_7_215_100, movement approx 25k ms
d=152032, ir=81298
time=47421, red=152426, ir=81300
time=47431, red=152423, ir=81319
time=47441, red=152419, ir=81323
time=47451, red=152442, ir=81339
time=47461, red=152467, ir=81358
time=47471, red=152457, ir=81341
time=47481, red=152451, ir=81343
time=47491, red=152446, ir=81317
time=47501, red=152427, ir=81352
time=47511, red=152444, ir=81353
time=47521, red=152477, ir=81347
time=47531, red=152454, ir=81348
time=47541, red=152465, ir=81362
time=47551, red=152463, ir=81378
time=47561, red=152479, ir=81355
time=47571, red=152480, ir=81365
time=47581, red=152481, ir=81371
time=47591, red=152514, ir=81386
time=47601, red=152496, ir=81395
time=47611, red=152482, ir=81400
time=47621, red=152487, ir=81386
time=47631, red=152522, ir=81434
time=47641, red=152519, ir=81412
time=47651, red=152516, ir=81436
time=47661, red=152530, ir=81456
time=47671, red=152528, ir=81454
time=47681, red=152525, ir=81458
time=47691, red=152532, ir=81451
time=47701, red=152523, ir=81452
time=47711, red=152497, ir=81436
time=47721, red=152515, ir=81446
time=47731, red=152531, ir=81438
time=47741, red=152508, ir=81431
time=47751, red=152519, ir=81425
time=47761, red=152514, ir=81431
time=47771, red=152491, ir=81417
time=47781, red=152504, ir=81409
time=47791, red=152475, ir=81398
time=47801, red=152477, ir=81364
time=47811, red=152444, ir=81349
time=47821, red=152449, ir=81341
time=47831, red=152434, ir=81285
time=47841, red=152384, ir=81217
time=47851, red=152353, ir=81206
time=47861, red=152343, ir=81185
time=47871, red=152331, ir=81161
time=47881, red=152322, ir=81164
time=47891, red=152313, ir=81158
time=47901, red=152324, ir=81102
time=47911, red=152320, ir=81063
time=47921, red=152307, ir=81054
time=47931, red=152297, ir=81042
time=47941, red=152296, ir=81023
time=47951, red=152293, ir=81018
time=47961, red=152296, ir=80981
time=47971, red=152299, ir=80985
time=47981, red=152315, ir=80970
time=47991, red=15=80704
time=54709, red=147366, ir=80720
time=54719, red=147397, ir=80722
time=54729, red=147431, ir=80725
time=54739, red=147453, ir=80747
time=54749, red=147436, ir=80726
time=54759, red=147453, ir=80742
time=54769, red=147488, ir=80743
time=54779, red=147502, ir=80723
time=54789, red=147488, ir=80737
time=54799, red=147493, ir=80722
time=54809, red=147494, ir=80747
time=54819, red=147527, ir=80708
time=54829, red=147523, ir=80736
time=54839, red=147539, ir=80742
time=54849, red=147524, ir=80745
time=54859, red=147568, ir=80727
time=54869, red=147576, ir=80759
time=54879, red=147588, ir=80768
time=54889, red=147587, ir=80793
time=54899, red=147599, ir=80787
time=54909, red=147607, ir=80767
time=54919, red=147625, ir=80777
time=54929, red=147611, ir=80782
time=54939, red=147636, ir=80793
time=54949, red=147662, ir=80825
time=54959, red=147678, ir=80838
time=54969, red=147697, ir=80852
time=54979, red=147722, ir=80872
time=54989, red=147719, ir=80869
time=54999, red=147726, ir=80885
time=55009, red=147721, ir=80866
time=55019, red=147736, ir=80844
time=55029, red=147758, ir=80881
time=55039, red=147761, ir=80880
time=55049, red=147766, ir=80883
time=55059, red=147781, ir=80895
time=55069, red=147788, ir=80897
time=55079, red=147812, ir=80926
time=55089, red=147809, ir=80906
time=55099, red=147817, ir=80924
time=55109, red=147845, ir=80932
time=55119, red=147851, ir=80943
time=55129, red=147845, ir=80949
time=55139, red=147843, ir=80942
time=55149, red=147844, ir=80951
time=55159, red=147866, ir=80960
time=55169, red=147884, ir=80962
time=55179, red=147892, ir=80972
time=55189, red=147889, ir=80978
time=55199, red=147894, ir=80974
time=55209, red=147900, ir=80961
time=55219, red=147883, ir=80997
HR=333, SP=-1
time=55229, red=147916, ir=80975
time=55239, red=147879, ir=80942
time=55249, red=147887, ir=80948
time=55259, red=147869, ir=80959
time=55269, red=147864, ir=80925
time=55279, red=147842, ir=80888
time=55289, red=147843, ir=80876
time=55299, red=147803, ir=80845
time=55309, red=147767, ir=80823
time=55319, red=147737, ir=80791
time=55329, red=147727, ir=80772
time=55339, red=147726, ir=80763
time=55349, red=147702, ir=80725
time=55359, red=147686, ir=80702
time=55369, red=147694, ir=80659
time=55379, red=147692, ir=80658
time=55389, red=147682, ir=80647
time=55399, red=147691, ir=80593
time=55409, red=147656, ir=80563
time=55419, red=147632, ir=80544
time=55429, red=147619, ir=80509
time=55439, red=147632, ir=80504
time=55449, red=147619, ir=80488
time=55459, red=147643, ir=80478
time=55469, red=147645, ir=80451
time=55479, red=147672, ir=80430
time=55489, red=147663, ir=80441
time=55499, red=147687, ir=80428
time=55509, red=147704, ir=80417
time=55519, red=147692, ir=80402
time=55529, red=147727, ir=80373
time=55539, red=147736, ir=80388
time=55549, red=147740, ir=80405
time=55559, red=147774, ir=80383
time=55569, red=147765, ir=80384
time=55579, red=147785, ir=80390
time=55589, red=147805, ir=80379
time=55599, red=147801, ir=80383
time=55609, red=147827, ir=80379
time=55619, red=147789, ir=80370
time=55629, red=147783, ir=80358
time=55639, red=147747, ir=80340
time=55649, red=147723, ir=80349
time=55659, red=147726, ir=80351
time=55669, red=147801, ir=80459
time=55679, red=147909, ir=80612
time=55689, red=147956, ir=80779
time=55699, red=147454, ir=80907
time=55709, red=146642, ir=80999
time=55719, red=144449, ir=80792
time=55729, red=141405, ir=80216
time=55739, red=137353, ir=79649
time=55749, red=134051, ir=79295
time=55759, red=130875, ir=79208
time=55769, red=128294, ir=79278
time=55779, red=128389, ir=79175
time=55789, red=128070, ir=80796
time=55799, red=128708, ir=80369
time=55809, red=121597, ir=79288
time=55819, red=125371, ir=80664
