AT4T29P1 - Pris - 20_20_411_50
time=19588, red=213681, ir=262143
time=19608, red=213670, ir=262143
time=19628, red=213668, ir=262143
time=19648, red=213664, ir=262143
time=19668, red=213652, ir=262143
time=19688, red=213657, ir=262143
time=19708, red=213658, ir=262143
time=19728, red=213687, ir=262143
time=19748, red=213709, ir=262143
time=19768, red=213710, ir=262143
time=19788, red=213715, ir=262143
time=19808, red=213709, ir=262143
time=19827, red=213689, ir=262143
time=19847, red=213706, ir=262143
time=19867, red=213674, ir=262143
time=19887, red=213666, ir=262143
time=19907, red=213661, ir=262143
time=19927, red=213676, ir=262143
time=19947, red=213674, ir=262143
time=19967, red=213672, ir=262143
HR=-999, SP=-1
time=19995, red=213675, ir=262143
time=20007, red=213656, ir=262143
time=20027, red=213669, ir=262143
time=20047, red=213707, ir=262143
time=20067, red=213688, ir=262143
time=20087, red=213671, ir=262143
time=20107, red=213668, ir=262143
time=20127, red=213644, ir=262143
time=20147, red=213678, ir=262143
time=20167, red=213678, ir=262143
time=20187, red=213719, ir=262143
time=20207, red=213681, ir=262143
time=20227, red=213681, ir=262143
time=20247, red=213675, ir=262143
time=20267, red=213658, ir=262143
time=20287, red=213641, ir=262143
time=20307, red=213642, ir=262143
time=20327, red=213609, ir=262143
time=20347, red=213602, ir=262143
time=20367, red=213583, ir=262143
time=20387, red=213536, ir=262143
time=20407, red=213495, ir=262143
time=20427, red=213476, ir=262143
time=20447, red=213456, ir=262143
time=20467, red=213458, ir=262143
time=20487, red=213444, ir=262143
time=20507, red=213443, ir=262143
time=20527, red=213440, ir=262143
time=20547, red=213450, ir=262143
time=20567, red=213455, ir=262143
time=20587, red=213478, ir=262143
time=20607, red=213492, ir=262143
time=20627, red=213473, ir=262143
time=20647, red=213496, ir=262143
time=20667, red=213505, ir=262143
time=20687, red=213532, ir=262143
time=20707, red=213567, ir=262143
time=20727, red=213598, ir=262143
time=20747, red=213630, ir=262143
time=20767, red=213660, ir=262143
time=20787, red=213675, ir=262143
time=20807, red=213698, ir=262143
time=20827, red=213699, ir=262143
time=20847, red=213724, ir=262143
time=20867, red=213735, ir=262143
time=20887, red=213715, ir=262143
time=20907, red=213726, ir=262143
time=20927, red=213725, ir=262143
time=20947, red=213737, ir=262143
time=20967, red=213738, ir=262143
time=20987, red=213739, ir=262143
time=21007, red=213757, ir=262143
time=21027, red=213750, ir=262143
time=21047, red=213753, ir=262143
time=21067, red=213740, ir=262143
time=21087, red=213741, ir=262143
time=21107, red=213736, ir=262143
time=21127, red=213747, ir=262143
time=21147, red=213732, ir=262143
time=21167, red=213742, ir=262143
time=21187, red=213750, ir=262143
time=21207, red=213780, ir=262143
time=21227, red=213791, ir=262143
time=21247, red=213820, ir=262143
time=21267, red=213808, ir=262143
time=21287, red=213819, ir=262143
time=21307, red=213778, ir=262143
time=21327, red=213775, ir=262143
time=21347, red=213785, ir=262143
time=21367, red=213794, ir=262143
time=21387, red=213790, ir=262143
time=21407, red=213773, ir=262143
time=21427, red=213758, ir=262143
time=21447, red=213764, ir=262143
time=21467, red=213758, ir=262143
time=21487, red=213741, ir=262143
time=21507, red=213728, ir=262143
time=21527, red=213723, ir=262143
time=21547, red=213728, ir=262143
time=21567, red=213720, ir=262143
time=21587, red=213718, ir=262143
time=21607, red=213682, ir=262143
time=21627, red=213700, ir=262143
time=21647, red=213701, ir=262143
time=21667, red=213705, ir=262143
time=21687, red=213698, ir=262143
time=21707, red=213685, ir=262143
time=21727, red=213677, ir=262143
time=21747, red=213677, ir=262143
time=21767, red=213688, ir=262143
time=21787, red=213698, ir=262143
time=21807, red=213700, ir=262143
time=21827, red=213689, ir=262143
time=21847, red=213678, ir=262143
time=21867, red=213655, ir=262143
time=21887, red=213652, ir=262143
time=21907, red=213648, ir=262143
time=21927, red=213646, ir=262143
time=21947, red=213631, ir=262143
time=21967, red=213636, ir=262143
HR=-999, SP=-1
time=21987, red=213631, ir=262143
time=22007, red=213643, ir=262143
