AT4T18P2 - Pris - 5_5_411_50, approx 25,000 ms tongue movement
time=27563, red=44212, ir=51347
time=27583, red=46056, ir=55265
time=27603, red=46890, ir=55693
time=27623, red=46755, ir=56194
time=27643, red=46458, ir=55793
time=27663, red=44000, ir=53366
time=27683, red=42364, ir=52417
time=27703, red=41485, ir=51750
time=27723, red=40943, ir=52343
time=27743, red=42061, ir=53030
time=27763, red=41225, ir=52739
time=27783, red=38275, ir=50947
time=27803, red=35640, ir=50986
time=27823, red=35647, ir=51877
time=27843, red=31958, ir=50955
time=27863, red=33181, ir=51685
time=27883, red=33685, ir=53551
time=27903, red=35867, ir=54139
time=27923, red=37871, ir=54729
time=27943, red=40413, ir=58432
time=27963, red=41434, ir=59054
HR=428, SP=-1
time=27990, red=33921, ir=57555
time=28003, red=40137, ir=57555
time=28023, red=39170, ir=54849
time=28043, red=33847, ir=54024
time=28063, red=33184, ir=53123
time=28083, red=32424, ir=52319
time=28103, red=33071, ir=52189
time=28123, red=38777, ir=53160
time=28143, red=38585, ir=53926
time=28163, red=43829, ir=56857
time=28183, red=40531, ir=55060
time=28203, red=41981, ir=58430
time=28223, red=46147, ir=60053
time=28243, red=42449, ir=56146
time=28263, red=49669, ir=58397
time=28283, red=50897, ir=57990
time=28303, red=51700, ir=58435
time=28323, red=49027, ir=57981
time=28343, red=49461, ir=57955
time=28363, red=47265, ir=56503
time=28383, red=45718, ir=54596
time=28403, red=45637, ir=54813
time=28423, red=44386, ir=53843
time=28443, red=44794, ir=53478
time=28463, red=44604, ir=53135
time=28483, red=45112, ir=53910
time=28503, red=45196, ir=55023
time=28523, red=45837, ir=55453
time=28543, red=46604, ir=56325
time=28563, red=46822, ir=55211
time=28583, red=43520, ir=52487
time=28603, red=41063, ir=50403
time=28623, red=40420, ir=51805
time=28643, red=36051, ir=49469
time=28663, red=33610, ir=50628
time=28683, red=32133, ir=52568
time=28703, red=30912, ir=52835
time=28723, red=27283, ir=49101
time=28743, red=34159, ir=53634
time=28763, red=27439, ir=51640
time=28783, red=33830, ir=53844
time=28803, red=32640, ir=56334
time=28823, red=27064, ir=54855
time=28843, red=29989, ir=52973
time=28863, red=28153, ir=53662
time=28883, red=28727, ir=53998
time=28903, red=28566, ir=53712
time=28923, red=28117, ir=53324
time=28943, red=26022, ir=51692
time=28963, red=32339, ir=54282
time=28983, red=37041, ir=56452
time=29003, red=31968, ir=47295
time=29023, red=38258, ir=48616
time=29043, red=31046, ir=49699
time=29063, red=36928, ir=54520
time=29083, red=37700, ir=56670
time=29103, red=46998, ir=56790
time=29123, red=45364, ir=53596
time=29143, red=46004, ir=53534
time=29163, red=46821, ir=54008
time=29183, red=46439, ir=54304
time=29203, red=46717, ir=54157
time=29223, red=46540, ir=54604
time=29243, red=45620, ir=53507
time=29263, red=46983, ir=53856
time=29283, red=47007, ir=53489
time=29303, red=47701, ir=54620
time=29323, red=46986, ir=54752
time=29343, red=49027, ir=55895
time=29363, red=46761, ir=55060
time=29383, red=46645, ir=55555
time=29403, red=46899, ir=55670
time=29423, red=45238, ir=54181
time=29443, red=43525, ir=53685
time=29463, red=41859, ir=52167
time=29483, red=42252, ir=53263
time=29503, red=42934, ir=53872
time=29523, red=43162, ir=53972
time=29543, red=42782, ir=53802
time=29563, red=42396, ir=53431
time=29583, red=41993, ir=52918
time=29603, red=41778, ir=52523
time=29623, red=41820, ir=52464
time=29643, red=41851, ir=52492
time=29663, red=41872, ir=52526
time=29683, red=41919, ir=52584
time=29703, red=41940, ir=52645
time=29723, red=41964, ir=52654
time=29743, red=41976, ir=52677
time=29763, red=41988, ir=52715
time=29783, red=41980, ir=52717
time=29803, red=41979, ir=52723
time=29823, red=41984, ir=52733
time=29843, red=41978, ir=52745
time=29863, red=41996, ir=52785
time=29883, red=42022, ir=52851
time=29903, red=42024, ir=52880
time=29923, red=42021, ir=52914
time=29943, red=42022, ir=52933
time=29963, red=42016, ir=52926
HR=428, SP=-1
time=29983, red=42042, ir=52982
time=30003, red=42044, ir=53010
time=30023, red=42027, ir=53013
time=30043, red=42030, ir=53023
time=30063, red=42031, ir=53034
time=30083, red=42041, ir=53066
time=30103, red=42057, ir=53111
time=30123, red=42087, ir=53176
time=30143, red=42103, ir=53210
time=30163, red=42125, ir=53257
time=30183, red=42184, ir=53342
time=30203, red=42258, ir=53433
time=30223, red=42296, ir=53559
time=30243, red=42191, ir=53643
time=30263, red=42153, ir=53677
time=30283, red=42130, ir=53644
time=30303, red=42102, ir=53588
time=30323, red=42090, ir=53557
time=30343, red=42086, ir=53517
time=30363, red=42088, ir=53502
time=30383, red=42058, ir=53477
time=30403, red=42067, ir=53559
time=30423, red=42093, ir=53656
time=30443, red=42179, ir=53744
time=30462, red=42165, ir=53814
time=30482, red=42063, ir=53859
time=30502, red=41991, ir=53847
time=30522, red=42001, ir=53855
time=30542, red=41991, ir=53833
time=30562, red=42003, ir=53825
time=30582, red=42001, ir=53809
time=30602, red=41987, ir=53810
time=30622, red=41988, ir=53795
time=30642, red=42007, ir=53815
time=30662, red=42006, ir=53809
time=30682, red=41999, ir=53808
time=30702, red=41993, ir=53778
time=30722, red=41976, ir=53753
time=30742, red=41973, ir=53731
time=30762, red=41968, ir=53730
time=30782, red=41965, ir=53754
time=30802, red=41972, ir=53735
time=30822, red=41971, ir=53727
time=30842, red=41981, ir=53725
time=30862, red=41976, ir=53733
time=30882, red=41972, ir=53718
time=30902, red=41986, ir=53724
time=30922, red=41998, ir=53721
time=30942, red=41996, ir=53708
time=30962, red=42025, ir=53712
time=30982, red=42019, ir=53706
time=31002, red=42022, ir=53702
time=31022, red=42010, ir=53701
time=31042, red=42003, ir=53705
time=31062, red=42014, ir=53700
time=31082, red=42015, ir=53689
time=31102, red=41978, ir=53667
time=31122, red=41969, ir=53656
time=31142, red=41939, ir=53622
time=31162, red=41963, ir=53599
time=31182, red=41976, ir=53640
time=31202, red=41972, ir=53639
time=31222, red=41980, ir=53641
time=31242, red=41986, ir=53626
time=31262, red=41956, ir=53613
time=31282, red=41951, ir=53614
time=31302, red=41936, ir=53601
time=31322, red=41940, ir=53579
time=31342, red=41941, ir=53598
time=31362, red=41950, ir=53613
time=31382, red=41930, ir=53577
time=31402, red=41933, ir=53578
time=31422, red=41951, ir=53627
time=31442, red=41993, ir=53638
time=31462, red=41951, ir=53642
time=31482, red=41955, ir=53678
time=31502, red=41977, ir=53681
time=31522, red=41981, ir=53682
time=31542, red=41982, ir=53677
time=31562, red=42005, ir=53691
time=31582, red=42018, ir=53705
time=31602, red=42042, ir=53756
time=31622, red=42047, ir=53760
time=31642, red=42014, ir=53753
time=31662, red=42015, ir=53743
time=31682, red=41993, ir=53735
time=31702, red=41963, ir=53769
time=31722, red=41965, ir=53788
time=31742, red=41955, ir=53766
time=31762, red=41957, ir=53739
time=31782, red=41929, ir=53734
time=31802, red=41931, ir=53785
time=31822, red=42012, ir=53863
time=31842, red=42065, ir=53894
time=31862, red=42069, ir=53864
time=31882, red=42033, ir=53772
time=31902, red=42012, ir=53720
time=31922, red=41979, ir=53649
time=31942, red=41974, ir=53555
time=31962, red=41992, ir=53464
HR=428, SP=-1
time=31987, red=42100, ir=53446
time=32002, red=42495, ir=53967
time=32022, red=42828, ir=54535
time=32042, red=42456, ir=54072
time=32062, red=42014, ir=53595
time=32082, red=41725, ir=53345
time=32102, red=41616, ir=53256
time=32122, red=41387, ir=53074
time=32142, red=41308, ir=52999
time=32162, red=41203, ir=52858
time=32182, red=41093, ir=52727
time=32202, red=41051, ir=52638
time=32222, red=41092, ir=52658
time=32242, red=41258, ir=52823
time=32262, red=41706, ir=53351
time=32282, red=42642, ir=54442
time=32302, red=43616, ir=55423
time=32322, red=42438, ir=54512
time=32342, red=39115, ir=53473
time=32362, red=36947, ir=52686
time=32382, red=35520, ir=52185
time=32402, red=34074, ir=51664
time=32422, red=33842, ir=51354
time=32442, red=33583, ir=52349
time=32462, red=30744, ir=52578
time=32482, red=28000, ir=52149
time=32502, red=26402, ir=49148
time=32522, red=29039, ir=50802
time=32542, red=29703, ir=50725
time=32562, red=31037, ir=52610
time=32582, red=37770, ir=48445
time=32602, red=23039, ir=27256
time=32622, red=23618, ir=25953
time=32642, red=20981, ir=22361
time=32662, red=20508, ir=21665
time=32682, red=22306, ir=26660
time=32702, red=27396, ir=50139
time=32722, red=31982, ir=54224
time=32742, red=27978, ir=52087
time=32762, red=29137, ir=52246
time=32782, red=26107, ir=52187
time=32802, red=32590, ir=54323
time=32822, red=31508, ir=53033
time=32842, red=41424, ir=54495
time=32862, red=44165, ir=54992
time=32882, red=42452, ir=55505
time=32902, red=47674, ir=57262
time=32922, red=44996, ir=55723
time=32942, red=46462, ir=56549
time=32962, red=48992, ir=57978
time=32982, red=48250, ir=55768
time=33002, red=49188, ir=56132
time=33022, red=49643, ir=56326
time=33042, red=50471, ir=57280
time=33062, red=48954, ir=55658
time=33082, red=48636, ir=55279
time=33102, red=48532, ir=55880
time=33122, red=49079, ir=56359
time=33142, red=47798, ir=55141
time=33162, red=48528, ir=55900
time=33182, red=46993, ir=54534
time=33202, red=45746, ir=54170
time=33222, red=42251, ir=51121
time=33242, red=40984, ir=51052
time=33262, red=39317, ir=49805
time=33282, red=40381, ir=51429
time=33302, red=38090, ir=50166
time=33322, red=34662, ir=49298
time=33342, red=32762, ir=49945
time=33362, red=34312, ir=51692
time=33382, red=33646, ir=53383
time=33402, red=32867, ir=54032
time=33422, red=26697, ir=51248
time=33442, red=27049, ir=49854
time=33462, red=30253, ir=51932
time=33482, red=22772, ir=38548
time=33502, red=21053, ir=28647
time=33522, red=16442, ir=22015
time=33542, red=16139, ir=20651
time=33562, red=18705, ir=25997
time=33582, red=20032, ir=33752
time=33602, red=17126, ir=33086
time=33622, red=18211, ir=34715
time=33642, red=21527, ir=42024
time=33662, red=21646, ir=47502
time=33682, red=22890, ir=47780
time=33701, red=34874, ir=52436
time=33721, red=31622, ir=52284
time=33741, red=24759, ir=44938
time=33761, red=26997, ir=46686
time=33781, red=34585, ir=57182
time=33801, red=39006, ir=54672
time=33821, red=45438, ir=56160
time=33841, red=48552, ir=54255
time=33861, red=49228, ir=56078
time=33881, red=48562, ir=54854
time=33901, red=47583, ir=53688
time=33921, red=45944, ir=51438
time=33941, red=44708, ir=50681
time=33961, red=44549, ir=51110
HR=500, SP=-1
time=33981, red=45001, ir=51948
time=34001, red=45096, ir=52310
time=34021, red=44985, ir=52125
time=34041, red=44472, ir=51712
time=34061, red=44461, ir=53936
time=34081, red=46446, ir=53305
time=34101, red=46417, ir=55084
time=34121, red=47707, ir=56225
time=34141, red=46952, ir=56120
time=34161, red=44915, ir=54093
time=34181, red=43032, ir=53693
time=34201, red=41107, ir=52038
time=34221, red=40913, ir=51976
time=34241, red=41659, ir=52631
time=34261, red=42731, ir=53391
time=34281, red=42915, ir=53510
time=34301, red=42770, ir=53305
time=34321, red=42463, ir=52884
time=34341, red=41975, ir=52528
time=34361, red=41723, ir=52311
time=34381, red=41230, ir=52246
time=34401, red=41073, ir=52294
time=34421, red=40900, ir=52357
time=34441, red=39865, ir=52088
time=34461, red=38444, ir=51558
time=34481, red=37552, ir=51934
time=34501, red=36474, ir=51849
time=34521, red=32649, ir=51414
time=34541, red=33792, ir=52756
time=34561, red=33142, ir=53036
time=34581, red=30914, ir=51838
time=34601, red=36458, ir=52325
time=34621, red=38489, ir=55072
time=34641, red=38183, ir=56278
time=34661, red=36154, ir=54599
time=34681, red=37477, ir=56089
time=34701, red=37589, ir=56291
time=34721, red=37483, ir=55907
time=34741, red=37177, ir=55078
time=34761, red=35086, ir=52467
time=34781, red=34405, ir=54048
time=34801, red=36543, ir=54453
time=34821, red=37364, ir=54684
time=34841, red=38955, ir=55957
time=34861, red=39785, ir=55804
time=34881, red=37526, ir=55652
time=34901, red=43168, ir=54914
time=34921, red=48083, ir=56302
time=34941, red=49241, ir=57801
time=34961, red=49853, ir=57636
time=34981, red=50348, ir=57385
time=35001, red=48825, ir=57187
time=35021, red=48645, ir=57560
time=35041, red=47912, ir=56579
time=35061, red=47164, ir=55391
time=35081, red=46868, ir=55811
time=35101, red=45794, ir=54288
time=35121, red=45644, ir=54436
time=35141, red=46147, ir=55026
time=35161, red=46273, ir=55296
time=35181, red=46906, ir=56436
time=35201, red=46136, ir=55486
time=35221, red=46829, ir=55157
time=35241, red=46367, ir=56034
time=35261, red=44063, ir=53572
time=35281, red=40923, ir=51517
time=35301, red=40068, ir=50848
time=35321, red=39020, ir=51018
time=35341, red=40462, ir=51612
time=35361, red=41114, ir=52215
time=35381, red=40808, ir=52429
time=35401, red=40512, ir=52185
time=35421, red=40496, ir=51878
time=35441, red=40372, ir=51695
time=35461, red=40462, ir=51593
time=35481, red=40620, ir=51547
time=35501, red=40558, ir=51617
time=35521, red=40608, ir=51630
time=35541, red=40594, ir=51623
time=35561, red=40619, ir=51671
time=35581, red=40660, ir=51674
time=35601, red=40641, ir=51671
time=35621, red=40647, ir=51690
time=35641, red=40637, ir=51717
time=35661, red=40621, ir=51731
time=35681, red=40654, ir=51796
time=35701, red=40662, ir=51861
time=35721, red=40693, ir=51876
time=35741, red=40719, ir=51930
time=35761, red=40748, ir=51953
time=35781, red=40757, ir=52009
time=35801, red=40764, ir=52057
time=35821, red=40774, ir=52100
time=35841, red=40783, ir=52154
time=35861, red=40798, ir=52189
time=35881, red=40818, ir=52228
time=35901, red=40838, ir=52258
time=35921, red=40847, ir=52259
time=35941, red=40848, ir=52308
time=35961, red=40863, ir=52335
HR=375, SP=77
time=35988, red=40871, ir=52386
time=36001, red=40887, ir=52397
time=36021, red=40894, ir=52425
time=36041, red=40893, ir=52481
time=36061, red=40910, ir=52495
time=36081, red=40937, ir=52515
time=36101, red=40930, ir=52529
time=36121, red=40943, ir=52538
time=36141, red=40955, ir=52586
time=36161, red=40974, ir=52621
time=36181, red=40969, ir=52621
time=36201, red=40994, ir=52667
time=36221, red=41006, ir=52696
time=36241, red=41007, ir=52708
time=36261, red=40998, ir=52719
time=36281, red=41015, ir=52762
time=36301, red=41028, ir=52750
time=36321, red=41022, ir=52777
time=36341, red=41028, ir=52797
time=36361, red=41040, ir=52803
time=36381, red=41019, ir=52800
time=36401, red=41031, ir=52821
time=36421, red=41027, ir=52834
time=36441, red=41038, ir=52882
time=36461, red=41070, ir=52937
time=36481, red=41088, ir=52947
time=36501, red=41079, ir=52955
time=36521, red=41057, ir=52940
time=36541, red=41053, ir=52897
time=36561, red=41032, ir=52850
time=36581, red=41001, ir=52790
time=36601, red=40993, ir=52750
time=36621, red=40998, ir=52758
time=36641, red=41007, ir=52735
time=36661, red=40998, ir=52691
time=36681, red=41014, ir=52664
time=36701, red=41009, ir=52649
time=36721, red=40992, ir=52655
time=36741, red=40997, ir=52657
time=36761, red=40986, ir=52682
time=36781, red=40994, ir=52643
time=36801, red=41010, ir=52582
time=36821, red=40973, ir=52548
time=36841, red=40924, ir=52506
time=36861, red=40922, ir=52417
time=36881, red=40936, ir=52317
time=36901, red=40945, ir=52300
time=36921, red=40996, ir=52311
time=36941, red=41028, ir=52244
time=36961, red=41036, ir=52186
time=36981, red=41035, ir=52121
time=37001, red=41009, ir=52065
time=37021, red=40937, ir=52052
time=37041, red=40850, ir=52040
time=37061, red=40798, ir=52025
time=37081, red=40794, ir=52034
time=37101, red=40779, ir=52029
time=37120, red=40759, ir=52072
time=37140, red=40746, ir=52110
time=37160, red=40776, ir=52167
time=37180, red=40783, ir=52244
time=37200, red=40807, ir=52278
time=37220, red=40826, ir=52339
time=37240, red=40837, ir=52336
time=37260, red=40839, ir=52354
time=37280, red=40851, ir=52307
time=37300, red=40860, ir=52299
time=37320, red=40871, ir=52284
time=37340, red=40871, ir=52302
time=37360, red=40871, ir=52296
time=37380, red=40888, ir=52260
time=37400, red=40878, ir=52254
time=37420, red=40863, ir=52249
time=37440, red=40864, ir=52239
time=37460, red=40860, ir=52233
time=37480, red=40847, ir=52222
time=37500, red=40857, ir=52207
time=37520, red=40850, ir=52224
time=37540, red=40852, ir=52208
time=37560, red=40844, ir=52231
time=37580, red=40836, ir=52235
time=37600, red=40834, ir=52208
time=37620, red=40812, ir=52204
time=37640, red=40815, ir=52207
time=37660, red=40819, ir=52218
time=37680, red=40828, ir=52239
time=37700, red=40829, ir=52251
time=37720, red=40840, ir=52240
time=37740, red=40836, ir=52234
time=37760, red=40838, ir=52241
time=37780, red=40832, ir=52251
time=37800, red=40839, ir=52235
time=37820, red=40834, ir=52224
time=37840, red=40823, ir=52203
time=37860, red=40805, ir=52219
time=37880, red=40812, ir=52205
time=37900, red=40812, ir=52180
time=37920, red=40811, ir=52154
time=37940, red=40802, ir=52171
time=37960, red=40814, ir=52158
HR=122, SP=1
time=37980, red=40807, ir=52146
time=38000, red=40800, ir=52128
time=38020, red=40794, ir=52106
time=38040, red=40775, ir=52071
time=38060, red=40775, ir=52042
time=38080, red=40762, ir=52015
time=38100, red=40765, ir=51972
time=38120, red=40758, ir=51923
time=38140, red=40762, ir=51904
time=38160, red=40747, ir=51861
time=38180, red=40734, ir=51813
time=38200, red=40739, ir=51787
time=38220, red=40714, ir=51741
time=38240, red=40716, ir=51705
time=38260, red=40723, ir=51675
time=38280, red=40752, ir=51675
time=38300, red=40744, ir=51639
time=38320, red=40765, ir=51612
time=38340, red=40779, ir=51579
time=38360, red=40819, ir=51588
time=38380, red=40839, ir=51583
time=38400, red=40876, ir=51575
time=38420, red=40911, ir=51578
time=38440, red=40950, ir=51603
time=38460, red=40987, ir=51598
time=38480, red=40995, ir=51591
time=38500, red=41013, ir=51590
time=38520, red=41047, ir=51598
time=38540, red=41049, ir=51600
time=38560, red=41084, ir=51571
time=38580, red=41100, ir=51558
time=38600, red=41116, ir=51560
time=38620, red=41142, ir=51561
time=38640, red=41152, ir=51567
time=38660, red=41172, ir=51543
time=38680, red=41181, ir=51545
time=38700, red=41194, ir=51548
time=38720, red=41211, ir=51560
time=38740, red=41235, ir=51556
time=38760, red=41261, ir=51577
time=38780, red=41260, ir=51561
time=38800, red=41283, ir=51546
time=38820, red=41300, ir=51538
time=38840, red=41316, ir=51552
time=38860, red=41334, ir=51562
time=38880, red=41337, ir=51568
time=38900, red=41339, ir=51569
time=38920, red=41366, ir=51574
time=38940, red=41373, ir=51568
time=38960, red=41391, ir=51560
time=38980, red=41396, ir=51566
time=39000, red=41397, ir=51575
time=39020, red=41419, ir=51573
time=39040, red=41423, ir=51564
time=39060, red=41439, ir=51547
time=39080, red=41443, ir=51563
time=39100, red=41460, ir=51576
time=39120, red=41471, ir=51572
time=39140, red=41479, ir=51601
time=39160, red=41491, ir=51600
time=39180, red=41511, ir=51600
time=39200, red=41508, ir=51594
time=39220, red=41517, ir=51604
time=39240, red=41518, ir=51606
time=39260, red=41530, ir=51592
time=39280, red=41523, ir=51598
time=39300, red=41529, ir=51579
time=39320, red=41539, ir=51564
time=39340, red=41533, ir=51542
time=39360, red=41547, ir=51545
time=39380, red=41544, ir=51492
time=39400, red=41536, ir=51463
time=39420, red=41543, ir=51429
time=39440, red=41546, ir=51379
time=39460, red=41542, ir=51345
time=39480, red=41560, ir=51313
time=39500, red=41546, ir=51275
time=39520, red=41563, ir=51271
time=39540, red=41568, ir=51243
time=39560, red=41593, ir=51196
time=39580, red=41593, ir=51188
time=39600, red=41597, ir=51165
time=39620, red=41612, ir=51151
time=39640, red=41615, ir=51139
time=39660, red=41635, ir=51147
time=39680, red=41669, ir=51154
time=39700, red=41692, ir=51191
time=39720, red=41696, ir=51177
time=39740, red=41725, ir=51192
time=39760, red=41733, ir=51180
time=39780, red=41753, ir=51195
time=39800, red=41763, ir=51205
time=39820, red=41793, ir=51220
time=39840, red=41809, ir=51215
time=39860, red=41816, ir=51223
time=39880, red=41821, ir=51225
time=39900, red=41832, ir=51228
time=39920, red=41839, ir=51248
time=39940, red=41862, ir=51248
time=39960, red=41873, ir=51272
HR=315, SP=83
time=39984, red=41880, ir=51283
time=40000, red=41897, ir=51272
time=40020, red=41889, ir=51280
time=40040, red=41890, ir=51287
time=40060, red=41898, ir=51291
time=40080, red=41899, ir=51311
time=40100, red=41894, ir=51330
time=40120, red=41897, ir=51345
time=40140, red=41898, ir=51330
time=40160, red=41901, ir=51330
time=40180, red=41900, ir=51334
time=40200, red=41904, ir=51339
time=40220, red=41917, ir=51352
time=40240, red=41935, ir=51364
time=40260, red=41928, ir=51398
time=40280, red=41935, ir=51378
time=40300, red=41920, ir=51399
time=40320, red=41924, ir=51394
time=40340, red=41932, ir=51426
time=40360, red=41920, ir=51450
time=40380, red=41929, ir=51454
time=40400, red=41932, ir=51485
time=40420, red=41902, ir=51475
time=40440, red=41910, ir=51497
time=40460, red=41925, ir=51506
time=40480, red=41932, ir=51502
time=40500, red=41928, ir=51498
time=40520, red=41923, ir=51485
time=40540, red=41925, ir=51493
time=40560, red=41919, ir=51504
time=40580, red=41916, ir=51488
time=40600, red=41912, ir=51488
time=40620, red=41914, ir=51475
time=40640, red=41916, ir=51477
time=40660, red=41916, ir=51459
time=40680, red=41919, ir=51459
time=40699, red=41915, ir=51425
time=40719, red=41891, ir=51380
time=40739, red=41894, ir=51324
time=40759, red=41884, ir=51308
time=40779, red=41890, ir=51286
time=40799, red=41890, ir=51255
time=40819, red=41889, ir=51231
time=40839, red=41893, ir=51213
time=40859, red=41895, ir=51188
time=40879, red=41899, ir=51169
time=40899, red=41909, ir=51165
time=40919, red=41923, ir=51150
time=40939, red=41928, ir=51155
time=40959, red=41930, ir=51144
time=40979, red=41948, ir=51169
time=40999, red=41941, ir=51171
time=41019, red=41968, ir=51182
time=41039, red=41973, ir=51194
time=41059, red=41981, ir=51203
time=41079, red=41979, ir=51205
time=41099, red=41985, ir=51241
time=41119, red=41980, ir=51257
time=41139, red=42000, ir=51270
time=41159, red=42006, ir=51289
time=41179, red=41999, ir=51286
time=41199, red=42002, ir=51296
time=41219, red=42016, ir=51299
time=41239, red=42015, ir=51307
time=41259, red=42020, ir=51323
time=41279, red=42016, ir=51329
time=41299, red=42026, ir=51333
time=41319, red=42026, ir=51328
time=41339, red=42030, ir=51336
time=41359, red=42031, ir=51358
time=41379, red=42027, ir=51380
time=41399, red=42034, ir=51385
time=41419, red=42045, ir=51393
time=41439, red=42029, ir=51399
time=41459, red=42046, ir=51433
time=41479, red=42052, ir=51447
time=41499, red=42054, ir=51461
time=41519, red=42045, ir=51459
time=41539, red=42036, ir=51456
time=41559, red=42041, ir=51454
time=41579, red=42035, ir=51476
time=41599, red=42035, ir=51510
time=41619, red=42030, ir=51520
time=41639, red=42021, ir=51525
time=41659, red=42037, ir=51531
time=41679, red=42032, ir=51522
time=41699, red=42029, ir=51531
time=41719, red=42026, ir=51546
time=41739, red=42015, ir=51557
time=41759, red=42007, ir=51576
time=41779, red=42010, ir=51592
time=41799, red=42016, ir=51609
time=41819, red=42017, ir=51611
time=41839, red=42024, ir=51610
time=41859, red=42016, ir=51627
time=41879, red=42007, ir=51652
time=41899, red=42010, ir=51668
time=41919, red=42009, ir=51675
time=41939, red=42004, ir=51661
time=41959, red=42004, ir=51681
HR=315, SP=83
time=41979, red=41988, ir=51665
time=41999, red=41989, ir=51648
time=42019, red=41969, ir=51627
time=42039, red=41964, ir=51625
time=42059, red=41952, ir=51602
time=42079, red=41949, ir=51577
time=42099, red=41940, ir=51549
time=42119, red=41941, ir=51524
time=42139, red=41917, ir=51477
time=42159, red=41908, ir=51457
time=42179, red=41924, ir=51461
time=42199, red=41908, ir=51422
time=42219, red=41915, ir=51405
time=42239, red=41904, ir=51398
time=42259, red=41897, ir=51374
time=42279, red=41894, ir=51368
time=42299, red=41894, ir=51355
time=42319, red=41908, ir=51347
time=42339, red=41907, ir=51365
time=42359, red=41920, ir=51378
time=42379, red=41928, ir=51401
time=42399, red=41940, ir=51424
time=42419, red=41927, ir=51450
time=42439, red=41944, ir=51464
time=42459, red=41941, ir=51452
time=42479, red=41952, ir=51470
time=42499, red=41950, ir=51488
time=42519, red=41937, ir=51497
time=42539, red=41951, ir=51502
time=42559, red=41934, ir=51512
time=42579, red=41938, ir=51516
time=42599, red=41944, ir=51520
time=42619, red=41926, ir=51525
time=42639, red=41924, ir=51531
time=42659, red=41924, ir=51527
time=42679, red=41919, ir=51538
time=42699, red=41934, ir=51555
time=42719, red=41924, ir=51557
time=42739, red=41927, ir=51568
time=42759, red=41911, ir=51569
time=42779, red=41907, ir=51585
time=42799, red=41906, ir=51591
time=42819, red=41903, ir=51611
time=42839, red=41912, ir=51614
time=42859, red=41916, ir=51629
time=42879, red=41913, ir=51639
time=42899, red=41907, ir=51649
time=42919, red=41911, ir=51668
time=42939, red=41920, ir=51685
time=42959, red=41910, ir=51692
time=42979, red=41908, ir=51711
time=42999, red=41910, ir=51708
time=43019, red=41899, ir=51731
time=43039, red=41913, ir=51739
time=43059, red=41909, ir=51736
time=43079, red=41903, ir=51756
time=43099, red=41899, ir=51777
time=43119, red=41901, ir=51803
time=43139, red=41891, ir=51825
time=43159, red=41922, ir=51847
time=43179, red=41914, ir=51849
time=43199, red=41916, ir=51871
time=43219, red=41908, ir=51914
time=43239, red=41909, ir=51942
time=43259, red=41907, ir=51956
time=43279, red=41904, ir=51982
time=43299, red=41913, ir=51985
time=43319, red=41918, ir=52015
time=43339, red=41912, ir=52043
time=43359, red=41920, ir=52049
time=43379, red=41909, ir=52053
time=43399, red=41899, ir=52066
time=43419, red=41903, ir=52041
time=43439, red=41887, ir=52019
time=43459, red=41892, ir=51987
time=43479, red=41872, ir=51978
time=43499, red=41855, ir=51968
time=43519, red=41859, ir=51953
time=43539, red=41851, ir=51948
time=43559, red=41857, ir=51954
time=43579, red=41853, ir=51943
time=43599, red=41843, ir=51950
time=43619, red=41843, ir=51955
time=43639, red=41842, ir=51955
time=43659, red=41843, ir=51959
time=43679, red=41837, ir=51968
time=43699, red=41848, ir=51961
time=43719, red=41851, ir=51974
time=43739, red=41868, ir=52006
time=43759, red=41870, ir=52041
time=43779, red=41873, ir=52062
time=43799, red=41876, ir=52105
time=43819, red=41863, ir=52123
time=43839, red=41862, ir=52154
time=43858, red=41877, ir=52171
time=43878, red=41881, ir=52195
time=43898, red=41891, ir=52216
time=43918, red=41902, ir=52238
time=43938, red=41882, ir=52252
time=43958, red=41884, ir=52246
HR=193, SP=-1
time=43985, red=41869, ir=52270
time=43998, red=41858, ir=52283
time=44018, red=41885, ir=52299
time=44038, red=41882, ir=52297
time=44058, red=41866, ir=52323
time=44078, red=41861, ir=52303
time=44098, red=41879, ir=52327
time=44118, red=41866, ir=52332
time=44138, red=41873, ir=52349
time=44158, red=41866, ir=52363
time=44178, red=41873, ir=52382
time=44198, red=41855, ir=52395
time=44218, red=41843, ir=52419
time=44238, red=41834, ir=52432
time=44258, red=41856, ir=52433
time=44278, red=41848, ir=52452
time=44298, red=41843, ir=52465
time=44318, red=41825, ir=52482
time=44338, red=41830, ir=52482
time=44358, red=41833, ir=52506
time=44378, red=41829, ir=52513
time=44398, red=41819, ir=52517
time=44418, red=41809, ir=52525
time=44438, red=41816, ir=52545
time=44458, red=41810, ir=52555
time=44478, red=41805, ir=52559
time=44498, red=41809, ir=52574
time=44518, red=41784, ir=52592
time=44538, red=41776, ir=52605
time=44558, red=41786, ir=52609
time=44578, red=41781, ir=52605
time=44598, red=41782, ir=52619
time=44618, red=41770, ir=52643
time=44638, red=41793, ir=52653
time=44658, red=41792, ir=52671
time=44678, red=41794, ir=52661
time=44698, red=41772, ir=52646
time=44718, red=41755, ir=52646
time=44738, red=41756, ir=52630
time=44758, red=41748, ir=52601
time=44778, red=41723, ir=52562
time=44798, red=41705, ir=52538
time=44818, red=41697, ir=52503
time=44838, red=41675, ir=52480
time=44858, red=41671, ir=52457
