AT4T16P2 - Pris - 5_5_411_100
time=5407, red=47089, ir=53213
time=5417, red=47112, ir=53222
time=5427, red=47120, ir=53218
time=5437, red=47106, ir=53214
time=5447, red=47104, ir=53208
time=5457, red=47116, ir=53208
time=5467, red=47113, ir=53205
time=5477, red=47123, ir=53204
time=5487, red=47129, ir=53205
time=5497, red=47125, ir=53211
time=5507, red=47118, ir=53199
time=5517, red=47138, ir=53211
time=5527, red=47120, ir=53208
time=5537, red=47123, ir=53212
time=5547, red=47144, ir=53214
time=5557, red=47117, ir=53227
time=5566, red=47130, ir=53234
time=5576, red=47139, ir=53230
time=5586, red=47151, ir=53260
time=5596, red=47143, ir=53242
time=5606, red=47148, ir=53253
time=5616, red=47146, ir=53246
time=5626, red=47140, ir=53254
time=5636, red=47136, ir=53261
time=5646, red=47140, ir=53268
time=5656, red=47151, ir=53271
time=5666, red=47147, ir=53292
time=5676, red=47158, ir=53280
time=5686, red=47170, ir=53301
time=5696, red=47166, ir=53311
time=5706, red=47157, ir=53330
time=5716, red=47162, ir=53318
time=5726, red=47163, ir=53315
time=5736, red=47176, ir=53324
time=5746, red=47163, ir=53341
time=5756, red=47175, ir=53350
time=5766, red=47173, ir=53343
time=5776, red=47169, ir=53350
time=5786, red=47179, ir=53359
time=5796, red=47196, ir=53373
time=5806, red=47187, ir=53384
time=5816, red=47202, ir=53395
time=5826, red=47194, ir=53383
time=5836, red=47199, ir=53386
time=5846, red=47204, ir=53405
time=5856, red=47195, ir=53402
time=5866, red=47209, ir=53408
time=5876, red=47200, ir=53404
time=5886, red=47207, ir=53409
time=5896, red=47193, ir=53422
time=5906, red=47201, ir=53419
time=5916, red=47198, ir=53430
time=5926, red=47209, ir=53416
time=5936, red=47207, ir=53445
time=5946, red=47223, ir=53439
time=5956, red=47213, ir=53444
time=5966, red=47210, ir=53439
time=5976, red=47218, ir=53432
time=5986, red=47215, ir=53453
HR=93, SP=12
time=6011, red=47206, ir=53455
time=6016, red=47214, ir=53443
time=6026, red=47207, ir=53427
time=6036, red=47216, ir=53456
time=6046, red=47215, ir=53459
time=6056, red=47219, ir=53448
time=6066, red=47216, ir=53460
time=6076, red=47203, ir=53456
time=6086, red=47228, ir=53463
time=6096, red=47240, ir=53464
time=6106, red=47220, ir=53477
time=6116, red=47233, ir=53488
time=6126, red=47228, ir=53495
time=6136, red=47213, ir=53493
time=6146, red=47234, ir=53504
time=6156, red=47233, ir=53511
time=6166, red=47227, ir=53509
time=6176, red=47219, ir=53520
time=6186, red=47244, ir=53533
time=6196, red=47250, ir=53546
time=6206, red=47256, ir=53556
time=6216, red=47242, ir=53562
time=6226, red=47237, ir=53558
time=6236, red=47249, ir=53562
time=6246, red=47254, ir=53557
time=6256, red=47255, ir=53567
time=6266, red=47255, ir=53584
time=6276, red=47252, ir=53578
time=6286, red=47250, ir=53579
time=6296, red=47248, ir=53580
time=6306, red=47250, ir=53573
time=6316, red=47243, ir=53584
time=6326, red=47247, ir=53587
time=6336, red=47241, ir=53585
time=6346, red=47244, ir=53586
time=6356, red=47236, ir=53586
time=6366, red=47231, ir=53588
time=6376, red=47225, ir=53587
time=6386, red=47231, ir=53587
time=6396, red=47228, ir=53582
time=6406, red=47221, ir=53592
time=6416, red=47217, ir=53595
time=6426, red=47213, ir=53599
time=6436, red=47220, ir=53599
time=6446, red=47222, ir=53598
time=6456, red=47218, ir=53580
time=6466, red=47228, ir=53584
time=6476, red=47211, ir=53594
time=6486, red=47212, ir=53607
time=6496, red=47215, ir=53606
time=6506, red=47210, ir=53614
time=6516, red=47216, ir=53594
time=6526, red=47210, ir=53617
time=6536, red=47223, ir=53611
time=6546, red=47227, ir=53620
time=6556, red=47225, ir=53632
time=6566, red=47209, ir=53614
time=6576, red=47208, ir=53622
time=6586, red=47203, ir=53629
time=6596, red=47211, ir=53619
time=6606, red=47203, ir=53623
time=6616, red=47206, ir=53614
time=6626, red=47173, ir=53607
time=6636, red=47189, ir=53590
time=6646, red=47176, ir=53602
time=6656, red=47184, ir=53588
time=6666, red=47175, ir=53580
time=6676, red=47153, ir=53565
time=6686, red=47155, ir=53542
time=6696, red=47151, ir=53538
time=6706, red=47119, ir=53525
time=6716, red=47138, ir=53514
time=6726, red=47134, ir=53509
time=6736, red=47122, ir=53499
time=6746, red=47100, ir=53483
time=6756, red=47099, ir=53472
time=6766, red=47105, ir=53448
time=6776, red=47101, ir=53445
time=6786, red=47086, ir=53432
time=6796, red=47082, ir=53415
time=6806, red=47071, ir=53411
time=6816, red=47073, ir=53383
time=6826, red=47070, ir=53396
time=6836, red=47061, ir=53378
time=6846, red=47067, ir=53371
time=6856, red=47063, ir=53365
time=6866, red=47079, ir=53363
time=6876, red=47057, ir=53347
time=6886, red=47057, ir=53337
time=6896, red=47051, ir=53335
time=6906, red=47057, ir=53342
time=6916, red=47056, ir=53343
time=6926, red=47067, ir=53322
time=6936, red=47063, ir=53323
time=6946, red=47072, ir=53318
time=6956, red=47065, ir=53328
time=6966, red=47077, ir=53339
time=6976, red=47076, ir=53338
time=6986, red=47077, ir=53326
time=6996, red=47066, ir=53331
HR=162, SP=-1
time=7006, red=47086, ir=53328
time=7016, red=47108, ir=53343
time=7026, red=47093, ir=53333
time=7036, red=47093, ir=53352
time=7046, red=47097, ir=53328
time=7056, red=47101, ir=53348
time=7066, red=47088, ir=53354
time=7076, red=47117, ir=53363
time=7086, red=47113, ir=53358
time=7096, red=47128, ir=53373
time=7106, red=47106, ir=53384
time=7116, red=47120, ir=53373
time=7126, red=47116, ir=53381
time=7136, red=47119, ir=53389
time=7146, red=47113, ir=53401
time=7156, red=47115, ir=53389
time=7166, red=47126, ir=53402
time=7176, red=47125, ir=53399
time=7186, red=47135, ir=53403
time=7196, red=47118, ir=53414
time=7206, red=47130, ir=53424
time=7216, red=47127, ir=53432
time=7226, red=47125, ir=53423
time=7236, red=47141, ir=53426
time=7246, red=47139, ir=53434
time=7256, red=47142, ir=53426
time=7266, red=47145, ir=53438
time=7276, red=47147, ir=53445
time=7286, red=47140, ir=53448
time=7296, red=47146, ir=53438
time=7306, red=47125, ir=53446
time=7316, red=47128, ir=53442
time=7326, red=47142, ir=53447
time=7336, red=47142, ir=53453
time=7346, red=47137, ir=53445
time=7356, red=47130, ir=53441
time=7366, red=47108, ir=53442
time=7376, red=47113, ir=53440
time=7386, red=47114, ir=53435
time=7396, red=47115, ir=53446
time=7406, red=47120, ir=53447
time=7416, red=47103, ir=53446
time=7426, red=47120, ir=53446
time=7436, red=47129, ir=53464
time=7446, red=47123, ir=53467
time=7456, red=47119, ir=53482
time=7466, red=47121, ir=53485
time=7476, red=47135, ir=53487
time=7486, red=47135, ir=53504
time=7496, red=47142, ir=53518
time=7506, red=47145, ir=53522
time=7516, red=47140, ir=53511
time=7526, red=47144, ir=53508
time=7536, red=47142, ir=53498
time=7546, red=47127, ir=53493
time=7556, red=47135, ir=53498
time=7566, red=47138, ir=53508
time=7576, red=47131, ir=53501
time=7586, red=47134, ir=53518
time=7596, red=47123, ir=53525
time=7606, red=47121, ir=53500
time=7616, red=47129, ir=53501
time=7626, red=47135, ir=53501
time=7636, red=47124, ir=53487
time=7646, red=47122, ir=53500
time=7656, red=47127, ir=53499
time=7666, red=47122, ir=53501
time=7676, red=47119, ir=53522
time=7686, red=47133, ir=53531
time=7696, red=47120, ir=53547
time=7706, red=47137, ir=53557
time=7716, red=47130, ir=53562
time=7726, red=47145, ir=53576
time=7736, red=47142, ir=53573
time=7746, red=47148, ir=53597
time=7756, red=47163, ir=53595
time=7766, red=47167, ir=53594
time=7776, red=47177, ir=53588
time=7786, red=47168, ir=53583
time=7796, red=47151, ir=53579
time=7806, red=47149, ir=53553
time=7816, red=47152, ir=53557
time=7826, red=47164, ir=53585
time=7836, red=47143, ir=53576
time=7846, red=47155, ir=53595
time=7856, red=47156, ir=53590
time=7866, red=47154, ir=53609
time=7876, red=47151, ir=53606
time=7886, red=47146, ir=53611
time=7896, red=47141, ir=53608
time=7906, red=47135, ir=53612
time=7916, red=47134, ir=53606
time=7926, red=47135, ir=53611
time=7936, red=47137, ir=53608
time=7946, red=47121, ir=53611
time=7956, red=47119, ir=53624
time=7966, red=47119, ir=53609
time=7976, red=47125, ir=53615
time=7986, red=47130, ir=53618
time=7996, red=47132, ir=53626
HR=81, SP=75
time=8020, red=47141, ir=53626
time=8026, red=47138, ir=53655
time=8036, red=47150, ir=53651
time=8046, red=47150, ir=53657
time=8056, red=47142, ir=53624
time=8066, red=47139, ir=53619
time=8076, red=47148, ir=53613
time=8086, red=47132, ir=53606
time=8096, red=47117, ir=53597
time=8106, red=47106, ir=53577
time=41556, red=41925, ir=54493
time=41566, red=41904, ir=54521
time=41576, red=41903, ir=54576
time=41586, red=41920, ir=54637
