AT4T21P2 - Pris - 5_5_411_50, movement around 80k ms
time=7190, red=46931, ir=54285
time=7210, red=46930, ir=54296
time=7230, red=46921, ir=54295
time=7250, red=46933, ir=54302
time=7270, red=46935, ir=54311
time=7290, red=46940, ir=54314
time=7310, red=46937, ir=54321
time=7330, red=46941, ir=54313
time=7350, red=46942, ir=54345
time=7370, red=46942, ir=54348
time=7390, red=46935, ir=54335
time=7410, red=46933, ir=54337
time=7430, red=46917, ir=54345
time=7450, red=46940, ir=54344
time=7470, red=46935, ir=54359
time=7490, red=46928, ir=54361
time=7510, red=46919, ir=54365
time=7529, red=46916, ir=54362
time=7549, red=46926, ir=54372
time=7569, red=46927, ir=54386
time=7589, red=46928, ir=54372
time=7609, red=46931, ir=54367
time=7629, red=46935, ir=54375
time=7649, red=46939, ir=54383
time=7669, red=46924, ir=54394
time=7689, red=46934, ir=54409
time=7709, red=46934, ir=54401
time=7729, red=46936, ir=54407
time=7749, red=46920, ir=54412
time=7769, red=46942, ir=54415
time=7789, red=46934, ir=54418
time=7809, red=46930, ir=54415
time=7829, red=46928, ir=54406
time=7849, red=46908, ir=54397
time=7869, red=46923, ir=54379
time=7889, red=46914, ir=54361
time=7909, red=46905, ir=54354
time=7929, red=46889, ir=54319
time=7949, red=46891, ir=54317
time=7969, red=46882, ir=54284
time=7989, red=46864, ir=54264
time=8009, red=46876, ir=54248
time=8029, red=46860, ir=54235
time=8049, red=46860, ir=54220
time=8069, red=46879, ir=54201
time=8089, red=46868, ir=54191
time=8109, red=46876, ir=54176
time=8129, red=46873, ir=54181
time=8149, red=46875, ir=54177
time=8169, red=46879, ir=54175
time=8189, red=46893, ir=54195
time=8209, red=46894, ir=54199
time=8229, red=46912, ir=54192
time=8249, red=46907, ir=54208
time=8269, red=46908, ir=54205
time=8289, red=46913, ir=54217
time=8309, red=46913, ir=54235
time=8329, red=46919, ir=54237
time=8349, red=46933, ir=54252
time=8369, red=46922, ir=54253
time=8389, red=46926, ir=54245
time=8409, red=46930, ir=54242
time=8429, red=46938, ir=54253
time=8449, red=46922, ir=54243
time=8469, red=46928, ir=54253
time=8489, red=46934, ir=54254
time=8509, red=46943, itime=17546, red=46911, ir=54205
time=17566, red=46915, ir=54214
time=17586, red=46922, ir=54209
time=17606, red=46925, ir=54220
time=17626, red=46925, ir=54234
time=17646, red=46928, ir=54219
time=17666, red=46919, ir=54231
time=17686, red=46927, ir=54238
time=17706, red=46927, ir=54245
time=17726, red=46915, ir=54241
time=17746, red=46916, ir=54235
time=17766, red=46932, ir=54241
time=17786, red=46928, ir=54245
time=17806, red=46921, ir=54238
time=17826, red=46927, ir=54251
time=17846, red=46919, ir=54262
time=17866, red=46936, ir=54264
time=17886, red=46933, ir=54264
time=17906, red=46929, ir=54271
time=17926, red=46932, ir=54287
time=17946, red=46925, ir=54285
time=17966, red=46930, ir=54291
HR=89, SP=62
time=17986, red=46925, ir=54315
time=18006, red=46944, ir=54298
time=18026, red=46938, ir=54323
time=18046, red=46945, ir=54316
time=18066, red=46939, ir=54314
time=18086, red=46935, ir=54310
time=18106, red=46935, ir=54319
time=18126, red=46924, ir=54334
time=18146, red=46944, ir=54338
time=18166, red=46927, ir=54337
time=18186, red=46939, ir=54344
time=18206, red=46931, ir=54355
time=18226, red=46930, ir=54355
time=18246, red=46939, ir=54363
time=18266, red=46929, ir=54361
time=18286, red=46929, ir=54367
time=18306, red=46926, ir=54398
time=18326, red=46926, ir=54381
time=18346, red=46928, ir=54389
time=18366, red=46914, ir=54359
time=18386, red=46914, ir=54348
time=18406, red=46902, ir=54326
time=18426, red=46894, ir=54305
time=18446, red=46888, ir=54294
time=18466, red=46884, ir=54262
time=18486, red=46877, ir=54249
time=18506, red=46875, ir=54232
time=18526, red=46871, ir=54198
time=18546, red=46868, ir=54207
time=18566, red=46871, ir=54189
time=18586, red=46871, ir=54161
time=18606, red=46885, ir=54179
time=18626, red=46861, ir=54165
time=18646, red=46876, ir=54147
time=18666, red=46864, ir=54147
