AT4T21P2 - Pris - 5_5_411_50, movement around 80k ms
time=29422, red=46941, ir=54392
time=29442, red=46946, ir=54384
time=29462, red=46935, ir=54390
time=29482, red=46935, ir=54402
time=29502, red=46938, ir=54401
time=29522, red=46937, ir=54397
time=29542, red=46944, ir=54411
time=29562, red=46940, ir=54402
time=29582, red=46939, ir=54416
time=29602, red=46956, ir=54416
time=29622, red=46939, ir=54413
time=29642, red=46935, ir=54421
time=29662, red=46939, ir=54404
time=29682, red=46928, ir=54422
time=29702, red=46932, ir=54429
time=29722, red=46928, ir=54422
time=29742, red=46912, ir=54428
time=29762, red=46921, ir=54439
time=29782, red=46917, ir=54450
time=29802, red=46929, ir=54434
time=29822, red=46932, ir=54440
time=29842, red=46936, ir=54449
time=29862, red=46929, ir=54434
time=29882, red=46910, ir=54444
time=29902, red=46934, ir=54451
time=29922, red=46920, ir=54441
time=29942, red=46923, ir=54430
time=29962, red=46917, ir=54425
HR=93, SP=95
time=29982, red=46912, ir=54417
time=30002, red=46898, ir=54378
time=30022, red=46902, ir=54372
time=30042, red=46888, ir=54362
time=30062, red=46882, ir=54346
time=30082, red=46880, ir=54313
time=30102, red=46870, ir=54321
time=30122, red=46869, ir=54296
time=30142, red=46875, ir=54280
time=30162, red=46879, ir=54278
time=30182, red=46874, ir=54254
time=30202, red=46885, ir=54267
time=30222, red=46894, ir=54241
time=30242, red=46876, ir=54253
time=30262, red=46886, ir=54260
time=30282, red=46898, ir=54279
time=30302, red=46904, ir=54271
time=30322, red=46913, ir=54276
time=30342, red=46898, ir=54284
time=30362, red=46904, ir=54290
time=30382, red=46926, ir=54305
time=30402, red=46919, ir=54309
time=30422, red=46934, ir=54328
time=30442, red=46919, ir=54319
time=30462, red=46938, ir=54333
time=30482, red=46926, ir=54321
time=30502, red=46923, ir=54331
time=30522, red=46922, ir=54342
time=30542, red=46921, ir=54340
time=30562, red=46926, ir=54345
time=30582, red=46931, ir=54345
time=30602, red=46929, ir=54356
time=30622, red=46924, ir=54353
time=30642, red=46924, ir=54364
time=30662, red=46932, ir=54370
time=30682, red=46943, ir=54368
time=30702, red=46935, ir=54369
time=30722, red=46930, ir=54380
time=30742, red=46934, ir=54387
time=30762, red=46946, ir=54390
time=30782, red=46930, ir=54396
time=30802, red=46934, ir=54406
time=30822, red=46937, ir=54412
time=30842, red=46931, ir=54406
time=30862, red=46940, ir=54416
time=30882, red=46946, ir=54426
time=30902, red=46947, ir=54433
time=30922, red=46956, ir=54442
time=30942, red=46950, ir=54439
time=30962, red=46940, ir=54448
time=30982, red=46928, ir=54453
time=31002, red=46953, ir=54447
time=31022, red=46926, ir=54447
time=31042, red=46933, ir=54469
time=31062, red=46944, ir=54471
time=31082, red=46936, ir=54464
time=31102, red=46946, ir=54467
time=31122, red=46947, ir=54478
time=31142, red=46944, ir=54482
time=31162, red=46927, ir=54481
time=31182, red=46941, ir=54469
time=31202, red=46923, ir=54487
time=31222, red=46928, ir=54494
time=31242, red=46917, ir=54488
time=31262, red=46924, ir=54477
time=31282, red=46929, ir=54482
time=31302, red=46914, ir=54457
time=31322, red=46917, ir=54451
time=31342, red=46895, ir=54429
time=31362, red=46893, ir=54391
time=31382, red=46881, ir=54376
time=31402, red=46877, ir=54357
time=31422, red=46877, ir=54335
time=31442, red=46858, ir=54312
time=31462, red=46875, ir=54300
time=31482, red=46857, ir=54276
time=31502, red=46856, ir=54253
time=31522, red=46865, ir=54237
time=31542, red=46878, ir=54257
time=31562, red=46871, ir=54244
time=31582, red=46864, ir=54230
time=31602, red=46868, ir=54232
time=31622, red=46874, ir=54247
time=31642, red=46879, ir=54220
time=31662, red=46888, ir=54259
time=31682, red=46893, ir=54256
time=31702, red=46892, ir=54270
time=31722, red=46877, ir=54266
time=31742, red=46911, ir=54276
time=31762, red=46893, ir=54269
time=31782, red=46905, ir=54280
time=31802, red=46902, ir=54273
time=31822, red=46897, ir=54293
time=31842, red=46910, ir=54301
time=31862, red=46908, ir=54296
time=31882, red=46895, ir=54295
time=31902, red=46902, ir=54298
time=31922, red=46915, ir=54297
time=31942, red=46918, ir=54303
time=31962, red=46911, ir=54316
HR=95, SP=97
time=31986, red=46907, ir=54303
time=32002, red=46929, ir=54313
time=32022, red=46920, ir=54327
time=32042, red=46933, ir=54339
time=32062, red=46929, ir=54334
time=32082, red=46928, ir=54335
time=32102, red=46931, ir=54342
time=32122, red=46925, ir=54347
time=32142, red=46905, ir=54345
time=32162, red=46924, ir=54360
time=32182, red=46915, ir=54350
time=32202, red=46910, ir=54356
time=32222, red=46921, ir=54359
time=32242, red=46916, ir=54369
time=32262, red=46935, ir=54364
time=32282, red=46922, ir=54367
time=32302, red=46923, ir=54378
time=32322, red=46925, ir=54387
time=32342, red=46927, ir=54390
time=32362, red=46927, ir=54404
time=32382, red=46919, ir=54405
time=32402, red=46926, ir=54409
time=32422, red=46918, ir=54399
time=32442, red=46918, ir=54383
time=32462, red=46916, ir=54400
time=32482, red=46930, ir=54409
time=32502, red=46921, ir=54409
time=32522, red=46910, ir=54412
time=32542, red=46915, ir=54415
time=32562, red=46918, ir=54409
time=32582, red=46910, ir=54393
time=32602, red=46909, ir=54393
time=32622, red=46891, ir=54373
time=32642, red=46887, ir=54370
time=32662, red=46885, ir=54340
time=32682, red=46876, ir=54319
time=32702, red=46863, ir=54300
time=32722, red=46855, ir=54275
time=32742, red=46851, ir=54250
time=32762, red=46851, ir=54242
time=32782, red=46853, ir=54223
time=32802, red=46837, ir=54208
time=32821, red=46848, ir=54207
time=32841, red=46853, ir=54172
time=32861, red=46849, ir=54175
time=32881, red=46844, ir=54181
time=32901, red=46852, ir=54162
time=32921, red=46864, ir=54171
time=32941, red=46873, ir=54180
time=32961, red=46866, ir=54184
time=32981, red=46885, ir=54194
time=33001, red=46891, ir=54215
time=33021, red=46885, ir=54204
time=33041, red=46888, ir=54208
time=33061, red=46885, ir=54215
time=33081, red=46888, ir=54228
time=33101, red=46904, ir=54223
time=33121, red=46902, ir=54222
time=33141, red=46917, ir=54242
time=33161, red=46906, ir=54231
time=33181, red=46899, ir=54227
time=33201, red=46908, ir=54222
time=33221, red=46905, ir=54233
time=33241, red=46912, ir=54239
time=33261, red=46905, ir=54233
time=33281, red=46895, ir=54238
time=33301, red=46918, ir=54233
time=33321, red=46889, ir=54241
time=33341, red=46909, ir=54245
time=33361, red=46909, ir=54248
time=33381, red=46900, ir=54273
time=33401, red=46918, ir=54255
time=33421, red=46909, ir=54261
time=33441, red=46908, ir=54272
time=33461, red=46907, ir=54269
time=33481, red=46920, ir=54278
time=33501, red=46907, ir=54275
time=33521, red=46897, ir=54292
time=33541, red=46900, ir=54297
time=33561, red=46901, ir=54289
time=33581, red=46906, ir=54305
time=33601, red=46918, ir=54309
time=33621, red=46907, ir=54307
time=33641, red=46920, ir=54320
time=33661, red=46914, ir=54316
time=33681, red=46918, ir=54332
time=33701, red=46917, ir=54332
time=33721, red=46912, ir=54332
time=33741, red=46906, ir=54335
time=33761, red=46919, ir=54340
time=33781, red=46905, ir=54338
time=33801, red=46901, ir=54335
time=33821, red=46907, ir=54339
time=33841, red=46903, ir=54332
time=33861, red=46904, ir=54324
time=33881, red=46894, ir=54315
time=33901, red=46896, ir=54295
time=33921, red=46877, ir=54267
time=33941, red=46870, ir=54269
time=33961, red=46880, ir=54263
HR=95, SP=91
time=33981, red=46862, ir=54237
time=34001, red=46878, ir=54216
time=34021, red=46869, ir=54195
time=34041, red=46858, ir=54184
time=34061, red=46864, ir=54150
time=34081, red=46855, ir=54149
time=34101, red=46864, ir=54136
time=34121, red=46854, ir=54144
time=34141, red=46857, ir=54135
time=34161, red=46862, ir=54156
time=34181, red=46873, ir=54144
time=34201, red=46887, ir=54139
time=34221, red=46872, ir=54162
time=34241, red=46895, ir=54181
time=34261, red=46884, ir=54188
time=34281, red=46901, ir=54194
time=34301, red=46889, ir=54205
time=34321, red=46900, ir=54225
time=34341, red=46911, ir=54225
time=34361, red=46910, ir=54237
time=34381, red=46917, ir=54226
time=34401, red=46911, ir=54224
time=34421, red=46908, ir=54224
time=34441, red=46904, ir=54234
time=34461, red=46896, ir=54228
time=34481, red=46906, ir=54231
time=34501, red=46893, ir=54244
time=34521, red=46900, ir=54244
time=34541, red=46916, ir=54257
time=34561, red=46907, ir=54254
time=34581, red=46932, ir=54260
time=34601, red=46916, ir=54276
time=34621, red=46925, ir=54279
time=34641, red=46919, ir=54286
time=34661, red=46917, ir=54301
time=34681, red=46934, ir=54319
time=34701, red=46939, ir=54320
time=34721, red=46920, ir=54346
time=34741, red=46925, ir=54339
time=34761, red=46930, ir=54361
time=34781, red=46926, ir=54350
time=34801, red=46923, ir=54349
time=34821, red=46934, ir=54376
time=34841, red=46925, ir=54371
time=34861, red=46924, ir=54373
time=34881, red=46927, ir=54383
time=34901, red=46920, ir=54372
time=34921, red=46926, ir=54383
time=34941, red=46910, ir=54388
time=34961, red=46917, ir=54399
time=34981, red=46931, ir=54405
time=35001, red=46930, ir=54414
time=35021, red=46922, ir=54408
time=35041, red=46929, ir=54405
time=35061, red=46920, ir=54404
time=35081, red=46911, ir=54392
time=35101, red=46898, ir=54392
time=35121, red=46919, ir=54370
time=35141, red=46901, ir=54381
time=35161, red=46895, ir=54362
time=35181, red=46886, ir=54346
time=35201, red=46888, ir=54334
time=35221, red=46880, ir=54304
time=35241, red=46864, ir=54327
time=35261, red=46862, ir=54281
time=35281, red=46861, ir=54276
time=35301, red=46864, ir=54250
time=35321, red=46852, ir=54233
time=35341, red=46855, ir=54195
time=35361, red=46837, ir=54186
time=35381, red=46840, ir=54179
time=35401, red=46836, ir=54142
time=35421, red=46845, ir=54134
time=35441, red=46844, ir=54127
time=35461, red=46849, ir=54131
time=35481, red=46841, ir=54146
time=35501, red=46871, ir=54132
time=35521, red=46861, ir=54137
time=35541, red=46880, ir=54153
time=35561, red=46880, ir=54179
time=35581, red=46892, ir=54169
time=35601, red=46886, ir=54181
time=35621, red=46886, ir=54210
time=35641, red=46903, ir=54221
time=35661, red=46900, ir=54218
time=35681, red=46894, ir=54244
time=35701, red=46907, ir=54235
time=35721, red=46898, ir=54236
time=35741, red=46917, ir=54253
time=35761, red=46903, ir=54250
time=35781, red=46906, ir=54244
time=35801, red=46901, ir=54243
time=35821, red=46898, ir=54264
time=35841, red=46912, ir=54255
time=35861, red=46892, ir=54272
time=35881, red=46890, ir=54263
time=35901, red=46902, ir=54279
time=35921, red=46913, ir=54275
time=35941, red=46907, ir=54289
time=35961, red=46915, ir=54303
HR=92, SP=81
time=35985, red=46897, ir=54308
time=36001, red=46918, ir=54326
time=36021, red=46911, ir=54334
time=36041, red=46906, ir=54335
time=36061, red=46919, ir=54326
time=36081, red=46904, ir=54334
time=36101, red=46913, ir=54351
time=36121, red=46902, ir=54351
time=36141, red=46911, ir=54348
time=36161, red=46932, ir=54345
time=36181, red=46911, ir=54366
time=36201, red=46920, ir=54377
time=36221, red=46912, ir=54373
time=36241, red=46916, ir=54380
time=36261, red=46915, ir=54382
time=36281, red=46921, ir=54394
time=36301, red=46918, ir=54401
time=36321, red=46901, ir=54402
time=36341, red=46907, ir=54396
time=36360, red=46907, ir=54407
time=36380, red=46904, ir=54414
time=36400, red=46905, ir=54411
time=36420, red=46907, ir=54412
time=36440, red=46915, ir=54421
time=36460, red=46915, ir=54400
time=36480, red=46895, ir=54390
time=36500, red=46887, ir=54384
time=36520, red=46876, ir=54367
time=36540, red=46882, ir=54334
time=36560, red=46847, ir=54319
time=36580, red=46842, ir=54291
time=36600, red=46841, ir=54277
time=36620, red=46843, ir=54264
time=36640, red=46853, ir=54251
time=36660, red=46827, ir=54229
time=36680, red=46829, ir=54207
time=36700, red=46827, ir=54201
time=36720, red=46830, ir=54182
time=36740, red=46828, ir=54173
time=36760, red=46831, ir=54166
time=36780, red=46829, ir=54178
time=36800, red=46831, ir=54158
time=36820, red=46845, ir=54163
time=36840, red=46842, ir=54173
time=36860, red=46856, ir=54186
time=36880, red=46859, ir=54196
time=36900, red=46879, ir=54206
time=36920, red=46868, ir=54223
time=36940, red=46881, ir=54222
time=36960, red=46881, ir=54228
time=36980, red=46879, ir=54230
time=37000, red=46881, ir=54250
time=37020, red=46890, ir=54247
time=37040, red=46889, ir=54248
time=37060, red=46889, ir=54240
time=37080, red=46884, ir=54256
time=37100, red=46887, ir=54242
time=37120, red=46894, ir=54266
time=37140, red=46891, ir=54267
time=37160, red=46898, ir=54261
time=37180, red=46894, ir=54264
time=37200, red=46888, ir=54276
time=37220, red=46896, ir=54286
time=37240, red=46891, ir=54295
time=37260, red=46894, ir=54310
time=37280, red=46877, ir=54315
time=37300, red=46891, ir=54313
time=37320, red=46912, ir=54350
time=37340, red=46902, ir=54348
time=37360, red=46903, ir=54356
time=37380, red=46908, ir=54388
time=37400, red=46911, ir=54388
time=37420, red=46916, ir=54395
time=37440, red=46917, ir=54406
time=37460, red=46918, ir=54412
time=37480, red=46935, ir=54425
time=37500, red=46920, ir=54433
time=37520, red=46916, ir=54440
time=37540, red=46923, ir=54434
time=37560, red=46918, ir=54437
time=37580, red=46918, ir=54448
time=37600, red=46917, ir=54451
time=37620, red=46915, ir=54446
time=37640, red=46918, ir=54454
time=37660, red=46926, ir=54461
time=37680, red=46915, ir=54474
time=37700, red=46924, ir=54465
time=37720, red=46921, ir=54471
time=37740, red=46924, ir=54491
time=37760, red=46902, ir=54483
time=37780, red=46919, ir=54494
time=37800, red=46925, ir=54494
time=37820, red=46917, ir=54507
time=37840, red=46908, ir=54482
time=37860, red=46905, ir=54471
time=37880, red=46894, ir=54451
time=37900, red=46887, ir=54436
time=37920, red=46871, ir=54424
time=37940, red=46868, ir=54407
time=37960, red=46866, ir=54390
HR=92, SP=88
time=37980, red=46865, ir=54382
time=38000, red=46855, ir=54354
time=38020, red=46856, ir=54349
time=38040, red=46848, ir=54322
time=38060, red=46841, ir=54312
time=38080, red=46858, ir=54303
time=38100, red=46855, ir=54286
time=38120, red=46844, ir=54286
time=38140, red=46837, ir=54276
time=38160, red=46850, ir=54283
time=38180, red=46852, ir=54288
time=38200, red=46869, ir=54303
time=38220, red=46862, ir=54303
time=38240, red=46878, ir=54327
time=38260, red=46857, ir=54315
time=38280, red=46890, ir=54340
time=38300, red=46886, ir=54344
time=38320, red=46872, ir=54335
time=38340, red=46905, ir=54344
time=38360, red=46890, ir=54346
time=38380, red=46883, ir=54346
time=38400, red=46876, ir=54347
time=38420, red=46895, ir=54358
time=38440, red=46884, ir=54354
time=38460, red=46900, ir=54357
time=38480, red=46893, ir=54378
time=38500, red=46901, ir=54381
time=38520, red=46892, ir=54387
time=38540, red=46899, ir=54394
time=38560, red=46898, ir=54393
time=38580, red=46898, ir=54390
time=38600, red=46902, ir=54418
time=38620, red=46895, ir=54411
time=38640, red=46910, ir=54412
time=38660, red=46892, ir=54414
time=38680, red=46900, ir=54433
time=38700, red=46904, ir=54427
time=38720, red=46902, ir=54440
time=38740, red=46905, ir=54439
time=38760, red=46903, ir=54444
time=38780, red=46906, ir=54461
time=38800, red=46903, ir=54471
time=38820, red=46914, ir=54469
time=38840, red=46908, ir=54475
time=38860, red=46906, ir=54492
time=38880, red=46917, ir=54507
time=38900, red=46911, ir=54493
time=38920, red=46921, ir=54503
time=38940, red=46909, ir=54501
time=38960, red=46931, ir=54502
time=38980, red=46912, ir=54514
time=39000, red=46924, ir=54503
time=39020, red=46911, ir=54507
time=39040, red=46901, ir=54520
time=39060, red=46905, ir=54513
time=39080, red=46908, ir=54496
time=39100, red=46889, ir=54489
time=39120, red=46889, ir=54471
time=39140, red=46889, ir=54453
time=39160, red=46893, ir=54432
time=39180, red=46852, ir=54408
time=39200, red=46854, ir=54386
time=39220, red=46850, ir=54369
time=39240, red=46840, ir=54346
time=39260, red=46849, ir=54308
time=39280, red=46839, ir=54321
time=39300, red=46857, ir=54302
time=39320, red=46841, ir=54297
time=39340, red=46833, ir=54287
time=39360, red=46844, ir=54296
time=39380, red=46834, ir=54276
time=39400, red=46832, ir=54281
time=39420, red=46854, ir=54271
time=39439, red=46854, ir=54275
time=39459, red=46854, ir=54286
time=39479, red=46865, ir=54289
time=39499, red=46873, ir=54295
time=39519, red=46881, ir=54313
time=39539, red=46876, ir=54296
time=39559, red=46890, ir=54315
time=39579, red=46894, ir=54308
time=39599, red=46884, ir=54319
time=39619, red=46892, ir=54319
time=39639, red=46881, ir=54322
time=39659, red=46886, ir=54317
time=39679, red=46886, ir=54305
time=39699, red=46892, ir=54310
time=39719, red=46872, ir=54310
time=39739, red=46887, ir=54320
time=39759, red=46878, ir=54328
time=39779, red=46886, ir=54314
time=39799, red=46888, ir=54322
time=39819, red=46889, ir=54320
time=39839, red=46879, ir=54330
time=39859, red=46895, ir=54339
time=39879, red=46894, ir=54346
time=39899, red=46897, ir=54348
time=39919, red=46877, ir=54356
time=39939, red=46884, ir=54366
time=39959, red=46908, ir=54372
HR=93, SP=95
time=39984, red=46894, ir=54375
time=39999, red=46900, ir=54393
time=40019, red=46899, ir=54392
time=40039, red=46909, ir=54400
time=40059, red=46908, ir=54397
time=40079, red=46900, ir=54404
time=40099, red=46903, ir=54401
time=40119, red=46915, ir=54409
time=40139, red=46910, ir=54416
time=40159, red=46904, ir=54414
time=40179, red=46916, ir=54423
time=40199, red=46917, ir=54455
time=40219, red=46906, ir=54445
time=40239, red=46916, ir=54453
time=40259, red=46922, ir=54461
time=40279, red=46917, ir=54462
time=40299, red=46908, ir=54472
time=40319, red=46897, ir=54467
time=40339, red=46904, ir=54473
time=40359, red=46896, ir=54478
time=40379, red=46906, ir=54468
time=40399, red=46898, ir=54470
time=40419, red=46893, ir=54458
time=40439, red=46882, ir=54444
time=40459, red=46859, ir=54415
time=40479, red=46865, ir=54403
time=40499, red=46865, ir=54368
time=40519, red=46845, ir=54345
time=40539, red=46830, ir=54315
time=40559, red=46826, ir=54301
time=40579, red=46832, ir=54265
time=40599, red=46824, ir=54241
time=40619, red=46807, ir=54224
time=40639, red=46796, ir=54231
time=40659, red=46796, ir=54213
time=40679, red=46794, ir=54214
time=40699, red=46809, ir=54204
time=40719, red=46819, ir=54217
time=40739, red=46819, ir=54234
time=40759, red=46842, ir=54244
time=40779, red=46845, ir=54251
time=40799, red=46857, ir=54260
time=40819, red=46853, ir=54267
time=40839, red=46863, ir=54266
time=40859, red=46848, ir=54270
time=40879, red=46857, ir=54279
time=40899, red=46854, ir=54310
time=40919, red=46871, ir=54299
time=40939, red=46863, ir=54306
time=40959, red=46876, ir=54316
time=40979, red=46880, ir=54330
time=40999, red=46880, ir=54318
time=41019, red=46873, ir=54327
time=41039, red=46875, ir=54330
time=41059, red=46871, ir=54325
time=41079, red=46878, ir=54329
time=41099, red=46882, ir=54330
time=41119, red=46862, ir=54327
time=41139, red=46877, ir=54328
time=41159, red=46863, ir=54334
time=41179, red=46883, ir=54340
time=41199, red=46886, ir=54356
time=41219, red=46876, ir=54357
time=41239, red=46885, ir=54378
time=41259, red=46887, ir=54376
time=41279, red=46875, ir=54370
time=41299, red=46896, ir=54376
time=41319, red=46873, ir=54389
time=41339, red=46893, ir=54392
time=41359, red=46897, ir=54389
time=41379, red=46883, ir=54414
time=41399, red=46891, ir=54397
time=41419, red=46895, ir=54398
time=41439, red=46893, ir=54409
time=41459, red=46893, ir=54405
time=41479, red=46887, ir=54412
time=41499, red=46893, ir=54442
time=41519, red=46889, ir=54428
time=41539, red=46899, ir=54414
time=41559, red=46877, ir=54442
time=41579, red=46889, ir=54427
time=41599, red=46885, ir=54424
time=41619, red=46885, ir=54431
time=41639, red=46883, ir=54430
time=41659, red=46888, ir=54428
time=41679, red=46874, ir=54418
time=41699, red=46865, ir=54421
time=41719, red=46870, ir=54409
time=41739, red=46862, ir=54368
time=41759, red=46856, ir=54364
time=41779, red=46848, ir=54344
time=41799, red=46834, ir=54327
time=41819, red=46833, ir=54299
time=41839, red=46821, ir=54291
time=41859, red=46816, ir=54259
time=41879, red=46819, ir=54250
time=41899, red=46816, ir=54227
time=41919, red=46800, ir=54224
time=41939, red=46817, ir=54223
time=41959, red=46814, ir=54209
HR=90, SP=96
time=41979, red=46821, ir=54202
time=41999, red=46821, ir=54198
time=42019, red=46815, ir=54205
time=42039, red=46824, ir=54217
time=42059, red=46839, ir=54214
time=42079, red=46818, ir=54222
time=42099, red=46835, ir=54239
time=42119, red=46846, ir=54238
time=42139, red=46849, ir=54248
time=42159, red=46852, ir=54252
time=42179, red=46858, ir=54250
time=42199, red=46853, ir=54275
time=42219, red=46867, ir=54274
time=42239, red=46865, ir=54273
time=42259, red=46850, ir=54269
time=42279, red=46865, ir=54280
time=42299, red=46856, ir=54278
time=42319, red=46867, ir=54271
time=42339, red=46874, ir=54271
time=42359, red=46863, ir=54278
time=42379, red=46869, ir=54270
time=42399, red=46863, ir=54274
time=42418, red=46868, ir=54278
time=42438, red=46869, ir=54284
time=42458, red=46875, ir=54289
time=42478, red=46880, ir=54295
time=42498, red=46873, ir=54301
time=42518, red=46867, ir=54303
time=42538, red=46875, ir=54291
time=42558, red=46862, ir=54313
time=42578, red=46869, ir=54314
time=42598, red=46872, ir=54326
time=42618, red=46865, ir=54343
time=42638, red=46879, ir=54335
time=42658, red=46874, ir=54345
time=42678, red=46867, ir=54360
time=42698, red=46883, ir=54352
time=42718, red=46877, ir=54365
time=42738, red=46877, ir=54372
time=42758, red=46881, ir=54383
time=42778, red=46876, ir=54377
time=42798, red=46891, ir=54387
time=42818, red=46875, ir=54394
time=42838, red=46886, ir=54408
time=42858, red=46890, ir=54410
time=42878, red=46879, ir=54414
time=42898, red=46874, ir=54413
time=42918, red=46871, ir=54408
time=42938, red=46863, ir=54415
time=42958, red=46869, ir=54405
time=42978, red=46868, ir=54397
time=42998, red=46858, ir=54379
time=43018, red=46846, ir=54356
time=43038, red=46842, ir=54340
time=43058, red=46812, ir=54312
time=43078, red=46847, ir=54303
time=43098, red=46821, ir=54286
time=43118, red=46828, ir=54265
time=43138, red=46815, ir=54255
time=43158, red=46807, ir=54234
time=43178, red=46808, ir=54213
time=43198, red=46808, ir=54205
time=43218, red=46805, ir=54196
time=43238, red=46813, ir=54189
time=43258, red=46801, ir=54182
time=43278, red=46812, ir=54172
time=43298, red=46821, ir=54183
time=43318, red=46813, ir=54183
time=43338, red=46819, ir=54185
time=43358, red=46831, ir=54202
time=43378, red=46835, ir=54218
time=43398, red=46851, ir=54203
time=43418, red=46854, ir=54226
time=43438, red=46844, ir=54233
time=43458, red=46845, ir=54235
time=43478, red=46858, ir=54244
time=43498, red=46872, ir=54245
time=43518, red=46870, ir=54247
time=43538, red=46856, ir=54253
time=43558, red=46861, ir=54254
time=43578, red=46861, ir=54249
time=43598, red=46864, ir=54256
time=43618, red=46866, ir=54261
time=43638, red=46849, ir=54253
time=43658, red=46855, ir=54269
time=43678, red=46866, ir=54275
time=43698, red=46848, ir=54255
time=43718, red=46870, ir=54281
time=43738, red=46869, ir=54297
time=43758, red=46873, ir=54284
time=43778, red=46860, ir=54301
time=43798, red=46876, ir=54302
time=43818, red=46883, ir=54295
time=43838, red=46859, ir=54314
time=43858, red=46884, ir=54321
time=43878, red=46876, ir=54316
time=43898, red=46873, ir=54329
time=43918, red=46875, ir=54327
time=43938, red=46871, ir=54337
time=43958, red=46886, ir=54338
HR=93, SP=95
time=43983, red=46882, ir=54359
time=43998, red=46868, ir=54357
time=44018, red=46879, ir=54356
time=44038, red=46882, ir=54378
time=44058, red=46883, ir=54364
time=44078, red=46885, ir=54377
time=44098, red=46862, ir=54376
time=44118, red=46871, ir=54379
time=44138, red=46886, ir=54396
time=44158, red=46875, ir=54386
time=44178, red=46877, ir=54401
time=44198, red=46871, ir=54384
time=44218, red=46883, ir=54402
time=44238, red=46885, ir=54403
time=44258, red=46862, ir=54378
time=44278, red=46867, ir=54369
time=44298, red=46859, ir=54339
time=44318, red=46844, ir=54329
time=44338, red=46835, ir=54311
time=44358, red=46828, ir=54292
time=44378, red=46821, ir=54270
time=44398, red=46809, ir=54238
time=44418, red=46796, ir=54228
time=44438, red=46801, ir=54232
time=44458, red=46804, ir=54199
time=44478, red=46802, ir=54186
time=44498, red=46797, ir=54179
time=44518, red=46811, ir=54162
time=44538, red=46803, ir=54169
time=44558, red=46821, ir=54163
time=44578, red=46807, ir=54155
time=44598, red=46827, ir=54161
time=44618, red=46827, ir=54162
time=44638, red=46822, ir=54166
time=44658, red=46839, ir=54168
time=44678, red=46828, ir=54164
time=44698, red=46848, ir=54182
time=44718, red=46834, ir=54196
time=44738, red=46853, ir=54200
time=44758, red=46855, ir=54202
time=44778, red=46851, ir=54208
time=44798, red=46873, ir=54229
time=44818, red=46863, ir=54219
time=44838, red=46870, ir=54234
time=44858, red=46861, ir=54241
time=44878, red=46857, ir=54247
time=44898, red=46867, ir=54260
time=44918, red=46863, ir=54261
time=44938, red=46871, ir=54257
time=44958, red=46876, ir=54271
time=44978, red=46865, ir=54269
time=44998, red=46869, ir=54264
time=45018, red=46876, ir=54283
time=45038, red=46867, ir=54272
time=45058, red=46880, ir=54275
time=45078, red=46869, ir=54288
time=45098, red=46867, ir=54301
time=45118, red=46882, ir=54288
time=45138, red=46889, ir=54299
time=45158, red=46884, ir=54303
time=45178, red=46876, ir=54318
time=45198, red=46879, ir=54310
time=45218, red=46876, ir=54324
time=45238, red=46889, ir=54322
time=45258, red=46883, ir=54336
time=45278, red=46874, ir=54332
time=45298, red=46871, ir=54348
time=45318, red=46873, ir=54358
time=45338, red=46871, ir=54356
time=45358, red=46883, ir=54349
time=45377, red=46879, ir=54365
time=45397, red=46867, ir=54373
time=45417, red=46875, ir=54380
time=45437, red=46879, ir=54367
time=45457, red=46874, ir=54385
time=45477, red=46876, ir=54377
time=45497, red=46863, ir=54383
time=45517, red=46860, ir=54372
time=45537, red=46876, ir=54378
time=45557, red=46866, ir=54371
time=45577, red=46875, ir=54377
time=45597, red=46856, ir=54337
time=45617, red=46831, ir=54316
time=45637, red=46835, ir=54302
time=45657, red=46814, ir=54277
time=45677, red=46818, ir=54262
time=45697, red=46825, ir=54232
time=45717, red=46818, ir=54207
time=45737, red=46796, ir=54212
time=45757, red=46806, ir=54190
time=45777, red=46801, ir=54173
time=45797, red=46801, ir=54167
time=45817, red=46808, ir=54145
time=45837, red=46804, ir=54146
time=45857, red=46804, ir=54133
time=45877, red=46813, ir=54135
time=45897, red=46818, ir=54145
time=45917, red=46813, ir=54139
time=45937, red=46828, ir=54156
time=45957, red=46831, ir=54158
HR=90, SP=97
time=45977, red=46843, ir=54173
time=45997, red=46828, ir=54171
time=46017, red=46844, ir=54173
time=46037, red=46860, ir=54176
time=46057, red=46842, ir=54176
time=46077, red=46846, ir=54187
time=46097, red=46862, ir=54201
time=46117, red=46856, ir=54210
time=46137, red=46850, ir=54211
time=46157, red=46867, ir=54204
time=46177, red=46863, ir=54210
time=46197, red=46849, ir=54218
time=46217, red=46854, ir=54211
time=46237, red=46867, ir=54205
time=46257, red=46870, ir=54218
time=46277, red=46870, ir=54218
time=46297, red=46867, ir=54228
time=46317, red=46878, ir=54243
time=46337, red=46881, ir=54231
time=46357, red=46868, ir=54252
time=46377, red=46882, ir=54245
time=46397, red=46873, ir=54251
time=46417, red=46874, ir=54256
time=46437, red=46867, ir=54254
time=46457, red=46865, ir=54270
time=46477, red=46890, ir=54268
time=46497, red=46875, ir=54299
time=46517, red=46879, ir=54294
time=46537, red=46868, ir=54299
time=46557, red=46889, ir=54301
time=46577, red=46879, ir=54311
time=46597, red=46884, ir=54299
time=46617, red=46875, ir=54306
time=46637, red=46867, ir=54304
time=46657, red=46881, ir=54317
time=46677, red=46861, ir=54319
time=46697, red=46877, ir=54321
time=46717, red=46878, ir=54324
time=46737, red=46871, ir=54334
