AT4T7P1 - Bandit - (7,10)
























Press any key to start conversion
time=1, red=40878, ir=58147
time=8, red=40866, ir=74370
time=18, red=40866, ir=90938
time=28, red=40855, ir=94278
time=38, red=40858, ir=94346
time=48, red=40862, ir=94388
time=58, red=40877, ir=94417
time=68, red=40896, ir=94429
time=78, red=40898, ir=94489
time=88, red=40929, ir=94562
time=98, red=40953, ir=94644
time=108, red=40943, ir=94688
time=118, red=40955, ir=94696
time=128, red=40947, ir=94687
time=138, red=40924, ir=94645
time=148, red=40923, ir=94601
time=158, red=40910, ir=94541
time=168, red=40897, ir=94547
time=178, red=40899, ir=94534
time=188, red=40891, ir=94511
time=198, red=40890, ir=94464
time=208, red=40877, ir=94420
time=218, red=40870, ir=94421
time=228, red=40878, ir=94414
time=238, red=40865, ir=94433
time=248, red=40863, ir=94450
time=258, red=40855, ir=94474
time=268, red=40844, ir=94508
time=278, red=40834, ir=94554
time=288, red=40822, ir=94609
time=298, red=40817, ir=94666
time=308, red=40805, ir=94757
time=318, red=0, ir=8
time=328, red=4, ir=0
time=338, red=0, ir=0
time=348, red=2, ir=3
time=358, red=1, ir=0
time=368, red=0, ir=0
time=378, red=9, ir=0
time=388, red=7, ir=1
time=398, red=12, ir=1
time=408, red=6, ir=3
time=418, red=0, ir=0
time=428, red=6, ir=1
time=438, red=2, ir=5
time=448, red=4, ir=18
time=458, red=0, ir=13
time=468, red=4, ir=0
time=478, red=4, ir=16
time=488, red=10, ir=10
time=498, red=1, ir=0
time=508, red=3, ir=15
time=518, red=4, ir=6
time=528, red=7, ir=3
time=538, red=2, ir=3
time=548, red=0, ir=8
time=558, red=2, ir=9
time=568, red=0, ir=5
time=578, red=5, ir=6
time=588, red=0, ir=0
time=598, red=0, ir=3
time=608, red=1, ir=12
time=618, red=6, ir=7
time=628, red=7, ir=4
time=638, red=13, ir=6
time=648, red=12, ir=5
time=658, red=0, ir=0
time=668, red=9, ir=15
time=678, red=0, ir=0
time=688, red=0, ir=0
time=698, red=10, ir=6
time=708, red=10, ir=0
time=718, red=0, ir=0
time=728, red=4, ir=1
time=738, red=0, ir=10
time=748, red=14, ir=8
time=758, red=5, ir=17
time=768, red=7, ir=4
time=778, red=18, ir=2
time=788, red=6, ir=2
time=798, red=6, ir=0
time=808, red=4, ir=6
time=818, red=13, ir=0
time=828, red=0, ir=7
time=838, red=8, ir=0
time=848, red=11, ir=5
time=858, red=8, ir=3
time=868, red=4, ir=14
time=878, red=0, ir=15
time=888, red=0, ir=9
time=898, red=0, ir=0
time=908, red=4, ir=5
time=918, red=12, ir=3
time=928, red=1, ir=7
time=938, red=0, ir=0
time=948, red=0, ir=15
time=958, red=6, ir=0
time=967, red=2, ir=3
time=977, red=5, ir=5
