AT4T8P1 - Bandit - (10,7)
























Press any key to start conversion
time=1, red=9, ir=9
time=7, red=1, ir=8
time=17, red=0, ir=1
time=27, red=0, ir=3
time=37, red=12, ir=4
time=47, red=0, ir=7
time=57, red=14, ir=0
time=67, red=0, ir=2
time=77, red=0, ir=0
time=87, red=0, ir=0
time=97, red=7, ir=1
time=107, red=7, ir=0
time=117, red=5, ir=4
time=127, red=0, ir=7
time=137, red=0, ir=0
time=147, red=0, ir=2
time=157, red=0, ir=9
time=167, red=6, ir=7
time=177, red=0, ir=0
time=187, red=8, ir=11
time=197, red=0, ir=10
time=207, red=0, ir=13
time=217, red=0, ir=14
time=227, red=5, ir=0
time=237, red=0, ir=5
time=247, red=58095, ir=58107
time=257, red=74515, ir=74653
time=267, red=90930, ir=82269
time=277, red=105013, ir=81839
time=287, red=104731, ir=81822
time=297, red=104801, ir=81904
time=307, red=104821, ir=81903
time=317, red=0, ir=10
time=327, red=7, ir=3
time=337, red=12, ir=4
time=347, red=0, ir=9
time=357, red=2, ir=4
time=367, red=0, ir=15
time=377, red=11, ir=0
time=387, red=4, ir=0
time=397, red=0, ir=0
time=407, red=0, ir=0
time=417, red=0, ir=3
time=427, red=11, ir=3
time=437, red=1, ir=0
time=447, red=0, ir=7
time=457, red=9, ir=0
time=467, red=4, ir=0
time=477, red=0, ir=9
time=487, red=5, ir=19
time=497, red=6, ir=2
time=507, red=6, ir=4
time=517, red=5, ir=11
time=527, red=0, ir=15
time=537, red=12, ir=2
time=547, red=15, ir=0
time=557, red=2, ir=2
time=567, red=5, ir=9
time=577, red=6, ir=0
time=587, red=0, ir=11
time=597, red=6, ir=8
time=606, red=5, ir=0
time=616, red=5, ir=0
time=626, red=3, ir=4
time=636, red=6, ir=5
time=646, red=9, ir=0
time=656, red=14, ir=0
time=666, red=7, ir=0
time=676, red=4, ir=0
time=686, red=0, ir=6
time=696, red=2, ir=10
time=706, red=2, ir=8
time=716, red=10, ir=1
time=726, red=16, ir=8
time=736, red=1, ir=0
time=746, red=0, ir=4
time=756, red=0, ir=0
time=766, red=3, ir=7
time=776, red=7, ir=4
time=786, red=2, ir=0
time=796, red=3, ir=0
time=806, red=5, ir=6
time=816, red=23, ir=8
time=826, red=4, ir=12
time=836, red=7, ir=0
time=846, red=3, ir=0
time=856, red=0, ir=10
time=866, red=2, ir=9
time=876, red=3, ir=7
time=886, red=16, ir=9
time=896, red=5, ir=3
time=906, red=0, ir=6
time=916, red=3, ir=0
time=926, red=0, ir=2
time=936, red=20, ir=0
time=946, red=2, ir=6
time=956, red=11, ir=17
time=966, red=3, ir=0
time=976, red=0, ir=3
time=986, red=2, ir=14
time=996, red=11, ir=0
time=1006, red=0, ir=0
time=1016, red=8, ir=15
time=1026, red=11, ir=15
time=1036, red=6, ir=4
time=1046, red=0, ir=0
time=1056, red=7, ir=0
time=1066, red=0, ir=2
time=1076, red=9, ir=19
time=1086, red=6, ir=11
time=1096, red=3, ir=10
time=1106, red=0, ir=10
time=1116, red=0, ir=9
time=1126, red=4, ir=5
time=1136, red=6, ir=0
time=1146, red=5, ir=8
time=1156, red=1, ir=0
time=1166, red=4, ir=0
time=1176, red=6, ir=3
time=1186, red=10, ir=0
time=1196, red=1, ir=7
time=1206, red=13, ir=8
time=1216, red=8, ir=7
