39594, 47655, 55053
39614, 47673, 55064
39634, 47657, 55058
39654, 47647, 55041
39674, red=47665, 55073
39694, red=47664, 55064
39714, red=47667, 55092
39734, red=47675, 55108
39754, red=47666, 55104
39774, red=47672, 55102
39794, red=47673, 55116
39814, red=47678, 55115
39834, red=47684, 55136
39854, red=47684, 55139
39874, red=47673, 55158
39894, red=47690, 55162
39914, red=47687, 55182
39934, red=47669, 55169
39954, red=47683, 55176
39979, red=47672, 55186
39994, red=47666, 55184
40014, red=47682, 55189
40034, red=47682, 55195
40054, red=47667, 55187
40074, red=47673, 55181
40094, red=47649, 55158
40114, red=47649, 55133
40134, red=47626, 55122
40154, red=47623, 55095
40174, red=47628, 55076
40194, red=47626, 55058
40214, red=47624, 55005
40234, red=47593, 54980
40254, red=47599, 54944
40274, red=47584, 54940
40294, red=47593, 54921
40314, red=47611, 54905
40334, red=47614, 54901
40354, red=47618, 54909
40374, red=47639, 54904
40394, red=47614, 54894
40414, red=47646, 54887
40434, red=47643, 54887
40454, red=47638, 54885
40474, red=47653, 54911
40494, red=47664, 54922
40514, red=47681, 54927
40534, red=47689, 54943
40554, red=47694, 54959
40574, red=47704, 54973
40594, red=47701, 55005
40614, red=47701, 55018
40634, red=47714, 55030
40654, red=47716, 55014
40674, red=47701, 55030
40694, red=47704, 55011
40714, red=47705, 55001
40734, red=47718, 55033
40754, red=47699, 55040
40774, red=47714, 55040
40794, red=47717, 55042
40814, red=47716, 55055
40834, red=47726, 55074
40854, red=47739, 55099
40874, red=47742, 55111
40894, red=47751, 55124
40914, red=47735, 55131
40934, red=47739, 55135
40954, red=47749, 55151
40974, red=47746, 55148
40994, red=47758, 55175
41014, red=47750, 55180
41034, red=47744, 55195
41054, red=47748, 55217
41074, red=47754, 55217
41094, red=47768, 55238
41114, red=47761, 55246
41134, red=47766, 55283
41154, red=47755, 55273
41174, red=47757, 55271
41194, red=47758, 55275
41214, red=47747, 55265
41234, red=47745, 55276
41254, red=47763, 55301
41274, red=47768, 55331
41294, red=47757, 55341
41314, red=47763, 55347
41334, red=47768, 55333
41354, red=47732, 55338
41374, red=47764, 55366
41394, red=47763, 55352
41414, red=47757, 55383
41434, red=47763, 55377
41454, red=47753, 55380
41474, red=47784, 55396
41494, red=47772, 55421
41514, red=47777, 55415
41534, red=47761, 55437
41554, red=47765, 55423
41574, red=47765, 55432
41594, red=47751, 55435
41614, red=47755, 55433
41634, red=47732, 55426
41654, red=47763, 55441
41674, red=47761, 55448
41694, red=47748, 55450
41714, red=47742, 55445
41734, red=47740, 55435
41754, red=47729, 55393
41774, red=47695, 55356
41794, red=47687, 55322
41814, red=47662, 55288
41834, red=47666, 55263
41854, red=47648, 55232
41874, red=47647, 55211
41894, red=47654, 55208
41914, red=47638, 55198
41934, red=47648, 55169
41954, red=47632, 55162
41974, red=47649, 55161
41994, red=47657, 55170
42014, red=47666, 55156
42034, red=47666, 55141
42054, red=47667, 55136
42074, red=47654, 55121
42094, red=47659, 55117
42114, red=47661, 55132
42134, red=47683, 55156
42154, red=47712, 55171
42174, red=47707, 55179
42194, red=47718, 55198
42214, red=47731, 55219
42234, red=47765, 55251
42254, red=47765, 55263
42274, red=47765, 55294
42294, red=47776, 55308
42314, red=47765, 55302
42334, red=47779, 55308
42354, red=47764, 55307
42374, red=47780, 55300
42394, red=47765, 55287
42414, red=47771, 55277
42434, red=47793, 55327
42454, red=47795, 55348
42473, red=47788, 55360
42493, red=47802, 55352
42513, red=47791, 55319
42533, red=47781, 55302
42553, red=47753, 55259
42573, red=47749, 55247
42593, red=47755, 55281
42613, red=47777, 55314
42633, red=47782, 55342
42653, red=47795, 55377
42673, red=47800, 55404
42693, red=47792, 55409
42713, red=47797, 55411
42733, red=47804, 55423
42753, red=47798, 55443
42773, red=47784, 55447
42793, red=47798, 55463
42813, red=47799, 55492
