AT4T28P1 - Pris - 5_5_411_50, tongue movement approx 45k-55k ms
time=48466, red=55887, ir=58244
time=48486, red=47814, ir=63201
time=48506, red=39981, ir=55763
time=48526, red=36639, ir=59430
time=48546, red=37248, ir=59204
time=48566, red=32449, ir=55917
time=48586, red=35976, ir=59346
time=48606, red=36739, ir=59670
time=48626, red=45860, ir=58874
time=48646, red=54299, ir=63727
time=48666, red=55487, ir=62517
time=48686, red=54831, ir=62104
time=48706, red=53784, ir=61577
time=48726, red=53440, ir=60848
time=48746, red=52055, ir=59784
time=48766, red=30967, ir=55512
time=48786, red=25525, ir=54066
time=48806, red=23815, ir=53259
time=48826, red=25465, ir=53466
time=48846, red=46589, ir=59988
time=48866, red=57032, ir=63394
time=48886, red=58727, ir=57201
time=48906, red=53579, ir=55843
time=48926, red=55078, ir=56759
time=48946, red=53434, ir=56672
time=48967, red=53222, ir=60412
time=48987, red=54432, ir=59067
time=49007, red=53009, ir=57952
time=49027, red=54207, ir=58724
time=49047, red=53294, ir=57253
time=49067, red=52825, ir=58271
time=49087, red=51068, ir=58371
time=49107, red=49844, ir=57552
time=49127, red=49817, ir=58687
time=49147, red=49070, ir=59141
time=49167, red=51758, ir=61237
time=49187, red=51246, ir=61578
time=49207, red=45409, ir=60056
time=49227, red=44807, ir=60004
time=49247, red=34842, ir=55634
time=49267, red=36916, ir=56039
time=49287, red=36262, ir=50089
time=49307, red=24925, ir=33029
time=49327, red=16832, ir=20897
time=49347, red=12713, ir=14787
time=49367, red=10833, ir=12330
time=49387, red=9949, ir=11646
time=49407, red=13396, ir=17917
time=49427, red=28528, ir=49992
time=49447, red=31432, ir=55504
time=49467, red=37010, ir=58461
time=49487, red=33828, ir=57375
time=49507, red=32436, ir=58076
time=49527, red=30976, ir=59030
time=49547, red=34918, ir=59180
time=49567, red=39602, ir=61350
time=49587, red=42493, ir=59935
time=49607, red=44314, ir=60211
time=49627, red=46503, ir=62702
time=49647, red=54854, ir=63671
time=49667, red=52389, ir=63164
time=49687, red=52530, ir=61051
time=49707, red=52422, ir=61150
time=49727, red=53673, ir=60081
time=49747, red=53161, ir=59724
time=49767, red=54385, ir=61032
time=49787, red=50988, ir=59274
time=49807, red=50282, ir=59617
time=49827, red=48293, ir=58781
time=49847, red=48045, ir=58553
time=49868, red=51575, ir=61231
time=49888, red=49972, ir=58648
time=49908, red=49373, ir=53999
time=49928, red=53112, ir=54433
time=49948, red=53249, ir=56275
time=49968, red=52082, ir=54819
time=49988, red=52626, ir=59159
time=50008, red=54058, ir=60300
time=50028, red=52678, ir=58251
HR=300, SP=63
time=50048, red=53077, ir=57714
time=50068, red=52481, ir=57764
time=50088, red=52336, ir=57592
time=50108, red=51988, ir=58010
time=50128, red=50269, ir=57367
time=50148, red=50480, ir=57299
time=50168, red=50558, ir=57372
time=50188, red=50640, ir=57470
time=50208, red=50633, ir=57562
time=50228, red=50637, ir=57716
time=50248, red=50695, ir=57822
time=50268, red=50802, ir=57962
time=50288, red=50865, ir=58028
time=50308, red=50882, ir=58098
time=50328, red=50926, ir=58133
time=50348, red=50984, ir=58205
time=50368, red=51084, ir=58295
time=50388, red=50936, ir=58385
time=50408, red=51332, ir=58989
time=50428, red=48147, ir=58335
time=50448, red=48075, ir=57780
time=50468, red=51578, ir=60244
time=50488, red=51399, ir=61379
time=50508, red=49497, ir=61187
time=50528, red=48635, ir=59381
time=50548, red=48345, ir=57960
time=50568, red=52896, ir=61990
time=50588, red=50613, ir=64040
time=50608, red=55232, ir=64419
time=50628, red=53928, ir=64197
time=50648, red=53616, ir=63870
time=50668, red=53598, ir=63512
time=50688, red=53298, ir=62802
time=50708, red=52694, ir=62857
time=50728, red=49385, ir=59837
time=50748, red=52149, ir=60246
time=50769, red=48407, ir=57446
time=50789, red=47229, ir=58999
time=50809, red=50702, ir=63210
time=50829, red=48832, ir=60955
time=50849, red=53350, ir=62689
time=50869, red=55166, ir=63292
time=50889, red=56567, ir=64007
time=50909, red=58268, ir=66265
time=50929, red=56907, ir=64577
time=50949, red=54816, ir=64879
time=50969, red=55821, ir=65917
time=50989, red=51180, ir=62290
time=51009, red=51390, ir=58400
time=51029, red=51953, ir=57905
time=51049, red=55670, ir=61812
time=51069, red=50281, ir=53348
time=51089, red=46487, ir=50782
time=51109, red=46213, ir=52054
time=51129, red=52033, ir=58743
time=51149, red=53463, ir=58625
time=51169, red=60735, ir=65818
time=51189, red=53335, ir=55255
time=51209, red=53288, ir=54227
time=51229, red=51520, ir=53118
time=51249, red=52601, ir=59298
time=51269, red=53732, ir=61167
time=51289, red=52058, ir=59136
time=51309, red=51552, ir=58459
time=51329, red=49135, ir=57048
time=51349, red=47422, ir=55912
time=51369, red=44802, ir=56301
time=51389, red=46356, ir=56305
time=51409, red=47210, ir=57642
time=51429, red=43802, ir=57911
time=51449, red=43413, ir=57756
time=51469, red=36134, ir=55292
time=51489, red=43662, ir=58524
time=51509, red=39072, ir=57292
time=51529, red=28396, ir=47404
time=51549, red=32009, ir=41929
time=51569, red=24781, ir=31550
time=51589, red=24557, ir=30702
time=51609, red=25193, ir=27660
time=51629, red=23976, ir=25897
time=51649, red=22825, ir=26083
time=51670, red=36165, ir=45095
time=51690, red=45660, ir=58202
time=51710, red=41653, ir=58491
time=51730, red=36078, ir=56354
time=51750, red=32091, ir=56847
time=51770, red=42108, ir=58530
time=51790, red=35782, ir=56604
time=51810, red=42806, ir=58806
time=51830, red=44503, ir=55022
time=51850, red=54649, ir=62826
time=51870, red=50839, ir=62375
time=51890, red=49512, ir=57852
time=51910, red=52300, ir=60688
time=51930, red=52067, ir=59870
time=51950, red=52792, ir=59723
time=51970, red=51963, ir=58862
time=51990, red=52920, ir=60968
time=52010, red=53493, ir=61614
time=52030, red=53315, ir=61326
HR=250, SP=63
time=52057, red=52872, ir=60782
time=52070, red=53566, ir=59861
time=52090, red=54225, ir=57170
time=52110, red=55761, ir=57276
time=52130, red=54980, ir=55951
time=52150, red=53363, ir=57039
time=52170, red=53606, ir=56313
time=52190, red=52163, ir=56337
time=52210, red=54281, ir=60035
time=52230, red=53403, ir=58699
time=52250, red=53678, ir=58540
time=52270, red=53643, ir=59138
time=52290, red=52764, ir=58806
time=52310, red=52220, ir=58196
time=52330, red=51554, ir=57867
time=52350, red=51183, ir=57774
time=52370, red=51130, ir=57829
time=52390, red=51156, ir=57878
time=52410, red=51178, ir=57951
time=52430, red=51219, ir=58037
time=52450, red=51222, ir=58025
time=52470, red=51205, ir=57991
time=52490, red=51174, ir=57983
time=52510, red=51154, ir=57973
time=52530, red=51120, ir=57905
time=52550, red=51082, ir=57829
time=52570, red=51042, ir=57796
time=52591, red=51065, ir=57765
time=52611, red=51097, ir=57769
time=52631, red=51108, ir=57745
time=52651, red=51110, ir=57708
time=52671, red=51120, ir=57711
time=52691, red=51128, ir=57690
time=52711, red=51113, ir=57672
time=52731, red=51135, ir=57743
time=52751, red=51112, ir=57762
time=52771, red=51079, ir=57758
time=52791, red=51053, ir=57753
time=52811, red=51001, ir=57706
time=52831, red=50958, ir=57677
time=52851, red=50957, ir=57732
time=52871, red=50964, ir=57792
time=52891, red=50969, ir=57805
time=52911, red=50952, ir=57826
time=52931, red=50939, ir=57847
time=52951, red=50938, ir=57851
time=52971, red=50932, ir=57852
time=52991, red=50931, ir=57876
time=53011, red=50925, ir=57864
time=53031, red=50891, ir=57813
time=53051, red=50874, ir=57784
time=53071, red=50860, ir=57789
time=53091, red=50880, ir=57801
time=53111, red=50881, ir=57819
time=53131, red=50875, ir=57831
time=53151, red=50850, ir=57797
time=53171, red=50830, ir=57793
time=53191, red=50831, ir=57807
time=53211, red=50844, ir=57810
time=53231, red=50806, ir=57792
time=53251, red=50780, ir=57734
time=53271, red=50761, ir=57742
time=53291, red=50787, ir=57785
time=53311, red=50791, ir=57832
time=53331, red=50826, ir=57907
time=53351, red=50831, ir=57897
time=53371, red=50825, ir=57933
time=53391, red=50824, ir=57960
time=53411, red=50840, ir=57994
time=53431, red=50893, ir=58090
time=53451, red=50934, ir=58133
time=53471, red=50871, ir=58010
time=53492, red=49981, ir=57677
time=53512, red=48539, ir=56608
time=53532, red=48300, ir=59399
time=53552, red=46950, ir=58938
time=53572, red=43313, ir=56120
time=53592, red=42373, ir=54989
time=53612, red=40242, ir=55539
time=53632, red=35542, ir=54275
time=53652, red=34955, ir=50458
time=53672, red=32185, ir=45281
time=53692, red=27621, ir=34970
time=53712, red=17411, ir=24355
time=53732, red=15586, ir=22079
time=53752, red=18087, ir=27942
time=53772, red=26969, ir=52538
time=53792, red=31843, ir=55741
time=53812, red=35362, ir=56157
time=53832, red=35568, ir=54864
time=53852, red=35471, ir=53586
time=53872, red=33128, ir=54772
time=53892, red=36823, ir=56657
time=53912, red=38691, ir=57519
time=53932, red=38057, ir=58948
time=53952, red=39255, ir=58333
time=53972, red=40863, ir=57592
time=53992, red=43529, ir=57826
time=54012, red=44675, ir=57659
time=54032, red=46719, ir=56943
HR=206, SP=-1
time=54052, red=49464, ir=59361
time=54072, red=49746, ir=58927
time=54092, red=50026, ir=61690
time=54112, red=53641, ir=62274
time=54132, red=54391, ir=62411
time=54152, red=53824, ir=61684
time=54172, red=53885, ir=61902
time=54192, red=56450, ir=64140
time=54212, red=56450, ir=63620
time=54232, red=56458, ir=63399
time=54252, red=56351, ir=63026
time=54272, red=56143, ir=62844
time=54292, red=56294, ir=62940
time=54312, red=56464, ir=63369
time=54332, red=57220, ir=63944
time=54352, red=56230, ir=62604
time=54372, red=55464, ir=61912
time=54393, red=54772, ir=61337
time=54413, red=55356, ir=61140
time=54433, red=52730, ir=60288
time=54453, red=49559, ir=55544
time=54473, red=49863, ir=56952
time=54493, red=45728, ir=55088
time=54513, red=43112, ir=55598
time=54533, red=42066, ir=55071
time=54553, red=41982, ir=56070
time=54573, red=40059, ir=56639
time=54593, red=37700, ir=57131
time=54613, red=34696, ir=56823
time=54633, red=38911, ir=56168
time=54653, red=36481, ir=52834
time=54673, red=30035, ir=45137
time=54693, red=31028, ir=38980
time=54713, red=27256, ir=32976
time=54733, red=23473, ir=30135
time=54753, red=21053, ir=30268
time=54773, red=17429, ir=27367
time=54793, red=15020, ir=22653
time=54813, red=15185, ir=21905
time=54833, red=16950, ir=24068
time=54853, red=21583, ir=28661
time=54873, red=33105, ir=43952
time=54893, red=40285, ir=52210
time=54913, red=41100, ir=50788
time=54933, red=34870, ir=46708
time=54953, red=39949, ir=48763
time=54973, red=40022, ir=56694
time=54993, red=39175, ir=58089
time=55013, red=35637, ir=56255
time=55033, red=42714, ir=59089
time=55053, red=49833, ir=61456
time=55073, red=52903, ir=62020
time=55093, red=55213, ir=62019
time=55113, red=58232, ir=60969
time=55133, red=55706, ir=60443
time=55153, red=53751, ir=58287
time=55173, red=54223, ir=59445
time=55193, red=53854, ir=59952
time=55213, red=53734, ir=60067
time=55233, red=53645, ir=59991
time=55253, red=53496, ir=59887
time=55273, red=53632, ir=60018
time=55293, red=54518, ir=60562
time=55314, red=56535, ir=61254
time=55334, red=56110, ir=61134
time=55354, red=54605, ir=60785
time=55374, red=53671, ir=57229
time=55394, red=53383, ir=57124
time=55414, red=53250, ir=58079
time=55434, red=52769, ir=59397
time=55454, red=54286, ir=60269
time=55474, red=53074, ir=59238
time=55494, red=52607, ir=58553
time=55514, red=52106, ir=57986
time=55534, red=51879, ir=57806
time=55554, red=51580, ir=57674
time=55574, red=51408, ir=57649
time=55594, red=51411, ir=57647
time=55614, red=51377, ir=57744
time=55634, red=51313, ir=57772
time=55654, red=51299, ir=57810
time=55674, red=51298, ir=57863
time=55694, red=51309, ir=57875
time=55714, red=51306, ir=57917
time=55734, red=51319, ir=57888
time=55754, red=51285, ir=57864
time=55774, red=51264, ir=57841
time=55794, red=51245, ir=57843
time=55814, red=51240, ir=57869
time=55834, red=51253, ir=57937
time=55854, red=51248, ir=57930
time=55874, red=51251, ir=57922
time=55894, red=51272, ir=57966
time=55914, red=51263, ir=57986
time=55934, red=51254, ir=57985
time=55954, red=51218, ir=57965
time=55974, red=51209, ir=57961
time=55994, red=51227, ir=58000
time=56014, red=51185, ir=57989
time=56034, red=51154, ir=57976
HR=166, SP=84
time=56059, red=51143, ir=57953
time=56074, red=51130, ir=57972
time=56094, red=51121, ir=57957
time=56114, red=51100, ir=57955
time=56134, red=51093, ir=57963
time=56154, red=51066, ir=57944
time=56174, red=51089, ir=57931
time=56194, red=51059, ir=57937
time=56215, red=51049, ir=57960
time=56235, red=51043, ir=57965
time=56255, red=51021, ir=57971
time=56275, red=51006, ir=57962
time=56295, red=50999, ir=57958
time=56315, red=50967, ir=57925
time=56335, red=50951, ir=57901
time=56355, red=50912, ir=57876
time=56375, red=50875, ir=57856
time=56395, red=50848, ir=57819
time=56415, red=50850, ir=57835
time=56435, red=50827, ir=57823
time=56455, red=50793, ir=57836
time=56475, red=50790, ir=57842
time=56495, red=50753, ir=57847
time=56515, red=50730, ir=57809
time=56535, red=50694, ir=57780
time=56555, red=50666, ir=57762
time=56575, red=50661, ir=57762
time=56595, red=50642, ir=57752
time=56615, red=50615, ir=57742
time=56635, red=50594, ir=57715
time=56655, red=50575, ir=57684
time=56675, red=50572, ir=57710
time=56695, red=50569, ir=57710
time=56715, red=50571, ir=57718
time=56735, red=50565, ir=57698
time=56755, red=50569, ir=57708
time=56775, red=50557, ir=57683
time=56795, red=50528, ir=57677
time=56815, red=50518, ir=57686
time=56835, red=50518, ir=57709
time=56855, red=50519, ir=57739
time=56875, red=50506, ir=57766
time=56895, red=50521, ir=57787
time=56915, red=50505, ir=57800
time=56935, red=50498, ir=57800
time=56955, red=50493, ir=57801
time=56975, red=50483, ir=57800
time=56995, red=50464, ir=57758
time=57015, red=50475, ir=57764
time=57035, red=50475, ir=57754
time=57055, red=50471, ir=57719
time=57076, red=50441, ir=57695
time=57096, red=50433, ir=57672
time=57116, red=50391, ir=57631
time=57136, red=50370, ir=57601
time=57156, red=50387, ir=57619
time=57176, red=50413, ir=57659
time=57196, red=50422, ir=57660
time=57216, red=50409, ir=57657
time=57236, red=50414, ir=57630
time=57256, red=50422, ir=57606
time=57276, red=50423, ir=57579
time=57296, red=50396, ir=57539
time=57316, red=50416, ir=57533
time=57336, red=50393, ir=57525
time=57356, red=50415, ir=57542
time=57376, red=50422, ir=57534
time=57396, red=50435, ir=57541
time=57416, red=50439, ir=57515
time=57436, red=50450, ir=57512
time=57456, red=50460, ir=57515
time=57476, red=50476, ir=57515
time=57496, red=50486, ir=57524
time=57516, red=50493, ir=57499
time=57536, red=50492, ir=57503
time=57556, red=50484, ir=57491
time=57576, red=50482, ir=57466
time=57596, red=50485, ir=57483
time=57616, red=50502, ir=57463
time=57636, red=50521, ir=57468
time=57656, red=50537, ir=57481
time=57676, red=50539, ir=57482
time=57696, red=50555, ir=57498
time=57716, red=50557, ir=57493
time=57736, red=50544, ir=57489
time=57756, red=50566, ir=57517
time=57776, red=50583, ir=57537
time=57796, red=50607, ir=57554
time=57816, red=50618, ir=57555
time=57836, red=50612, ir=57552
time=57856, red=50602, ir=57553
time=57876, red=50608, ir=57560
time=57896, red=50598, ir=57567
time=57916, red=50614, ir=57559
time=57936, red=50606, ir=57569
time=57957, red=50625, ir=57564
time=57977, red=50610, ir=57564
time=57997, red=50626, ir=57575
time=58017, red=50630, ir=57572
time=58037, red=50614, ir=57566
HR=206, SP=83
time=58057, red=50623, ir=57574
time=58077, red=50624, ir=57618
time=58097, red=50636, ir=57640
time=58117, red=50625, ir=57650
time=58137, red=50646, ir=57642
time=58157, red=50639, ir=57645
time=58177, red=50636, ir=57651
time=58197, red=50621, ir=57626
time=58217, red=50628, ir=57646
time=58237, red=50638, ir=57636
time=58257, red=50637, ir=57635
time=58277, red=50631, ir=57627
time=58297, red=50641, ir=57649
time=58317, red=50635, ir=57671
time=58337, red=50661, ir=57680
time=58357, red=50651, ir=57676
time=58377, red=50641, ir=57681
time=58397, red=50652, ir=57687
time=58417, red=50652, ir=57688
time=58437, red=50666, ir=57717
time=58457, red=50658, ir=57700
time=58477, red=50657, ir=57731
time=58497, red=50653, ir=57728
time=58517, red=50655, ir=57744
time=58537, red=50681, ir=57776
time=58557, red=50688, ir=57790
time=58577, red=50680, ir=57804
time=58597, red=50681, ir=57792
time=58617, red=50671, ir=57780
time=58637, red=50678, ir=57792
time=58657, red=50698, ir=57818
time=58677, red=50688, ir=57808
time=58697, red=50682, ir=57796
time=58717, red=50652, ir=57776
time=58737, red=50647, ir=57764
time=58757, red=50644, ir=57749
time=58777, red=50671, ir=57719
time=58797, red=50632, ir=57704
time=58817, red=50635, ir=57685
time=58837, red=50625, ir=57671
time=58857, red=50637, ir=57658
time=58877, red=50631, ir=57637
time=58898, red=50622, ir=57627
time=58918, red=50626, ir=57601
time=58938, red=50608, ir=57599
time=58958, red=50609, ir=57573
time=58978, red=50624, ir=57571
time=58998, red=50611, ir=57563
time=59018, red=50627, ir=57582
time=59038, red=50644, ir=57586
time=59058, red=50648, ir=57584
time=59078, red=50643, ir=57573
time=59098, red=50649, ir=57590
time=59118, red=50663, ir=57605
time=59138, red=50658, ir=57625
time=59158, red=50681, ir=57625
time=59178, red=50677, ir=57646
time=59198, red=50667, ir=57634
time=59218, red=50658, ir=57624
time=59238, red=50662, ir=57625
time=59258, red=50648, ir=57634
time=59278, red=50659, ir=57641
time=59298, red=50664, ir=57650
time=59318, red=50679, ir=57653
time=59338, red=50680, ir=57657
time=59358, red=50670, ir=57663
time=59378, red=50681, ir=57668
time=59398, red=50659, ir=57661
time=59418, red=50660, ir=57657
time=59438, red=50666, ir=57665
time=59458, red=50669, ir=57667
time=59478, red=50663, ir=57662
time=59498, red=50649, ir=57678
time=59518, red=50654, ir=57661
time=59538, red=50651, ir=57682
time=59558, red=50652, ir=57687
time=59578, red=50655, ir=57704
time=59598, red=50668, ir=57710
time=59618, red=50661, ir=57700
time=59638, red=50637, ir=57697
time=59658, red=50645, ir=57702
time=59678, red=50634, ir=57704
time=59698, red=50635, ir=57717
time=59718, red=50633, ir=57729
time=59738, red=50629, ir=57740
time=59758, red=50614, ir=57731
time=59778, red=50623, ir=57730
time=59798, red=50632, ir=57719
time=59818, red=50615, ir=57740
time=59838, red=50608, ir=57733
time=59858, red=50596, ir=57734
time=59879, red=50594, ir=57719
time=59899, red=50597, ir=57751
time=59919, red=50595, ir=57759
time=59939, red=50587, ir=57756
time=59959, red=50593, ir=57743
time=59979, red=50587, ir=57764
time=59999, red=50582, ir=57762
time=60019, red=50567, ir=57769
time=60039, red=50559, ir=57752
HR=352, SP=97
time=60065, red=50571, ir=57769
time=60079, red=50571, ir=57769
time=60099, red=50567, ir=57781
time=60119, red=50571, ir=57784
time=60139, red=50552, ir=57780
time=60159, red=50553, ir=57778
time=60179, red=50533, ir=57785
time=60199, red=50547, ir=57813
time=60219, red=50520, ir=57793
time=60239, red=50524, ir=57791
time=60259, red=50536, ir=57789
time=60279, red=50509, ir=57783
time=60299, red=50514, ir=57775
time=60319, red=50514, ir=57777
time=60339, red=50496, ir=57772
time=60359, red=50482, ir=57757
time=60379, red=50468, ir=57740
time=60399, red=50459, ir=57716
time=60419, red=50443, ir=57679
time=60439, red=50426, ir=57673
time=60459, red=50439, ir=57619
time=60479, red=50411, ir=57603
time=60499, red=50392, ir=57607
time=60519, red=50406, ir=57578
time=60539, red=50412, ir=57568
time=60559, red=50421, ir=57563
time=60579, red=50415, ir=57552
time=60599, red=50399, ir=57544
time=60619, red=50400, ir=57513
time=60639, red=50392, ir=57526
time=60659, red=50405, ir=57508
time=60679, red=50416, ir=57514
time=60699, red=50410, ir=57513
time=60719, red=50428, ir=57521
time=60739, red=50412, ir=57522
time=60759, red=50408, ir=57525
time=60779, red=50422, ir=57531
time=60799, red=50410, ir=57530
time=60819, red=50422, ir=57526
time=60839, red=50424, ir=57539
time=60859, red=50409, ir=57542
time=60880, red=50427, ir=57564
time=60900, red=50417, ir=57551
time=60920, red=50444, ir=57566
time=60940, red=50421, ir=57558
time=60960, red=50416, ir=57556
time=60980, red=50431, ir=57552
time=61000, red=50416, ir=57554
time=61020, red=50416, ir=57548
time=61040, red=50424, ir=57561
time=61060, red=50418, ir=57552
time=61080, red=50397, ir=57562
time=61100, red=50412, ir=57554
time=61120, red=50402, ir=57569
time=61140, red=50414, ir=57580
time=61160, red=50423, ir=57584
time=61180, red=50410, ir=57579
time=61200, red=50414, ir=57577
time=61220, red=50398, ir=57583
time=61240, red=50397, ir=57585
time=61260, red=50406, ir=57594
time=61280, red=50389, ir=57587
time=61300, red=50376, ir=57588
time=61320, red=50388, ir=57618
time=61340, red=50401, ir=57596
time=61360, red=50400, ir=57618
time=61380, red=50406, ir=57626
time=61400, red=50401, ir=57623
time=61420, red=50385, ir=57632
time=61440, red=50383, ir=57639
time=61460, red=50374, ir=57626
time=61480, red=50362, ir=57630
time=61500, red=50360, ir=57620
time=61520, red=50357, ir=57629
time=61540, red=50353, ir=57631
time=61560, red=50362, ir=57632
time=61580, red=50375, ir=57630
time=61600, red=50362, ir=57642
time=61620, red=50345, ir=57633
time=61640, red=50335, ir=57646
time=61660, red=50339, ir=57656
time=61680, red=50338, ir=57646
time=61700, red=50336, ir=57653
time=61720, red=50320, ir=57652
time=61740, red=50328, ir=57661
time=61760, red=50315, ir=57676
time=61780, red=50312, ir=57655
time=61800, red=50316, ir=57664
time=61821, red=50315, ir=57673
time=61841, red=50311, ir=57666
time=61861, red=50310, ir=57669
time=61881, red=50300, ir=57665
time=61901, red=50286, ir=57657
time=61921, red=50280, ir=57656
time=61941, red=50276, ir=57641
time=61961, red=50274, ir=57626
time=61981, red=50246, ir=57606
time=62001, red=50241, ir=57577
time=62021, red=50235, ir=57564
time=62041, red=50234, ir=57534
HR=285, SP=74
time=62061, red=50227, ir=57510
time=62081, red=50218, ir=57480
time=62101, red=50207, ir=57474
time=62121, red=50210, ir=57450
time=62141, red=50197, ir=57445
time=62161, red=50191, ir=57416
time=62181, red=50189, ir=57414
time=62201, red=50201, ir=57418
time=62221, red=50202, ir=57401
time=62241, red=50208, ir=57397
time=62261, red=50216, ir=57383
time=62281, red=50194, ir=57394
time=62301, red=50206, ir=57381
time=62321, red=50208, ir=57377
time=62341, red=50200, ir=57388
time=62361, red=50213, ir=57390
time=62381, red=50217, ir=57384
time=62401, red=50229, ir=57396
time=62421, red=50212, ir=57406
time=62441, red=50225, ir=57410
time=62461, red=50219, ir=57410
time=62481, red=50227, ir=57411
time=62501, red=50222, ir=57386
time=62521, red=50222, ir=57405
time=62541, red=50213, ir=57392
time=62561, red=50218, ir=57400
time=62581, red=50216, ir=57396
time=62601, red=50218, ir=57381
time=62621, red=50211, ir=57389
time=62641, red=50204, ir=57381
time=62661, red=50216, ir=57393
time=62681, red=50214, ir=57395
time=62701, red=50196, ir=57393
time=62721, red=50193, ir=57402
time=62741, red=50220, ir=57391
time=62761, red=50213, ir=57419
time=62781, red=50222, ir=57417
time=62802, red=50228, ir=57416
time=62822, red=50221, ir=57409
time=62842, red=50231, ir=57408
time=62862, red=50230, ir=57425
time=62882, red=50237, ir=57414
time=62902, red=50232, ir=57433
time=62922, red=50222, ir=57419
time=62942, red=50214, ir=57411
time=62962, red=50237, ir=57452
time=62982, red=50228, ir=57443
time=63002, red=50216, ir=57438
time=63022, red=50231, ir=57446
time=63042, red=50234, ir=57466
time=63062, red=50241, ir=57462
time=63082, red=50239, ir=57463
time=63102, red=50238, ir=57471
time=63122, red=50233, ir=57471
time=63142, red=50240, ir=57485
time=63162, red=50246, ir=57485
time=63182, red=50229, ir=57495
time=63202, red=50236, ir=57480
time=63222, red=50225, ir=57488
time=63242, red=50234, ir=57481
time=63262, red=50245, ir=57496
time=63282, red=50235, ir=57493
time=63302, red=50230, ir=57504
time=63322, red=50248, ir=57508
time=63342, red=50236, ir=57529
time=63362, red=50242, ir=57517
time=63382, red=50227, ir=57529
time=63402, red=50231, ir=57505
time=63422, red=50211, ir=57510
time=63442, red=50228, ir=57493
time=63462, red=50213, ir=57500
time=63482, red=50222, ir=57493
time=63502, red=50208, ir=57464
time=63522, red=50218, ir=57474
time=63542, red=50209, ir=57454
time=63562, red=50204, ir=57409
time=63582, red=50186, ir=57382
time=63602, red=50178, ir=57369
time=63622, red=50180, ir=57344
time=63642, red=50186, ir=57310
time=63662, red=50181, ir=57313
time=63682, red=50186, ir=57274
time=63702, red=50201, ir=57276
time=63722, red=50198, ir=57257
time=63742, red=50217, ir=57255
time=63762, red=50217, ir=57241
time=63783, red=50216, ir=57211
time=63803, red=50224, ir=57215
time=63823, red=50219, ir=57209
time=63843, red=50241, ir=57208
time=63863, red=50248, ir=57213
time=63883, red=50276, ir=57230
time=63903, red=50285, ir=57243
time=63923, red=50300, ir=57234
time=63943, red=50296, ir=57235
time=63963, red=50311, ir=57262
time=63983, red=50323, ir=57279
time=64003, red=50328, ir=57267
time=64023, red=50335, ir=57282
time=64043, red=50343, ir=57264
HR=400, SP=-1
time=64067, red=50324, ir=57264
time=64083, red=50329, ir=57252
time=64103, red=50325, ir=57254
time=64123, red=50340, ir=57263
time=64143, red=50344, ir=57273
time=64163, red=50359, ir=57268
time=64183, red=50349, ir=57275
time=64203, red=50364, ir=57286
time=64223, red=50355, ir=57279
time=64243, red=50355, ir=57291
time=64263, red=50358, ir=57277
time=64283, red=50362, ir=57288
time=64303, red=50379, ir=57290
time=64323, red=50383, ir=57308
time=64343, red=50382, ir=57311
time=64363, red=50386, ir=57308
time=64383, red=50383, ir=57326
time=64403, red=50397, ir=57322
time=64423, red=50401, ir=57328
time=64443, red=50392, ir=57328
time=64463, red=50394, ir=57336
time=64483, red=50387, ir=57332
time=64503, red=50387, ir=57346
time=64523, red=50397, ir=57330
time=64543, red=50396, ir=57337
time=64563, red=50400, ir=57358
time=64583, red=50393, ir=57349
time=64603, red=50411, ir=57359
time=64623, red=50404, ir=57350
time=64643, red=50406, ir=57364
time=64663, red=50418, ir=57381
time=64683, red=50421, ir=57392
time=64703, red=50409, ir=57393
time=64723, red=50408, ir=57386
time=64743, red=50403, ir=57389
time=64764, red=50424, ir=57397
time=64784, red=50417, ir=57411
time=64804, red=50406, ir=57421
time=64824, red=50415, ir=57412
time=64844, red=50413, ir=57424
time=64864, red=50404, ir=57411
time=64884, red=50401, ir=57423
time=64904, red=50429, ir=57432
time=64924, red=50420, ir=57433
time=64944, red=50420, ir=57432
time=64964, red=50427, ir=57449
time=64984, red=50417, ir=57446
time=65004, red=50425, ir=57465
time=65024, red=50420, ir=57470
time=65044, red=50424, ir=57467
time=65064, red=50440, ir=57482
time=65084, red=50418, ir=57479
time=65104, red=50407, ir=57486
time=65124, red=50420, ir=57513
time=65144, red=50426, ir=57525
time=65164, red=50416, ir=57521
time=65184, red=50423, ir=57531
time=65204, red=50421, ir=57534
time=65224, red=50414, ir=57540
time=65244, red=50414, ir=57544
time=65264, red=50426, ir=57542
time=65284, red=50429, ir=57540
time=65304, red=50412, ir=57547
time=65324, red=50417, ir=57556
time=65344, red=50422, ir=57561
time=65364, red=50422, ir=57568
time=65384, red=50423, ir=57548
time=65404, red=50419, ir=57550
time=65424, red=50408, ir=57529
time=65444, red=50407, ir=57518
time=65464, red=50396, ir=57493
time=65484, red=50381, ir=57451
time=65504, red=50371, ir=57419
time=65524, red=50357, ir=57394
time=65544, red=50354, ir=57378
time=65564, red=50359, ir=57346
time=65584, red=50363, ir=57324
time=65604, red=50372, ir=57328
time=65624, red=50391, ir=57321
time=65644, red=50423, ir=57315
time=65664, red=50439, ir=57316
time=65684, red=50444, ir=57329
time=65704, red=50462, ir=57321
time=65725, red=50463, ir=57296
time=65745, red=50460, ir=57295
time=65765, red=50437, ir=57276
time=65785, red=50453, ir=57263
time=65805, red=50458, ir=57267
