AT4T30P1 - Pris - 5_5_215_50
time=22554, red=50419, ir=59423
time=22574, red=50443, ir=59418
time=22594, red=50437, ir=59439
time=22614, red=50450, ir=59428
time=22634, red=50452, ir=59423
time=22654, red=50444, ir=59450
time=22674, red=50454, ir=59454
time=22694, red=50442, ir=59445
time=22714, red=50462, ir=59433
time=22734, red=50460, ir=59446
time=22754, red=50455, ir=59464
time=22774, red=50471, ir=59468
time=22794, red=50472, ir=59445
time=22814, red=50453, ir=59476
time=22834, red=50465, ir=59473
time=22854, red=50473, ir=59469
time=22874, red=50455, ir=59469
time=22894, red=50457, ir=59482
time=22914, red=50473, ir=59478
time=22934, red=50494, ir=59469
time=22954, red=50463, ir=59468
time=22974, red=50470, ir=59464
time=22994, red=50460, ir=59460
time=23014, red=50486, ir=59435
time=23034, red=50467, ir=59447
time=23054, red=50480, ir=59465
time=23074, red=50466, ir=59472
time=23094, red=50468, ir=59469
time=23114, red=50467, ir=59466
time=23134, red=50462, ir=59488
time=23154, red=50464, ir=59497
time=23174, red=50473, ir=59484
time=23194, red=50480, ir=59493
time=23214, red=50474, ir=59496
time=23234, red=50484, ir=59503
time=23254, red=50466, ir=59508
time=23274, red=50472, ir=59515
time=23294, red=50483, ir=59520
time=23314, red=50481, ir=59520
time=23334, red=50461, ir=59524
time=23354, red=50467, ir=59539
time=23374, red=50471, ir=59532
time=23394, red=50479, ir=59533
time=23414, red=50442, ir=59531
time=23434, red=50477, ir=59550
time=23454, red=50457, ir=59561
time=23474, red=50476, ir=59564
time=23494, red=50461, ir=59569
time=23514, red=50459, ir=59574
time=23534, red=50477, ir=59571
time=23554, red=50468, ir=59565
time=23574, red=50475, ir=59577
time=23594, red=50491, ir=59560
time=23614, red=50458, ir=59566
time=23634, red=50475, ir=59593
time=23654, red=50473, ir=59598
time=23674, red=50474, ir=59601
time=23694, red=50469, ir=59584
time=23714, red=50468, ir=59599
time=23734, red=50459, ir=59605
time=23754, red=50469, ir=59586
time=23774, red=50455, ir=59608
time=23794, red=50455, ir=59625
time=23814, red=50483, ir=59604
